aadt_rank,section_id,highway,section,county,section_description,section_length_km,current_year,current_aadt,prior_year,prior_aadt,yoy_growth_pct,growth_rank,capacity_threshold,over_capacity
15,118020,118,20,HFX,HWY 111 INTER/C TO EXIT 12 (WRIGHT AVE),1.76,2024,25580,2023,24060,6.32,49,10000,true
16,101025,101,25,HFX,EXIT 2 (RTE 354 INTER/C) TO EXIT 2A (MARGESON DR INTER/C),2.89,2025,25400,2024,16800,51.19,4,10000,true
17,102075,102,75,HFX,EXIT 5A (AEROTECH PK INTER/C) TO EXIT 6 (HFX INT AIRPORT INTER/C),3.29,2025,25240,2024,22700,11.19,31,10000,true
18,102050,102,50,HFX,EXIT 4C (GLENDALE CONNECTOR) TO EXIT 5 (TK 2 AT WAVERLEY),6.76,2025,24900,2024,17300,43.93,8,10000,true
19,102070,102,70,HFX,EXIT 5 (HWY 118 INTER/C) TO EXIT 5A (AEROTECH PARK INTER/C),6.6,2025,24700,2024,24630,0.28,127,10000,true
20,101030,101,30,HFX,EXIT 2A (MARGESON DR INTER/C) TO EXIT 3 (MT UNIACKE INTER/C),8.96,2025,22600,2024,22100,2.26,105,10000,true
21,102130,102,130,COL,EXIT 11 (STEWIACKE INTER/C) TO EXIT 12 (RTE 289) (BROOKFIELD),13.75,2025,22200,2024,20840,6.53,48,10000,true
22,102140,102,140,COL,EXIT 12 (RTE 289) (BROOKFIELD) TO EXIT 13A (MILLBROOK  INTER/C),8.81,2014,21030,2013,20600,2.09,111,10000,true
23,103010,103,10,HFX,EXIT 1 (HWY 102 INTER/C) TO EXIT 2 (BEECHVILLE INTER/C),1.22,2025,20700,2024,26800,-22.76,182,10000,true
24,2115,2,115,COL,TRURO TOWN LINE (NORTH) TO HWY 102 INTER/C (ONSLOW),0.89,2025,20190,2022,17300,5.28,56,10000,true
25,102045,102,45,HFX,EXIT 4 (HWY 101 INTER/C) TO EXIT 4C (GLENDALE CONNECTOR),1.48,2023,19600,2022,18700,4.81,62,10000,true
26,213010,213,10,HFX,TK 2 (BEDFORD HWY) TO HWY 102 INTER/C,1.34,2007,19400,,,,,10000,true
27,2040,2,40,HFX,HWY 102 (FALL RIVER) TO SUNNYLEA RD,6.88,2025,19000,2024,16190,17.36,16,10000,true
28,118023,118,23,HFX,EXIT 12 (WRIGHT AVE) TO EXIT 13 (HWY 107 INTER/C),3.38,2025,18300,2024,17600,3.98,79,10000,true
28,4215,4,215,CB,SYDNEY RIVER-SYDNEY LINE TO SYDNEY-GRAND LAKE RD LINE,5.84,2015,18300,2014,15800,15.82,19,10000,true
30,107020,107,20,HFX,EXIT 17 (TK 7) (PRESTON) TO EXIT 18 (MINEVILLE RD INTER/C),4.38,2025,18100,2024,18040,0.33,125,10000,true
31,101100,101,100,KIN,EXIT 9 (AVONPORT INTER/C) TO EXIT 10 (HORTONVILLE INTER/C),2.57,2025,17954,2024,13720,30.86,10,10000,true
32,102080,102,80,HFX,EXIT 6 (HFX INT AIRPORT INTER/C) TO EXIT 7 (ENFIELD INTER/C),5.43,2018,17700,2017,18200,-2.75,156,10000,true
33,102090,102,90,HFX,EXIT 7 (ENFIELD INTER/C) TO EXIT 8 (RTE 214) (ELMSDALE),6.92,2025,17300,2024,15860,9.08,36,10000,true
34,111040,111,40,HFX,EXIT 7 (RTE 207 PORTLAND ST) TO EXIT 8 (MOUNT HOPE AVE),1.78,2025,17000,2024,10000,70.0,1,10000,true
35,102161,102,161,COL,EXIT 14 (PRINCEPORT INTER/C) TO EXIT 14A (ONSLOW INTER/C),1.4,2025,16600,2022,14700,4.14,75,10000,true
36,3335,3,335,YAR,YARMOUTH EAST TOWN LINE TO TK 1 (YARMOUTH),2.47,2006,16200,,,,,10000,true
37,104150,104,150,COL,EXIT 15 (HWY 102) (TRURO) TO EXIT 17(VALLEY CROSS RD),9.39,2025,16061,2024,12850,24.99,12,10000,true
38,102100,102,100,HAN,EXIT 8 (RTE 214) (ELMSDALE) TO EXIT 9 (TK 14) (MILFORD),10.21,2025,15800,2023,11700,16.21,18,10000,true
39,213040,213,40,HFX,HWY 103 INTER/C TO TK 3 (UPPER TANTALLON),2.24,2025,15700,2024,14650,7.17,43,10000,true
40,103020,103,20,HFX,EXIT 2 (BEECHVILLE INTER/C) TO EXIT 3 (TIMBERLEA INTER/C),4.38,2025,15600,2024,15000,4.0,78,10000,true
41,213020,213,20,HFX,HWY 102 INTER/C TO LUCASVILLE RD (HAMMONDS PLAINS),5.92,2007,15500,2005,16300,-2.48,153,10000,true
42,102150,102,150,COL,EXIT 13 (MCCLURES MILLS INTER/C) TO EXIT 14 (PRINCEPORT INTER/C),2.0,2025,14700,2022,13900,1.88,113,10000,true
43,107019,107,19,HFX,EXIT 16 (ROSS RD INTER/S) TO EXIT 17 (TK 7) (PRESTON),1.58,2025,14600,2024,19980,-26.93,185,10000,true
44,318010,318,10,HFX,MICMAC PARCLO TO HWY 118 OVERPASS,7.63,2007,14500,2005,14700,-0.68,137,10000,true
45,3010,3,10,HFX,HWY 103 OVERPASS TO LAKELANDS BLVD,5.01,2021,14460,2016,14300,0.22,,10000,true
46,236060,236,60,COL,CARRIAGE LANE (LR TRURO) TO HWY 102 (EXIT 14),3.71,2025,14400,2022,11690,7.2,42,10000,true
47,102145,102,145,COL,EXIT 13A (MILLBROOK INTER/C) TO EXIT 13 (MCCLURES MILLS INTER/C),2.49,2025,14200,2023,3030,116.48,,10000,true
48,102110,102,110,HFX,EXIT 9 (TK 14) (MILFORD) TO EXIT 10 (RTE 215) (SHUBENACADIE),6.98,2025,13900,2023,12600,5.03,58,10000,true
48,32010,32,10,HFX,MAIN AVE TO OLD SAMBRO RD,4.62,2025,13900,2024,15900,-12.58,174,10000,true
50,102120,102,120,COL,EXIT 10 (RTE 215) (SHUBENACADIE) TO EXIT 11 (STEWIACKE INTER/C),5.9,2025,13700,2022,12200,3.94,80,10000,true
51,103040,103,40,HFX,EXIT 5 (RTE 213) (TANTALLON) TO EXIT 5A (INGRAMPORT INTER/C),10.2,2025,13620,2024,8250,65.09,2,10000,true
52,102060,102,60,HFX,EXIT 5 (TK 2 WAVERLEY) TO EXIT 5 (HWY 118 INTER/C),0.51,2025,13500,2024,16100,-16.15,178,10000,true
53,105110,105,110,CB,EXIT 19 (PARK RD) TO EXIT 20 (HWY 125 INTER/C),1.23,2021,13180,2020,13200,-0.15,133,10000,true
54,22015,22,15,CB,SYDNEY CITY LINE (SOUTH) TO HWY 125 INTER/C (EXIT 8),1.02,2023,13100,2020,11440,4.62,66,10000,true
55,102166,102,166,COL,EXIT 14A (ONSLOW INTER/C) TO EXIT 15 (HWY 104 INTER/C),1.21,2025,13000,2023,6870,37.56,9,10000,true
56,333020,333,20,HFX,GOODWOOD-HALIFAX LINE TO BROOKSIDE RD,7.21,2025,12900,2023,5630,51.37,3,10000,true
57,105108,105,108,CB,EXIT 17 (HWY 162) TO EXIT 19 (PARK RD),2.97,2023,12700,2020,11000,4.91,61,10000,true
57,214010,214,10,HAN,TK 2 (ELMSDALE) TO HWY 102 INTER/C,1.16,2025,12700,2024,11400,11.4,30,10000,true
57,3005,3,5,HFX,RTE 333 TO HWY 103 OVERPASS,4.05,2025,12700,2022,11700,2.77,100,10000,true
57,354001,354,1,HFX,HWY 101 INTER/C TO TK 1 (LR SACKVILLE),1.17,2025,12700,2024,8400,51.19,4,10000,true
61,1155,1,155,KIN,KENTVILLE - COLDBROOK LINE TO CAMBRIDGE MOUNTAIN RD (CAMBRIDGE),6.49,2024,12600,2021,11700,2.5,102,10000,true
61,118010,118,10,HFX,VICTORIA RD (RTE 322) TO HWY 111 INTER/C,2.88,2024,12600,2023,12700,-0.79,138,10000,true
61,125055,125,55,CB,EXIT 7A INTER/C (CHURCHILL DR) TO EXIT 8 (TK 22 INTER/C),1.8,2023,12600,2020,10600,5.93,51,10000,true
64,1135,1,135,KIN,GREENWICH - WOLFVILLE LINE TO RTE 358 (GREENWICH),1.48,2024,12400,2021,8450,13.64,24,10000,true
64,125050,125,50,CB,EXIT 7 (RTE 327 INTER/C) TO EXIT 7A INTER/C (CHURCHILL DR),1.16,2023,12400,2020,10454,5.86,52,10000,true
66,107005,107,5,HFX,HWY 102 INTER/C TO EXIT 11 (ANDERSON LAKE CONN),2.83,2025,12340,,,,,10000,true
67,103025,103,25,HFX,EXIT 3 (TIMBERLEA INTER/C) TO EXIT 4 (SHELDRAKE LAKE INTER/C),7.21,2025,12300,2024,11700,5.13,57,10000,true
68,1143,1,143,KIN,NEW MINAS - GREENWICH LINE TO KENTVILLE - NEW MINAS LINE,5.07,2024,12200,2021,11700,1.4,115,10000,true
69,7013,7,13,HFX,BEDFORD BY-PASS(OVERPASS) TO DARTMOUTH-BEDFORD LINE,2.59,2008,12000,,,,,10000,true
70,111045,111,45,HFX,EXIT 8 (MOUNT HOPE AVE) TO EXIT 9 (PLEASANT ST INTER/S),1.27,2025,11900,2024,13200,-9.85,170,10000,true
71,125040,125,40,CB,EXIT 6 (TK 4 INTER/C/KINGS RD) (SYDNEY RIVER) TO EXIT 7 (RTE 327 INTER/C),1.92,2023,11800,2020,9680,6.82,45,10000,true
72,104090,104,90,CUM,EXIT 8 (WENTWORTH-COLLINGWOOD RD INTER/C) TO TOLL BOOTHS,13.3,2024,11560,2023,10140,14.0,23,10000,true
73,125065,125,65,CB,COW BAY OVERPASS TO TK 4 GRAND LK RD,0.5,2023,11500,2020,9650,6.02,50,10000,true
74,33010,33,10,HFX,TK 7 (MAGAZINE HILL) TO HWY 101,4.72,2025,11300,2024,15200,-25.66,183,10000,true
75,103030,103,30,HFX,EXIT 4 (SHELDRAKE LAKE INTER/C) TO EXIT 5 (RTE 213) (TANTALLON),6.86,2025,11190,2024,10700,4.58,70,10000,true
76,107007,107,7,HFX,EXIT 11 (ANDERSON LAKE CONN) TO EXIT 12W (BURNSIDE DR),3.76,2025,11140,,,,,10000,true
77,101140,101,140,KIN,EXIT 14 (COLDBROOK INTER/C) TO EXIT 15 (RTE 360-BERWICK),14.64,2024,11020,2023,10310,6.89,44,10000,true
78,2230,2,230,CUM,AMHERST TOWN LINE SOUTH TO AMHERST TOWN LINE NORTH,4.11,2013,11003,,,,,10000,true
79,4220,4,220,CB,SYDNEY-GRAND LAKE RD LINE TO HWY 125 (EAST OF SYDNEY),1.32,2023,11000,2020,11000,0.0,131,10000,true
80,107015,107,15,HFX,EXIT 13 (HWY 118 INTER/C) TO EXIT 14 (MONTAGUE RD INTER/C),3.57,2025,10900,2024,9290,17.33,17,10000,true
80,125060,125,60,CB,EXIT 8 (TK 22 INTER/C) TO COW BAY OVERPASS,3.3,2023,10900,2013,3490,12.06,,10000,true
82,104227,104,227,PIC,EXIT 24 (FOORD ST INTER/C) TO EXIT 25 (EAST RIVER RD INTER/C),1.28,2025,10800,2022,12100,-3.72,159,10000,true
83,106020,106,20,PIC,EXIT 2 (BEGG BROOK INTER/C) TO EXIT 3 (PICTOU ROTARY ENTRANCE),5.02,2025,10400,2022,11300,-2.73,155,10000,true
83,358010,358,10,KIN,TK 1 (GREENWICH) TO RTE 341 (CANARD),7.12,2024,10400,2021,9200,4.17,74,10000,true
85,101060,101,60,HAN,EXIT 5 (TK 14 INTER/C) TO EXIT 5A (WENTWORTH RD INTER/C),2.33,2025,10370,2024,10000,3.7,85,10000,true
86,325025,325,25,LUN,HWY 103 INTER/C TO BRIDGEWATER TOWN LINE,0.79,2024,10300,2021,10000,0.99,123,10000,true
87,103110,103,110,LUN,EXIT 12 (TK 10)(BRIDGEWATER) TO EXIT 13 (RTE 325)(BRIDGEWATER),3.23,2021,10200,2018,9180,3.57,88,10000,true
88,101150,101,150,KIN,EXIT 15 (RTE 360-BERWICK) TO EXIT 16 (AYLESFORD INTER/C),8.31,2024,10100,2021,7100,12.47,25,10000,true
88,22010,22,10,CB,TK 4 (SYDNEY) TO SYDNEY CITY LINE (SOUTH),2.26,2014,10100,2011,10600,-1.6,147,10000,true
90,289060,289,60,PIC,HWY 104 (EXIT 23) TO NEW GLASGOW TOWN LINE EAST,4.62,2006,10080,,,,,10000,true
91,104140,104,140,COL,EXIT 13 (DEBERT INTER/C) TO EXIT 15 (HWY 102) (TRURO),8.65,2025,10000,2023,9570,2.22,107,10000,true
91,1140,1,140,KIN,RTE 358 (GREENWICH) TO NEW MINAS - GREENWICH LINE,1.89,2024,10000,2021,9650,1.19,118,10000,true
91,125037,125,37,CB,EXIT 5A (COXHEATH INTER/C) TO EXIT 6 (TK 4 INTER/C) (SYDNEY RIVER),1.31,2023,10000,2020,8880,4.04,76,10000,true
94,107040,107,40,HFX,EXIT 19 (PORTERS LAKE INTER/C) TO EXIT 20 (WILLIAM PORTER INTER/C),1.77,2025,9920,2024,8860,11.96,27,10000,false
95,207010,207,10,HFX,RTE 322 (PLEASANT ST) TO DARTMOUTH CITY LINE,6.31,2013,9890,,,,,10000,false
96,4240,4,240,CB,RESERVE MINES (WILSON RD) TO GLACE BAY-RESERVE MINES LINE,1.16,2023,9760,2020,9170,2.1,110,10000,false
97,104260,104,260,ANT,PICTOU/ANTIGONISH COUNTY LINE TO EXIT 30 (JAMES RIVER INTER/C),4.17,2025,9620,2020,3970,19.36,,10000,false
97,374005,374,5,PIC,WESTVILLE RD (RTE 289) TO HWY 104 (NEW GLASGOW),,2006,9620,,,,,10000,false
99,104223,104,223,PIC,EXIT 23 (RTE 289 INTER/C) TO EXIT 24 (FOORD ST INTER/C),1.16,2025,9540,2022,11900,-7.1,165,10000,false
100,327010,327,10,CB,TK 4 (SYDNEY) TO SYDNEY SOUTH LINE,2.22,2014,9530,2011,7030,10.67,32,10000,false
101,104340,104,340,ANT,EXIT 39 (TK 4) (AULD'S COVE) TO RTE 344,1.3,2023,9470,2020,7290,9.11,35,10000,false
102,104220,104,220,PIC,EXIT 22 (HWY 106 INTER/C) TO EXIT 23 (RTE 289 INTER/C),3.04,2025,9180,2022,9920,-2.55,154,10000,false
103,101160,101,160,KIN,EXIT 16 (AYLESFORD INTER/C) TO EXIT 17E (KINGSTON INTER/C),9.27,2024,8970,2021,5820,15.51,21,10000,false
104,101050,101,50,HAN,EXIT 4 (ST CROIX INTER/C) TO EXIT 5 (TK 14 INTER/C),6.82,2025,8820,2023,8060,4.61,67,10000,false
105,359005,359,5,KIN,TK 1 (KENTVILLE) TO KENTVILLE TOWN LINE,1.36,2024,8810,2021,8890,-0.3,134,10000,false
106,101095,101,95,KIN,EXIT 8A (BEN JACKSON RD INTER/S) TO EXIT 9 (AVONPORT INTER/C),4.3,2024,8770,2021,6290,11.72,29,10000,false
107,213030,213,30,HFX,LUCASVILLE RD (HAMMONDS PLAINS) TO HWY 103 INTER/C,9.84,2025,8610,2024,15980,-46.12,191,10000,false
107,333010,333,10,HFX,TK 3 (ST MARGARET'S BAY RD) TO GOODWOOD-HALIFAX LINE,3.24,2025,8610,2024,8590,0.23,128,10000,false
109,104020,104,20,CUM,EXIT 1 (FORT LAWRENCE RD INTER/S) TO LAPLANCHE ST OVERPASS,2.05,2025,8590,2022,7730,3.58,86,10000,false
110,103045,103,45,HFX,EXIT 5A (INGRAMPORT INTER/C) TO EXIT 6 (HUBBARDS INTER/C),10.93,2020,8545,2019,11710,-27.03,186,10000,false
111,107017,107,17,HFX,EXIT 14 (MONTAGUE RD INTER/C) TO TK 7 INTER/S (HRM),5.08,2025,8520,2024,7040,21.02,14,10000,false
112,4230,4,230,CB,HWY 125 (EAST OF SYDNEY) TO GARDINER RD,5.87,2023,8504,2020,8480,0.09,130,10000,false
113,101040,101,45,HAN,EXIT 3 (MT UNIACKE INTER/C) TO RAILWAY OVERPASS (STILLWATER),8.26,2025,8340,2024,7710,8.17,41,10000,false
114,104255,104,255,PIC,EXIT 29 (TK 4) (BARNEYS RIVER STN) TO PICTOU-ANTIGONISH COUNTY LINE,7.71,2022,8330,2020,7980,2.17,108,10000,false
114,7037,7,37,HFX,HWY 107 (MUSQUODOBOIT HBR) TO RTE 357 (MUSQUODOBOIT HBR),2.58,2025,8330,2024,8230,1.22,116,10000,false
116,101045,101,45,HAN,RAILWAY OVERPASS (STILLWATER) TO EXIT 4 (ST CROIX INTER/C),13.67,2019,8320,2017,8290,0.18,129,10000,false
117,101065,101,65,HAN,EXIT 5A(WENTWORTH RD INTER/C) TO EXIT 6(NESBITT ST INTER/C),2.13,2019,8230,2017,8590,-2.12,150,10000,false
118,104330,104,330,ANT,EXIT 38 (HAVRE BOUCHER INTER/C) TO EXIT 39 (TK 4) (AULD'S COVE),8.13,2011,8040,2008,5740,11.89,28,10000,false
119,104210,104,210,PIC,EXIT 21 (COWAN ST) (WESTVILLE) TO EXIT 22 (HWY 106 INTER/C),1.64,2025,7950,2022,7440,2.23,106,10000,false
120,101235,101,235,DIG,EXIT 25 (JOGGINS BRIDGE) TO EXIT 26 (RTE 303)(DIGBY),2.69,2024,7820,2018,7750,0.15,,10000,false
121,101080,101,80,HAN,EXIT 7 (FALMOUTH INTER/C) TO EXIT 8 (HANTSPORT INTER/C),6.17,2019,7780,2017,8160,-2.36,151,10000,false
121,104130,104,130,COL,EXIT 12 (TK 2) (MASSTOWN) TO EXIT 13 (DEBERT INTER/C),4.39,2025,7780,2022,7000,3.58,86,10000,false
123,4045,4,45,ANT,CHURCH ST INTER/S TO BEECH HILL INTER/S,1.08,2023,7750,2020,5160,14.52,22,10000,false
124,101130,101,130,KIN,EXIT 12 (HIGHBURY INTER/C) TO EXIT 13 (KENTVILLE TK 12),4.16,2024,7720,2021,5440,12.38,26,10000,false
125,333047,333,47,HFX,INDIAN PT RD (GLEN HAVEN) TO TK 3 (UPPER TANTALLON),6.01,2025,7690,2024,8490,-9.42,169,10000,false
126,104030,104,30,CUM,LAPLANCHE ST OVERPASS TO EXIT 3 (VICTORIA ST INTER/S),2.45,2025,7680,2022,6630,5.02,60,10000,false
127,28020,28,20,CB,DOMINION-GARDINER MINES LINE TO SCOTCHTOWN-NEW WATERFORD LINE,7.97,2023,7530,2020,7290,1.09,121,10000,false
128,4210,4,210,CB,HWY 125 (SYDNEY RIVER) TO SYDNEY RIVER-SYDNEY LINE,1.59,2023,7520,2020,9640,-7.95,166,10000,false
129,101090,101,90,KIN,EXIT 8 (HANTSPORT INTER/C) TO EXIT 8A (BEN JACKSON RD INTER/S),4.04,2024,7500,2021,5540,10.62,33,10000,false
130,101125,101,125,KIN,EXIT 11A (GRANITE DR INTER/C) TO EXIT 12 (HIGHBURY CONNECTOR),2.12,2024,7490,2020,6540,3.45,,10000,false
131,101120,101,120,KIN,EXIT 11 (GREENWICH INTER/C) TO EXIT 11A (GRANITE DR INTER/C),4.09,2024,7440,2021,4380,19.32,,10000,false
132,327015,327,15,CB,SYDNEY SOUTH LINE TO HWY 125 (EXIT 7),0.59,2023,7420,2020,3020,34.94,,10000,false
133,1050,1,50,HAN,MOUNT UNIACKE CONN TO UNIACKE MINES RD (MT UNIACKE),7.6,2024,7380,2023,5950,24.03,13,10000,false
134,104350,104,350,GUY,RTE 344 TO (PORT HASTINGS ROTARY),3.25,2025,7360,2024,8290,-11.22,173,10000,false
135,4017,4,17,PIC,RTE 376 (CENTRAL WEST RIVER) TO COWAN ST (EXIT 21),10.5,2025,7330,2022,6810,2.48,104,10000,false
136,125035,125,35,CB,EXIT 5 (SYDPORT INTER/C) TO EXIT 5A (COXHEATH INTER/C),2.13,2020,7320,2017,8520,-4.93,160,10000,false
137,125030,125,30,CB,EXIT 4 (RTE 239) TO EXIT 5 (SYDPORT INTER/C),4.32,2023,7310,2020,6700,2.95,98,10000,false
138,106015,106,15,PIC,EXIT 1A (MT WILLIAM RD INTER/C) TO EXIT 2 (BEGG BROOK INTER/C),5.38,2025,7260,2022,6650,2.97,97,10000,false
139,104120,104,120,COL,EXIT 11 (TK 4) (GLENHOLME) TO EXIT 12 (TK 2) (MASSTOWN),4.18,2025,7210,2022,6570,3.15,95,10000,false
140,125020,125,20,CB,EXIT 3 (RTE 223) (LEITCHES CREEK) TO EXIT 4 (RTE 239),2.71,2023,7200,2020,5940,6.62,46,10000,false
141,311010,311,10,COL,BIBLE HILL BRIDGE (TRURO TOWN LINE) TO ONSLOW RD (NORTH RIVER),2.36,2025,7190,2022,6950,1.14,119,10000,false
142,3078,3,78,LUN,STANFORD LAKE RD (CHESTER) TO TK 14 (ROBINSONS CORNER),1.14,2024,7130,2021,6980,0.71,124,10000,false
143,103120,103,120,LUN,EXIT 13 (RTE 325)(BRIDGEWATER) TO EXIT 14 (TK 3)(HEBBVILLE),6.64,2024,7080,2021,6430,3.26,91,10000,false
144,104040,104,40,CUM,EXIT 3 (VICTORIA ST INTER/C) TO EXIT 4 (S ALBION ST INTER/C)(TK 2),3.49,2025,7000,2022,6580,2.08,112,10000,false
145,101135,101,135,KIN,EXIT 13 (KENTVILLE TK 12) TO EXIT 14 (COLDBROOK INTER/C),3.71,2024,6960,2021,5460,8.43,39,10000,false
146,101070,101,70,HAN,EXIT 6 (NESBITT ST INTER/C) TO EXIT 7 (FALMOUTH INTER/C),1.71,2020,6910,2019,8390,-17.64,179,10000,false
147,7010,7,10,HFX,CIVIC 134 TO BEDFORD BYPASS (OVERPASS),0.2,2025,6890,2024,10340,-33.37,188,10000,false
148,103130,103,130,LUN,EXIT 14 (TK 3)(HEBBVILLE) TO EXIT 15 (ITALY CROSS INTER/S),6.42,2025,6860,2023,6450,3.13,96,10000,false
149,107010,107,10,HFX,BURNSIDE INDUSTRIAL PARK TO HWY 118 INTER/C,1.76,2024,6830,2023,5450,25.32,11,10000,false
150,107030,107,30,HFX,EXIT 18 (MINESVILLE RD INTER/C) TO EXIT 19 (PORTERS LAKE INTER/C),7.21,2024,6710,2023,6190,8.4,40,10000,false
150,207020,207,20,HFX,ROSS RD (RTE 328) TO WEST LAWRENCETOWN RD,6.9,2025,6710,2024,7930,-15.38,176,10000,false
152,107050,107,50,HFX,EXIT 20 (WILLIAM PORTER INTER/C) TO EXIT 21 (EAST CHEZZETCOOK INTER/C),4.54,2025,6700,2024,6350,5.51,54,10000,false
153,10055,10,55,LUN,COOKS BROOK BRIDGE TO BRIDGEWATER TOWN LINE,3.18,2024,6620,2021,6070,2.93,99,10000,false
153,104070,104,70,CUM,EXIT 6 (OXFORD INTER/C) TO EXIT 7 (THOMSON INTER/C),8.82,2025,6620,2022,5800,4.51,71,10000,false
155,101110,101,110,KIN,EXIT 10 (HORTONVILLE INTER/C) TO EXIT 11 (GREENWICH INTER/C),9.14,2024,6580,2021,5100,8.86,37,10000,false
155,104190,104,190,PIC,EXIT 20 (PLEASANT VALLEY) TO EXIT 21 (COWAN ST) (WESTVILLE),4.31,2025,6580,2022,5800,4.3,73,10000,false
155,105106,105,106,CB,EXIT 15 (ST JAMES RD) TO EXIT 16 (MILLVILLE RD),5.91,2023,6580,2020,6110,2.5,102,10000,false
158,104060,104,60,CUM,EXIT 5 (HWY 142 INTER/C) TO EXIT 6 (OXFORD INTER/C),10.24,2025,6550,2022,6320,1.2,117,10000,false
159,3185,3,185,QUE,LIVERPOOL NORTH LINE TO TK 8 (LIVERPOOL),0.19,2024,6540,2021,3789,19.95,,10000,false
160,125010,125,10,CB,EXIT 1 (HWY 105 INTER/C) TO EXIT 2 (JOHNSON RD INTER/C),2.46,2023,6500,2021,6080,3.4,89,10000,false
161,104160,104,160,COL,EXIT 17(VALLEY CROSS RD) TO EXIT 18 (STEVENS RD),9.43,2025,6470,2022,5630,4.74,64,10000,false
161,7032,7,32,HFX,OLD LAKE ECHO RD TO RTE 207 (PORTERS LAKE),9.66,2025,6470,2024,6160,5.03,58,10000,false
163,104050,104,50,CUM,EXIT 4 (SOUTH ALBION ST INTER/C)(TK 2) TO EXIT 5 (HWY 142 INTER/C),20.72,2025,6430,2022,5480,5.47,55,10000,false
163,104180,104,180,PIC,EXIT 19 (SALTSPRINGS) TO EXIT 20 (PLEASANT VALLEY),8.62,2025,6430,2022,5620,4.59,69,10000,false
163,4190,4,190,CB,RTE 216 (EAST BAY) TO MEADOWS RD (SYDNEY FORKS),5.28,2023,6430,2020,5460,5.6,53,10000,false
166,105030,105,30,INV,EXIT 4 (ORANGEDALE RD)  TO EXIT 5 (RTE 252) (WHYCOCOMAGH),4.97,2023,6410,2020,4850,9.74,,10000,false
167,104110,104,110,COL,EXIT 10 (STATION RD INTER/C) TO EXIT 11 (TK 4) (GLENHOLME),5.76,2025,6380,2022,5570,4.63,65,10000,false
167,3270,3,270,SHE,OAK PARK RD (BARRINGTON WEST) TO RTE 330 (BARRINGTON PASSAGE),5.38,2024,6380,2021,7100,-3.5,157,10000,false
169,105095,105,95,VIC,NEW CAMPBELLTON RD TO EXIT 13 (KEMPT HEAD RD),4.58,2023,6360,2021,2430,61.78,,10000,false
170,103140,103,140,LUN,EXIT 15 (ITALY CROSS INTER/S) TO EXIT 16 (CAMPERDOWN SCHOOL RD),3.86,2024,6340,2021,5670,3.79,84,10000,false
171,104165,104,165,COL,EXIT 18 (STEVENS RD) TO EXIT 18A (MT THOM),7.26,2025,6290,2022,5690,3.4,89,10000,false
172,2070,2,70,HAN,RTE 214 (ELMSDALE) TO RTE 277 (LANTZ),2.86,2025,6280,2024,5790,8.46,38,10000,false
