sale_date,store,sales
2024-12-28,CLAYTON-PARK,2647.43
2024-12-28,NORTH-END,3190.36
2024-12-28,QUINPOOL,3846.52
2024-12-28,SPRING-GARDEN,4465.57
2024-12-29,BEDFORD,2344.03
2024-12-29,CLAYTON-PARK,1505.28
2024-12-29,NORTH-END,1644.07
2024-12-29,QUINPOOL,2110.50
2024-12-29,SPRING-GARDEN,2542.10
2024-12-30,BEDFORD,1812.78
2024-12-30,CLAYTON-PARK,1189.31
2024-12-30,NORTH-END,1373.62
2024-12-30,QUINPOOL,1628.18
2024-12-30,SPRING-GARDEN,1976.46
2024-12-31,BEDFORD,2352.61
2024-12-31,CLAYTON-PARK,1469.92
2024-12-31,NORTH-END,1691.64
2024-12-31,QUINPOOL,1879.45
2024-12-31,SPRING-GARDEN,2567.90
2025-01-01,BEDFORD,1501.84
2025-01-01,CLAYTON-PARK,895.68
2025-01-01,NORTH-END,1008.68
2025-01-01,QUINPOOL,1255.17
2025-01-01,SPRING-GARDEN,1481.85
2025-01-02,BEDFORD,1976.60
2025-01-02,CLAYTON-PARK,1311.61
2025-01-02,NORTH-END,1433.92
2025-01-02,QUINPOOL,1825.50
2025-01-02,SPRING-GARDEN,2125.09
2025-01-03,BEDFORD,2765.00
2025-01-03,CLAYTON-PARK,1711.41
2025-01-03,NORTH-END,2124.45
2025-01-03,QUINPOOL,2509.61
2025-01-03,SPRING-GARDEN,2966.07
2025-01-04,BEDFORD,3524.78
2025-01-04,CLAYTON-PARK,2136.18
2025-01-04,NORTH-END,2505.44
2025-01-04,QUINPOOL,3235.47
2025-01-04,SPRING-GARDEN,3863.55
2025-01-05,BEDFORD,2000.18
2025-01-05,CLAYTON-PARK,1223.09
2025-01-05,NORTH-END,1438.93
2025-01-05,QUINPOOL,1769.20
2025-01-05,SPRING-GARDEN,2246.36
2025-01-06,BEDFORD,1583.65
2025-01-06,CLAYTON-PARK,950.80
2025-01-06,NORTH-END,1121.88
2025-01-06,QUINPOOL,1429.21
2025-01-06,SPRING-GARDEN,1601.49
2025-01-07,BEDFORD,1718.33
2025-01-07,CLAYTON-PARK,1039.00
2025-01-07,NORTH-END,1282.02
2025-01-07,QUINPOOL,1510.06
2025-01-07,SPRING-GARDEN,1716.77
2025-01-08,CLAYTON-PARK,1135.34
2025-01-08,NORTH-END,1339.46
2025-01-08,QUINPOOL,1493.57
2025-01-08,SPRING-GARDEN,1946.28
2025-01-09,CLAYTON-PARK,1201.81
2025-01-09,NORTH-END,1523.71
2025-01-09,QUINPOOL,1716.67
2025-01-09,SPRING-GARDEN,2098.71
2025-01-10,CLAYTON-PARK,1794.64
2025-01-10,NORTH-END,2014.38
2025-01-10,QUINPOOL,2339.77
2025-01-10,SPRING-GARDEN,2864.76
2025-01-11,CLAYTON-PARK,2277.44
2025-01-11,NORTH-END,2600.54
2025-01-11,QUINPOOL,3016.68
2025-01-11,SPRING-GARDEN,3625.27
2025-01-12,CLAYTON-PARK,1184.82
2025-01-12,NORTH-END,1434.06
2025-01-12,QUINPOOL,1708.71
2025-01-12,SPRING-GARDEN,2046.46
2025-01-13,CLAYTON-PARK,1008.14
2025-01-13,NORTH-END,1095.78
2025-01-13,QUINPOOL,1326.89
2025-01-13,SPRING-GARDEN,1689.98
2025-01-14,CLAYTON-PARK,1060.85
2025-01-14,NORTH-END,1257.13
2025-01-14,QUINPOOL,1477.49
2025-01-14,SPRING-GARDEN,1738.59
2025-01-15,CLAYTON-PARK,1174.97
2025-01-15,NORTH-END,1332.89
2025-01-15,QUINPOOL,1577.39
2025-01-15,SPRING-GARDEN,2015.23
2025-01-16,CLAYTON-PARK,1299.05
2025-01-16,NORTH-END,1499.73
2025-01-16,QUINPOOL,1805.01
2025-01-16,SPRING-GARDEN,2077.32
2025-01-17,CLAYTON-PARK,1688.86
2025-01-17,NORTH-END,1977.93
2025-01-17,QUINPOOL,2531.36
2025-01-17,SPRING-GARDEN,3103.86
2025-01-18,CLAYTON-PARK,2204.14
2025-01-18,NORTH-END,2604.55
2025-01-18,QUINPOOL,3228.82
2025-01-18,SPRING-GARDEN,3678.48
2025-01-19,CLAYTON-PARK,1221.12
2025-01-19,NORTH-END,1424.59
2025-01-19,QUINPOOL,1685.90
2025-01-19,SPRING-GARDEN,2110.74
2025-01-20,CLAYTON-PARK,993.08
2025-01-20,NORTH-END,1133.29
2025-01-20,QUINPOOL,1421.67
2025-01-20,SPRING-GARDEN,1605.35
2025-01-21,CLAYTON-PARK,1006.79
2025-01-21,NORTH-END,1311.24
2025-01-21,QUINPOOL,1388.38
2025-01-21,SPRING-GARDEN,1888.12
2025-01-22,CLAYTON-PARK,1119.70
2025-01-22,NORTH-END,1370.40
2025-01-22,QUINPOOL,1457.03
2025-01-22,SPRING-GARDEN,1960.42
2025-01-23,CLAYTON-PARK,1304.12
2025-01-23,NORTH-END,1428.75
2025-01-23,QUINPOOL,1734.75
2025-01-23,SPRING-GARDEN,2171.20
2025-01-24,CLAYTON-PARK,1638.89
2025-01-24,NORTH-END,1962.88
2025-01-24,QUINPOOL,2487.56
2025-01-24,SPRING-GARDEN,2938.73
2025-01-25,CLAYTON-PARK,2282.93
2025-01-25,NORTH-END,2671.30
2025-01-25,QUINPOOL,3215.12
2025-01-25,SPRING-GARDEN,3986.90
2025-01-26,CLAYTON-PARK,1251.68
2025-01-26,NORTH-END,1573.65
2025-01-26,QUINPOOL,1832.36
2025-01-26,SPRING-GARDEN,2169.04
2025-01-27,CLAYTON-PARK,918.26
2025-01-27,NORTH-END,1178.43
2025-01-27,QUINPOOL,1368.54
2025-01-27,SPRING-GARDEN,1676.35
2025-01-28,CLAYTON-PARK,1084.81
2025-01-28,NORTH-END,1236.80
2025-01-28,QUINPOOL,1480.96
2025-01-28,SPRING-GARDEN,1908.78
2025-01-29,BEDFORD,1782.22
2025-01-29,CLAYTON-PARK,1168.38
2025-01-29,NORTH-END,1344.61
2025-01-29,QUINPOOL,1604.99
2025-01-29,SPRING-GARDEN,2012.41
2025-01-30,BEDFORD,1920.16
2025-01-30,CLAYTON-PARK,1273.99
2025-01-30,NORTH-END,1553.98
2025-01-30,QUINPOOL,1671.04
2025-01-30,SPRING-GARDEN,2211.41
2025-01-31,BEDFORD,2884.53
2025-01-31,CLAYTON-PARK,1673.89
2025-01-31,NORTH-END,2038.49
2025-01-31,QUINPOOL,2485.73
2025-01-31,SPRING-GARDEN,3041.09
2025-02-01,BEDFORD,3472.62
2025-02-01,CLAYTON-PARK,2331.08
2025-02-01,NORTH-END,2631.32
2025-02-01,QUINPOOL,3076.99
2025-02-01,SPRING-GARDEN,4114.49
2025-02-02,BEDFORD,2066.67
2025-02-02,CLAYTON-PARK,1257.18
2025-02-02,NORTH-END,1552.41
2025-02-02,QUINPOOL,1866.55
2025-02-02,SPRING-GARDEN,2288.20
2025-02-03,BEDFORD,1614.25
2025-02-03,CLAYTON-PARK,975.13
2025-02-03,NORTH-END,1196.50
2025-02-03,QUINPOOL,1483.69
2025-02-03,SPRING-GARDEN,1772.78
2025-02-04,BEDFORD,1635.79
2025-02-04,CLAYTON-PARK,1044.22
2025-02-04,NORTH-END,1322.65
2025-02-04,QUINPOOL,1411.54
2025-02-04,SPRING-GARDEN,1761.75
2025-02-05,BEDFORD,1844.21
2025-02-05,CLAYTON-PARK,1218.17
2025-02-05,NORTH-END,1337.36
2025-02-05,QUINPOOL,1682.23
2025-02-05,SPRING-GARDEN,2085.73
2025-02-06,BEDFORD,2091.55
2025-02-06,CLAYTON-PARK,1320.07
2025-02-06,NORTH-END,1529.44
2025-02-06,QUINPOOL,1884.30
2025-02-06,SPRING-GARDEN,2181.44
2025-02-07,BEDFORD,2733.86
2025-02-07,CLAYTON-PARK,1800.52
2025-02-07,NORTH-END,2214.92
2025-02-07,QUINPOOL,2449.29
2025-02-07,SPRING-GARDEN,3176.88
2025-02-08,BEDFORD,3577.69
2025-02-08,CLAYTON-PARK,2237.03
2025-02-08,NORTH-END,2808.76
2025-02-08,QUINPOOL,3175.53
2025-02-08,SPRING-GARDEN,3770.67
2025-02-09,BEDFORD,2073.47
2025-02-09,CLAYTON-PARK,1361.69
2025-02-09,NORTH-END,1556.98
2025-02-09,QUINPOOL,1712.21
2025-02-09,SPRING-GARDEN,2355.46
2025-02-10,BEDFORD,1512.40
2025-02-10,CLAYTON-PARK,967.86
2025-02-10,NORTH-END,1204.21
2025-02-10,QUINPOOL,1401.17
2025-02-10,SPRING-GARDEN,1703.84
2025-02-11,BEDFORD,1798.22
2025-02-11,CLAYTON-PARK,1057.28
2025-02-11,NORTH-END,1268.75
2025-02-11,QUINPOOL,1514.97
2025-02-11,SPRING-GARDEN,1938.50
2025-02-12,BEDFORD,1883.23
2025-02-12,CLAYTON-PARK,1155.22
2025-02-12,NORTH-END,1374.45
2025-02-12,QUINPOOL,1559.91
2025-02-12,SPRING-GARDEN,1940.75
2025-02-13,BEDFORD,1954.44
2025-02-13,CLAYTON-PARK,1266.77
2025-02-13,NORTH-END,1484.38
2025-02-13,QUINPOOL,1838.55
2025-02-13,SPRING-GARDEN,2363.33
2025-02-14,BEDFORD,2826.79
2025-02-14,CLAYTON-PARK,1814.78
2025-02-14,NORTH-END,2234.85
2025-02-14,QUINPOOL,2396.24
2025-02-14,SPRING-GARDEN,2998.12
2025-02-15,BEDFORD,3673.47
2025-02-15,CLAYTON-PARK,2267.82
2025-02-15,NORTH-END,2846.75
2025-02-15,QUINPOOL,3266.56
2025-02-15,SPRING-GARDEN,3763.72
2025-02-16,BEDFORD,2014.26
2025-02-16,CLAYTON-PARK,1332.22
2025-02-16,NORTH-END,1582.64
2025-02-16,QUINPOOL,1853.82
2025-02-16,SPRING-GARDEN,2159.86
2025-02-17,BEDFORD,1617.06
2025-02-17,CLAYTON-PARK,958.63
2025-02-17,NORTH-END,1171.24
2025-02-17,QUINPOOL,1332.52
2025-02-17,SPRING-GARDEN,1819.65
2025-02-18,BEDFORD,1773.30
2025-02-18,CLAYTON-PARK,1081.63
2025-02-18,NORTH-END,1213.28
2025-02-18,QUINPOOL,1521.30
2025-02-18,SPRING-GARDEN,1964.06
2025-02-19,BEDFORD,1736.91
2025-02-19,CLAYTON-PARK,1127.52
2025-02-19,NORTH-END,1365.28
2025-02-19,QUINPOOL,1561.68
2025-02-19,SPRING-GARDEN,2009.63
2025-02-20,BEDFORD,2129.18
2025-02-20,CLAYTON-PARK,1332.13
2025-02-20,NORTH-END,1492.57
2025-02-20,QUINPOOL,1736.05
2025-02-20,SPRING-GARDEN,2191.96
2025-02-21,BEDFORD,2925.34
2025-02-21,CLAYTON-PARK,1745.82
2025-02-21,NORTH-END,2019.94
2025-02-21,QUINPOOL,2529.63
2025-02-21,SPRING-GARDEN,3018.61
2025-02-22,BEDFORD,3821.37
2025-02-22,CLAYTON-PARK,2190.10
2025-02-22,NORTH-END,2622.26
2025-02-22,QUINPOOL,3285.58
2025-02-22,SPRING-GARDEN,4152.36
2025-02-23,BEDFORD,2147.07
2025-02-23,CLAYTON-PARK,1352.02
2025-02-23,NORTH-END,1555.15
2025-02-23,QUINPOOL,1872.78
2025-02-23,SPRING-GARDEN,2131.30
2025-02-24,BEDFORD,1515.03
2025-02-24,CLAYTON-PARK,1065.89
2025-02-24,NORTH-END,1230.50
2025-02-24,QUINPOOL,1350.88
2025-02-24,SPRING-GARDEN,1798.97
2025-02-25,BEDFORD,1744.60
2025-02-25,CLAYTON-PARK,1057.27
2025-02-25,NORTH-END,1252.90
2025-02-25,QUINPOOL,1528.16
2025-02-25,SPRING-GARDEN,1889.29
2025-02-26,BEDFORD,1856.15
2025-02-26,CLAYTON-PARK,1086.89
2025-02-26,NORTH-END,1299.62
2025-02-26,QUINPOOL,1545.48
2025-02-26,SPRING-GARDEN,1931.58
2025-02-27,BEDFORD,2145.01
2025-02-27,CLAYTON-PARK,1284.94
2025-02-27,NORTH-END,1497.38
2025-02-27,QUINPOOL,1908.00
2025-02-27,SPRING-GARDEN,2263.95
2025-02-28,BEDFORD,2922.54
2025-02-28,CLAYTON-PARK,1793.05
2025-02-28,NORTH-END,2060.60
2025-02-29,QUINPOOL,2377.30
2025-02-28,SPRING-GARDEN,3159.64
2025-03-01,BEDFORD,3785.67
2025-03-01,CLAYTON-PARK,2533.62
2025-03-01,NORTH-END,2814.44
2025-03-01,QUINPOOL,3389.64
2025-03-01,SPRING-GARDEN,4437.48
2025-03-02,BEDFORD,2052.22
2025-03-02,CLAYTON-PARK,1373.76
2025-03-02,NORTH-END,1556.89
2025-03-02,QUINPOOL,1890.33
2025-03-02,SPRING-GARDEN,2324.75
2025-03-03,BEDFORD,1660.07
2025-03-03,CLAYTON-PARK,1023.67
2025-03-03,NORTH-END,1182.47
2025-03-03,QUINPOOL,1553.71
2025-03-03,SPRING-GARDEN,1839.91
2025-03-04,BEDFORD,1732.79
2025-03-04,CLAYTON-PARK,1115.35
2025-03-04,NORTH-END,1264.27
2025-03-04,QUINPOOL,1659.56
2025-03-04,SPRING-GARDEN,2007.34
2025-03-05,BEDFORD,2018.67
2025-03-05,CLAYTON-PARK,1212.06
2025-03-05,NORTH-END,1452.50
2025-03-05,QUINPOOL,1774.41
2025-03-05,SPRING-GARDEN,2120.28
2025-03-06,BEDFORD,2079.60
2025-03-06,CLAYTON-PARK,1376.50
2025-03-06,NORTH-END,1631.25
2025-03-06,QUINPOOL,1958.95
2025-03-06,SPRING-GARDEN,2267.92
2025-03-07,BEDFORD,3104.10
2025-03-07,CLAYTON-PARK,1973.97
2025-03-07,NORTH-END,2128.94
2025-03-07,QUINPOOL,2699.85
2025-03-07,SPRING-GARDEN,3114.88
2025-03-08,BEDFORD,3812.67
2025-03-08,CLAYTON-PARK,2462.56
2025-03-08,NORTH-END,2913.50
2025-03-08,QUINPOOL,3402.11
2025-03-08,SPRING-GARDEN,4101.54
2025-03-09,BEDFORD,2263.78
2025-03-09,CLAYTON-PARK,1396.82
2025-03-09,NORTH-END,1615.21
2025-03-09,QUINPOOL,1924.17
2025-03-09,SPRING-GARDEN,2468.85
2025-03-10,BEDFORD,1611.01
2025-03-10,CLAYTON-PARK,1049.07
2025-03-10,NORTH-END,1290.82
2025-03-10,QUINPOOL,1388.87
2025-03-10,SPRING-GARDEN,1894.82
2025-03-11,BEDFORD,1757.14
2025-03-11,CLAYTON-PARK,1077.49
2025-03-11,NORTH-END,1286.53
2025-03-11,QUINPOOL,1662.02
2025-03-11,SPRING-GARDEN,1966.64
2025-03-12,BEDFORD,2005.78
2025-03-12,CLAYTON-PARK,1247.09
2025-03-12,NORTH-END,1431.89
2025-03-12,QUINPOOL,1712.44
2025-03-12,SPRING-GARDEN,2217.43
2025-03-13,BEDFORD,2156.94
2025-03-13,CLAYTON-PARK,1349.42
2025-03-13,NORTH-END,1659.01
2025-03-13,QUINPOOL,1884.36
2025-03-13,SPRING-GARDEN,2357.47
2025-03-14,BEDFORD,2975.84
2025-03-14,CLAYTON-PARK,1940.92
2025-03-14,NORTH-END,2280.95
2025-03-14,QUINPOOL,2500.56
2025-03-14,SPRING-GARDEN,3300.53
2025-03-15,BEDFORD,4012.54
2025-03-15,CLAYTON-PARK,2508.27
2025-03-15,NORTH-END,2871.22
2025-03-15,QUINPOOL,3422.57
2025-03-15,SPRING-GARDEN,3946.23
2025-03-16,BEDFORD,2208.17
2025-03-16,CLAYTON-PARK,1426.70
2025-03-16,NORTH-END,1571.34
2025-03-16,QUINPOOL,1839.29
2025-03-16,SPRING-GARDEN,2464.03
2025-03-17,BEDFORD,1664.11
2025-03-17,CLAYTON-PARK,1123.58
2025-03-17,NORTH-END,1306.27
2025-03-17,QUINPOOL,1449.42
2025-03-17,SPRING-GARDEN,1905.10
2025-03-18,BEDFORD,1733.24
2025-03-18,CLAYTON-PARK,1149.20
2025-03-18,NORTH-END,1263.47
2025-03-18,QUINPOOL,1587.71
2025-03-18,SPRING-GARDEN,2009.45
2025-03-19,BEDFORD,1903.42
2025-03-19,CLAYTON-PARK,1193.16
2025-03-19,NORTH-END,1399.01
2025-03-19,QUINPOOL,1640.23
2025-03-19,SPRING-GARDEN,2114.53
2025-03-20,BEDFORD,2196.06
2025-03-20,CLAYTON-PARK,1435.27
2025-03-20,NORTH-END,1549.04
2025-03-20,QUINPOOL,1963.30
2025-03-20,SPRING-GARDEN,2240.48
2025-03-21,BEDFORD,2947.43
2025-03-21,CLAYTON-PARK,1827.95
2025-03-21,NORTH-END,2279.49
2025-03-21,QUINPOOL,2584.67
2025-03-21,SPRING-GARDEN,3346.13
2025-03-22,BEDFORD,3863.50
2025-03-22,CLAYTON-PARK,2553.40
2025-03-22,NORTH-END,2735.49
2025-03-22,QUINPOOL,3442.67
2025-03-22,SPRING-GARDEN,4250.75
2025-03-23,BEDFORD,2062.86
2025-03-23,CLAYTON-PARK,1335.82
2025-03-23,NORTH-END,1684.59
2025-03-23,QUINPOOL,1951.97
2025-03-23,SPRING-GARDEN,2428.69
2025-03-24,BEDFORD,1697.69
2025-03-24,CLAYTON-PARK,1104.97
2025-03-24,NORTH-END,1217.18
2025-03-24,QUINPOOL,1466.09
2025-03-24,SPRING-GARDEN,1898.52
2025-03-25,BEDFORD,1766.30
2025-03-25,CLAYTON-PARK,1104.52
2025-03-25,NORTH-END,1360.51
2025-03-25,QUINPOOL,1572.16
2025-03-25,SPRING-GARDEN,1954.79
2025-03-26,BEDFORD,1896.11
2025-03-26,CLAYTON-PARK,1247.77
2025-03-26,NORTH-END,1439.46
2025-03-26,QUINPOOL,1735.39
2025-03-26,SPRING-GARDEN,2214.65
2025-03-27,BEDFORD,2235.06
2025-03-27,CLAYTON-PARK,1307.08
2025-03-27,NORTH-END,1516.20
2025-03-27,QUINPOOL,1994.59
2025-03-27,SPRING-GARDEN,2502.46
2025-03-28,BEDFORD,2951.76
2025-03-28,CLAYTON-PARK,1959.09
2025-03-28,NORTH-END,2337.28
2025-03-28,QUINPOOL,2758.14
2025-03-28,SPRING-GARDEN,3246.96
2025-03-29,BEDFORD,4081.96
2025-03-29,CLAYTON-PARK,2512.35
2025-03-29,NORTH-END,2747.56
2025-03-29,QUINPOOL,3463.44
2025-03-29,SPRING-GARDEN,4372.04
2025-03-30,BEDFORD,2089.57
2025-03-30,CLAYTON-PARK,1409.74
2025-03-30,NORTH-END,1574.10
2025-03-30,QUINPOOL,1845.80
2025-03-30,SPRING-GARDEN,2242.68
2025-03-31,BEDFORD,1715.25
2025-03-31,CLAYTON-PARK,1011.00
2025-03-31,NORTH-END,1222.19
2025-03-31,QUINPOOL,1502.72
2025-03-31,SPRING-GARDEN,1777.76
2025-04-01,BEDFORD,1818.17
2025-04-01,CLAYTON-PARK,1196.02
2025-04-01,NORTH-END,1302.19
2025-04-01,QUINPOOL,1600.70
2025-04-01,SPRING-GARDEN,1861.14
2025-04-02,BEDFORD,1938.78
2025-04-02,CLAYTON-PARK,1278.90
2025-04-02,NORTH-END,1378.38
2025-04-02,QUINPOOL,1691.23
2025-04-02,SPRING-GARDEN,1982.76
2025-04-03,BEDFORD,2152.42
2025-04-03,CLAYTON-PARK,1389.12
2025-04-03,NORTH-END,1640.32
2025-04-03,QUINPOOL,1973.48
2025-04-03,SPRING-GARDEN,2388.88
2025-04-04,BEDFORD,3068.33
2025-04-04,CLAYTON-PARK,1966.52
2025-04-04,NORTH-END,2212.72
2025-04-04,QUINPOOL,2738.63
2025-04-04,SPRING-GARDEN,3462.52
2025-04-05,BEDFORD,3673.51
2025-04-05,CLAYTON-PARK,2526.11
2025-04-05,NORTH-END,2975.19
2025-04-05,QUINPOOL,3215.82
2025-04-05,SPRING-GARDEN,4450.72
2025-04-06,BEDFORD,2217.59
2025-04-06,CLAYTON-PARK,1347.99
2025-04-06,NORTH-END,1676.42
2025-04-06,QUINPOOL,1840.32
2025-04-06,SPRING-GARDEN,2294.03
2025-04-07,BEDFORD,1739.09
2025-04-07,CLAYTON-PARK,1081.86
2025-04-07,NORTH-END,1220.30
2025-04-07,QUINPOOL,1518.76
2025-04-07,SPRING-GARDEN,1845.09
2025-04-08,BEDFORD,1860.38
2025-04-08,CLAYTON-PARK,1143.63
2025-04-08,NORTH-END,1294.86
2025-04-08,QUINPOOL,1555.20
2025-04-08,SPRING-GARDEN,2049.42
2025-04-09,BEDFORD,1889.34
2025-04-09,CLAYTON-PARK,1202.82
2025-04-09,NORTH-END,1386.00
2025-04-09,QUINPOOL,1647.14
2025-04-09,SPRING-GARDEN,2126.93
2025-04-10,BEDFORD,2142.06
2025-04-10,CLAYTON-PARK,1459.92
2025-04-10,NORTH-END,1627.51
2025-04-10,QUINPOOL,1860.21
2025-04-10,SPRING-GARDEN,2461.06
2025-04-11,BEDFORD,3023.77
2025-04-11,CLAYTON-PARK,1880.58
2025-04-11,NORTH-END,2113.77
2025-04-11,QUINPOOL,2555.41
2025-04-11,SPRING-GARDEN,3164.39
2025-04-12,BEDFORD,4087.03
2025-04-12,CLAYTON-PARK,2443.88
2025-04-12,NORTH-END,2782.35
2025-04-12,QUINPOOL,3467.40
2025-04-12,SPRING-GARDEN,4409.16
2025-04-13,BEDFORD,2142.92
2025-04-13,CLAYTON-PARK,1347.29
2025-04-13,NORTH-END,1669.49
2025-04-13,QUINPOOL,1948.84
2025-04-13,SPRING-GARDEN,2265.24
2025-04-14,BEDFORD,1697.74
2025-04-14,CLAYTON-PARK,1017.80
2025-04-14,NORTH-END,1287.86
2025-04-14,QUINPOOL,1537.24
2025-04-14,SPRING-GARDEN,1909.17
2025-04-15,BEDFORD,1928.45
2025-04-15,CLAYTON-PARK,1174.71
2025-04-15,NORTH-END,1306.08
2025-04-15,QUINPOOL,1653.00
2025-04-15,SPRING-GARDEN,2034.69
2025-04-16,BEDFORD,1835.81
2025-04-16,CLAYTON-PARK,1227.59
2025-04-16,NORTH-END,1464.95
2025-04-16,QUINPOOL,1663.44
2025-04-16,SPRING-GARDEN,2206.52
2025-04-17,BEDFORD,2079.16
2025-04-17,CLAYTON-PARK,1414.73
2025-04-17,NORTH-END,1653.99
2025-04-17,QUINPOOL,1913.53
2025-04-17,SPRING-GARDEN,2388.37
2025-04-18,BEDFORD,3115.61
2025-04-18,CLAYTON-PARK,1863.28
2025-04-18,NORTH-END,2252.33
2025-04-18,QUINPOOL,2508.67
2025-04-18,SPRING-GARDEN,3451.35
2025-04-19,BEDFORD,4040.37
2025-04-19,CLAYTON-PARK,2324.37
2025-04-19,NORTH-END,2689.00
2025-04-19,QUINPOOL,3279.21
2025-04-19,SPRING-GARDEN,3961.08
2025-04-20,BEDFORD,2250.31
2025-04-20,CLAYTON-PARK,1454.56
2025-04-20,NORTH-END,1672.85
2025-04-20,QUINPOOL,1992.92
2025-04-20,SPRING-GARDEN,2350.97
2025-04-21,BEDFORD,1625.14
2025-04-21,CLAYTON-PARK,1022.99
2025-04-21,NORTH-END,1273.79
2025-04-21,QUINPOOL,1425.83
2025-04-21,SPRING-GARDEN,1909.00
2025-04-22,BEDFORD,1860.91
2025-04-22,CLAYTON-PARK,1212.07
2025-04-22,NORTH-END,1270.49
2025-04-22,QUINPOOL,1498.32
2025-04-22,SPRING-GARDEN,1871.64
2025-04-23,BEDFORD,2043.98
2025-04-23,CLAYTON-PARK,1222.80
