"region","center_name","street_address","city_town","postal_code","phone","email","web","x_coordinate","y_coordinate","location_1","location_details","facebook","twitter"
"HRM","YMCA of Greater Halifax/Dartmouth","35 Wilfred Jackson Way (Henry G. Bauld Centre)","Dartmouth","B2Z 1A8","902-466-7649","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.70257593","-63.47110363","(44.70257593, -63.47110363)",,"https://www.facebook.com/ymcansworks",
"HRM","YMCA of Greater Halifax/Dartmouth","1515 Main Road","Eastern Passage","B3G 1M7","902-461-8260","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.61150267","-63.49367531","(44.61150267, -63.49367531)","Designated Bilingual Centre","https://www.facebook.com/ymcansworks",
"HRM","YMCA of Greater Halifax/Dartmouth","5228 Highway # 7","Porters Lake","B3E 1J8","902-827-5110","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.74413742","-63.28301826","(44.74413742, -63.28301826)","Designated Bilingual Centre","https://www.facebook.com/ymcansworks",
"HRM","YMCA of Greater Halifax/Dartmouth","5 Cumberland Drive (Cumberland Plaza)","Cole Harbour","B2V 2T6","902-462-6871","novascotiaworks@halifax.ymca.ca","http://www.ymcansworks.ca","44.67077595","-63.49001698","(44.67077595, -63.49001698)","Designated Bilingual Centre","https://www.facebook.com/ymcansworks",
"Northern","Career Connections","138 Campbell Street, Unit 202","New Glasgow","B2H 5X9","902-752-6826","pictou@careerconnections.ca","http://www.careerconnections.ca","45.58319139","-62.64676785","(45.58319139, -62.64676785)",,"https://www.facebook.com/careerconnectionspictoucounty/","https://twitter.com/nsworkscareer"
"Northern","Career Connections","9996 Highway 16, Unit C (Chedabucto Centre)","Guysborough","B0H 1N0","902-533-2805","guysborough@careerconnections.ca","http://www.careerconnections.ca","45.40299711","-61.50623912","(45.40299711, -61.50623912)",,"https://www.facebook.com/careerconnectionsguysboroughcounty","https://twitter.com/nsworkscareer"
"Northern","Career Connections","325 Main Street, Unit 203","Antigonish","B2G 2C3","902-863-8244","antigonish@careerconnections.ca","http://www.careerconnections.ca","45.62214875","-61.99394816","(45.62214875, -61.99394816)","Designated Bilingual Centre","https://www.facebook.com/careerconnectionsantigonish","https://twitter.com/nsworkscareer"
"Northern","Cumberland African Nova Scotian Association (CANSA)","63 Victoria Street East","Amherst","B4H 1C5","902-661-1509","michelle.landry@cansa.ca","http://www.cansa.ca","45.83347049","-64.21272864","(45.83347049, -64.21272864)",,"https://www.facebook.com/CANSA.NSWorks","https://twitter.com/NSWorksCansa"
"Northern","Cumberland African Nova Scotian Association (CANSA)","72 Main Street","Springhill","B0M 1X0","902-661-1509","michelle.landry@cansa.ca","http://www.cansa.ca","45.6507335","-64.0627155","(45.6507335, -64.0627155)","Call for Office Hours","https://www.facebook.com/CANSA.NSWorks","https://twitter.com/NSWorksCansa"
"Northern","Futureworx","15 Commerce Court, Suite 110 (Lloyd E Matheson Centre)","Elmsdale","B2S 3K5","902-883-7010","nsworks@futureworx.ca","http://www.futureworx.ca","44.97887078","-63.50970611","(44.97887078, -63.50970611)",,"https://www.facebook.com/futureworx","https://twitter.com/Futureworx"
"Northern","Futureworx","80 Glenwood Drive","Truro","B2N 1P3","902-893-6859","nsworks@futureworx.ca","http://www.futureworx.ca","45.36386027","-63.27593089","(45.36386027, -63.27593089)",,"https://www.facebook.com/futureworx","https://twitter.com/Futureworx"
"South Shore","Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ)","1649 Highway 1, Unit 102","Church Point","B0W 1M0","902-769-3284","mdeveau@cdene.ns.ca","http://www.cdene.ns.ca","44.33094327","-66.11553347","(44.33094327, -66.11553347)","Designated Bilingual Centre","https://www.facebook.com/CDENEemploi/","https://twitter.com/CDENEemploi"
"South Shore","Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ)","1 Slocumb Crescent","Tusket","B0W 3M0","902-648-0573","ddoucette@cdene.ns.ca","http://www.cdene.ns.ca","43.86981044","-65.96764955","(43.86981044, -65.96764955)","Designated Bilingual Centre","https://www.facebook.com/CDENEemploi/","https://twitter.com/CDENEemploi"
"South Shore","Employment Opportunities Partnership","87 Warwick Street (Evangeline Mall)","Digby","B0V 1A0","902-245-1830","nsworks@nsworksdigby.ca","http://www.employmentopportunitiespartnership.ca","44.61549083","-65.76302219","(44.61549083, -65.76302219)",,"https://www.facebook.com/Nova-Scotia-Works-Centre-Digby-869885629812222/",
"South Shore","Employment Solutions Society","215 Dominion Street","Bridgewater","B4V 2K7","902-543-2479","info@empsolutions.ca","http://www.empsolutions.ca","44.37032741","-64.52684902","(44.37032741, -64.52684902)",,"https://www.facebook.com/NovaScotiaWorks/","https://twitter.com/ESS_Bridgewater"
"South Shore","Employment Solutions Society","11 Henry Hensey Drive, Unit 7 (Liverpool Professional Centre)","Liverpool","B0T 1K0","902-356-2039","info@empsolutions.ca","http://www.empsolutions.ca","44.0398512","-64.7221141","(44.0398512, -64.7221141)",,"https://www.facebook.com/NovaScotiaWorks/","https://twitter.com/ESS_Bridgewater"
"South Shore","Employment Solutions Society","3769 Highway # 3 (Our Health Centre)","Chester","B0J 1J0","902-543-2479","info@empsolutions.ca","http://www.empsolutions.ca","44.54730822","-64.23145343","(44.54730822, -64.23145343)","Call for Office Hours","https://www.facebook.com/NovaScotiaWorks/","https://twitter.com/ESS_Bridgewater"
"South Shore","Southwest Employment Services","26 North Street","Lockeport","B0T 1L0","902-742-5859","info@swemployment.com","http://www.swemployment.com","43.69913368","-65.11268327","(43.69913368, -65.11268327)","Call for Office Hours","https://www.facebook.com/swemployment","https://twitter.com/southwest16_"
"South Shore","Southwest Employment Services","103 Water Street (Pier One Complex)","Yarmouth","B5A 4P4","902-742-5859","info@swemployment.com","http://www.swemployment.com","43.83762529","-66.12102164","(43.83762529, -66.12102164)","Designated Bilingual Centre","https://www.facebook.com/swemployment","https://twitter.com/southwest16_"
"South Shore","Southwest Employment Services","25D King Street (Kings Corner)","Shelburne","B0W 1W0","902-875-2200","info@swemployment.com","http://www.swemployment.com","43.76357995","-65.32205503","(43.76357995, -65.32205503)",,"https://www.facebook.com/swemployment","https://twitter.com/southwest16_"
"South Shore","Southwest Employment Services","3588 Highway 3 (Barrington Municipal Library)","Barrington Passage","B0W 1W0","902-637-3015","info@swemployment.com","http://www.swemployment.com","43.52599947","-65.61112661","(43.52599947, -65.61112661)","Call for Office Hours","https://www.facebook.com/swemployment","https://twitter.com/southwest16_"
