"year","port","county","kgs","purchase_total"
"2017","Digby","Digby","5434106.44","69697904.47"
"2017","East Ferry","Digby",,
"2017","Freeport","Digby",,
"2017","Freeport","Digby",,
"2017","Gilberts Cove","Digby",,
"2017","Little River","Digby","1131659.86","9974772.97"
"2017","Meteghan","Digby","3062296.49","5414388.55"
"2017","Meteghan River","Digby",,
"2017","Rossway","Digby",,
"2017","Sandy Cove East","Digby","252670.70","3126025.64"
"2017","Saulnierville","Digby","398760.66","4562447.07"
"2017","Tiverton","Digby",,
"2017","Westport","Digby",,
"2017","Weymputh North","Digby","112170.58","686508.78"
"2017","Whale Cove","Digby",,
"2017","Other","Digby","360133.09","3459940.13"
"2017","Total for Digby County","Digby","13084622.11","134570494.26"
"2017","Canso","Guysborough","3451577.26","15378136.77"
"2017","Charlos Cove","Guysborough",,
"2017","Cooks Cove","Guysborough",,
"2017","Dover","Guysborough",,
"2017","Drum Head","Guysborough",,
"2017","Ecum Secum","Guysborough",,
"2017","Fishermans Harbour","Guysborough",,
"2017","Goldboro","Guysborough",,
"2017","Half Island Cove","Guysborough",,
"2017","Larrys River","Guysborough",,
"2017","Little Harbour","Guysborough",,
"2017","Little Liscomb","Guysborough",,
"2017","Marie Joseph","Guysborough",,
"2017","New Harbour","Guysborough",,
"2017","Pirate Harbour","Guysborough",,
"2017","Port Brickerton East","Guysborough",,
"2017","Port Brickerton West","Guysborough",,
"2017","Port Felix","Guysborough",,
"2017","Queensport","Guysborough",,
"2017","Sonora","Guysborough","21929.83","1008119.45"
"2017","Upper Whitehead","Guysborough",,
"2017","Wine Harbour","Guysborough",,
"2017","Other","Guysborough",,
"2017","Total for Guysborough County","Guysborough","5978924.70","52404143.97"
"2017","Boutiliers Point","Halifax",,
"2017","Carters Point","Halifax",,
"2017","Coopers Point","Halifax",,
"2017","East Chezzetcook","Halifax",,
"2017","East Dover","Halifax",,
"2017","East Jeddor","Halifax",,
"2017","East Petpeswick","Halifax",,
"2017","Eastern Passage","Halifax","1857249.55","8204659.18"
"2017","Ecum Secum West","Halifax","379389.01","3517418.25"
"2017","Factory Cove","Halifax",,
"2017","Gammons Creek","Halifax",,
"2017","Halifax","Halifax","3796384.75","14215257.27"
"2017","Indian Harbour","Halifax",,
"2017","Ketch Harbour","Halifax",,
"2017","Little Harbour","Halifax",,
"2017","Ostrea Lake","Halifax",,
"2017","Owls Head","Halifax",,
"2017","Peggys Cove","Halifax",,
"2017","Pleasant Point","Halifax",,
"2017","Prospect","Halifax",,
"2017","Sambro","Halifax","2365006.25","13084753.46"
"2017","Shad Bay","Halifax",,
"2017","Sober Island","Halifax","451376.65","1852596.13"
"2017","Terence Bay","Halifax",,
"2017","Three Fathom Harbour","Halifax",,
"2017","West Chezzetcook","Halifax",,
"2017","West Dover","Halifax",,
"2017","Other","Halifax","2920531.33","12261094.01"
"2017","Total for Halifax County","Halifax","14068305.76","77196803.71"
"2017","Other","Hants",,
"2017","Total for Hants County","Hants",,
"2017","Cheticamp","Inverness",,
"2017","Cheticamp Point","Inverness",,
"2017","Cheticamp - Town Wharf","Inverness",,
"2017","Finlay Point","Inverness",,
"2017","Grand Etang","Inverness","522982.50","7192449.95"
"2017","Inverness","Inverness","734009.84","9158425.45"
"2017","Judique","Inverness",,
"2017","Little Judique Harbour","Inverness",,
"2017","Little Judique Ponds","Inverness",,
"2017","Mabou Harbour","Inverness","474117.94","6016813.63"
"2017","Marble Mountain","Inverness",,
"2017","Margaree Harbour","Inverness","454097.76","6204135.31"
"2017","Meat Cove","Inverness",,
"2017","Murphys Pond","Inverness",,
"2017","Pleasant Bay","Inverness",,
"2017","Port Hood","Inverness",,
"2017","Port Hood Island","Inverness",,
"2017","Other","Inverness",,
"2017","Total for Inverness County","Inverness","8107464.61","97707260.47"
"2017","Halls Harbour","Kings","109496.75","1679044.46"
"2017","Harbourville","Kings","180164.65","2769720.71"
"2017","Kingsport","Kings",,
"2017","Pereaux","Kings",,
"2017","Scots Bay","Kings",,
"2017","Other","Kings",,
"2017","Total for Kings County","Kings","544077.97","6240032"
"2017","Aspotogan","Lunenburg",,
"2017","Black Harbour","Lunenburg",,
"2017","Bayport","Lunenburg",,
"2017","Big Tancook Island","Lunenburg",,
"2017","Blandford","Lunenburg",,
"2017","Bush Island","Lunenburg",,
"2017","Chester Basin","Lunenburg",,
"2017","Feltzen South","Lunenburg",,
"2017","Fox Point","Lunenburg",,
"2017","Kings Bay","Lunenburg",,
"2017","Kraut Point","Lunenburg",,
"2017","Little Harbour","Lunenburg",,
"2017","Lunenburg","Lunenburg",,
"2017","Lunenburg","Lunenburg",,
"2017","Lunenburg","Lunenburg",,
"2017","Mahone Bay","Lunenburg",,
"2017","Mill Cove","Lunenburg",,
"2017","Northwest Cove","Lunenburg","52287.37","935534.36"
"2017","Riverport","Lunenburg","681189.96","601245.10"
"2017","Saw Pit","Lunenburg",,
"2017","Voglers Cove West","Lunenburg",,
"2017","Western Shore","Lunenburg",,
"2017","Other","Lunenburg","597353.89","9840133.93"
"2017","Total for Lunenburg County","Lunenburg","2239750.65","20218824.28"
"2017","Baileys Brook","Pictou",,
"2017","Big Island","Pictou",,
"2017","Cape John","Pictou",,
"2017","Caribou","Pictou","4984566.92","29527707.64"
"2017","Caribou Ferry","Pictou","1059196.30","3796053.93"
"2017","Chance Harbour","Pictou",,
"2017","Little Harbour","Pictou",,
"2017","Merigomish","Pictou",,
"2017","Pictou Island","Pictou",,
"2017","Pictou Landing","Pictou",,
"2017","Skinners Cove","Pictou",,
"2017","Toney River","Pictou",,
"2017","Other","Pictou","355742.96","4741168.83"
"2017","Total for Pictou County","Pictou","7253463.90","50019468.94"
"2017","Brooklyn Fisherman's Wharf","Queens",,
"2017","East Side Port L'Hebert","Queens",,
"2017","Hunts Point","Queens",,
"2017","Moose Harbour","Queens",,
"2017","Port Medway","Queens","141265.34","2220212.43"
"2017","Port Mouton","Queens","4151769.29","10549819.63"
"2017","South West Port Mouton","Queens",,
"2017","St. Catherines River","Queens",,
"2017","Volgers Cove","Queens","197720.75","2911890.77"
"2017","West Berlin","Queens",,
"2017","Other","Queens","55840.13","4775112.57"
"2017","Total for Queens County","Queens","8290360.15","27990295.71"
"2017","Arichat","Richmond",,
"2017","Arrow Point","Richmond",,
"2017","Chapel Cove","Richmond",,
"2017","D'escousse","Richmond",,
"2017","Fourchu","Richmond",,
"2017","Janvrin Harbour","Richmond",,
"2017","L'Archeveque","Richmond",,
"2017","Poirierville","Richmond",,
"2017","River Bourgeois","Richmond",,
"2017","Other","Richmond","2919655.15","34445569.31"
"2017","Total for Richmond County","Richmond","10173152.20","113348928.30"
"2017","Allendale","Shelburne",,
"2017","Bear Point","Shelburne","1588972.69","5334285.34"
"2017","Cape Negro","Shelburne",,
"2017","Clarck's Harbour","Shelburne","2299821.65","29106668.15"
"2017","Cripple Creek","Shelburne","219094.92","3589594.69"
"2017","Forbes Point","Shelburne",,
"2017","Gunning Cove","Shelburne","1428197.91","16469978.53"
"2017","Ingomar","Shelburne","1578899.10","16050622.36"
"2017","Jones Harbour","Shelburne","93783.78","1524682.57"
"2017","Little Harbour","Shelburne","144059","2229724.57"
"2017","Lower Jordan Bay","Shelburne","457330.05","3381192.92"
"2017","Lower Sandy Point","Shelburne","316474.97","4255858.30"
"2017","Lower Woods Harbour","Shelburne","2534200.36","10233749.54"
"2017","Lower Woods Harbour","Shelburne","1654513.73","24718066.84"
"2017","Lower Woods Harbour","Shelburne",,
"2017","Newellton","Shelburne","488077.23","8138815.85"
"2017","Osborne Harbour","Shelburne",,
"2017","Port La Tour","Shelburne","2049364.93","15353471.17"
"2017","Seal Point","Shelburne","84296.45","1283049.98"
"2017","Shag Harbour","Shelburne","1443910.79","10959650.97"
"2017","Shag Harbour","Shelburne",,
"2017","Shelburne","Shelburne","298784.67","1124799.63"
"2017","South Side","Shelburne","430004.76","6542751.03"
"2017","Stoney Island","Shelburne","343746.92","5472967.91"
"2017","Swims Point","Shelburne","782041.13","2469618.52"
"2017","Uper Port La Tour","Shelburne",,
"2017","West Green Harbour","Shelburne","92439.51","1377179.19"
"2017","West Head","Shelburne","2717234.69","30032483.84"
"2017","Other","Shelburne","1545608.71","9720359.10"
"2017","Total for Shelburne County","Shelburne","24248322.72","230315328.05"
"2017","Bay St. Lawrence","Victoria",,
"2017","Big Bras D'or","Victoria",,
"2017","Dingwall","Victoria","332103.74","4502491.23"
"2017","Englishtown","Victoria",,
"2017","Ingonish","Victoria","333220.07","4977563.10"
"2017","Ingonish Beach","Victoria",,
"2017","Ingonish Ferry","Victoria",,
"2017","Iona","Victoria",,
"2017","Little River","Victoria",,
"2017","Neils Harbour","Victoria",,
"2017","New Campbellton","Victoria",,
"2017","New Haven","Victoria",,
"2017","Nyanza","Victoria",,
"2017","Smelt Book","Victoria",,
"2017","White Point","Victoria",,
"2017","Wreck Cove","Victoria",,
"2017","Other","Victoria",,
"2017","Total for Victoria County","Victoria","2608545.51","34904111.76"
"2017","Abbotts Harbour","Yarmouth","604306.11","5383817.56"
"2017","Abrams River","Yarmouth",,
"2017","Camp Cove","Yarmouth","2134530.47","22536835.91"
"2017","Chebogue","Yarmouth",,
"2017","Chegoggin","Yarmouth",,
"2017","Chegoggin Point","Yarmouth",,
"2017","Dennis Point","Yarmouth","17376201.85","21154737.21"
"2017","Glenwood","Yarmouth",,
"2017","Hubbards Point","Yarmouth",,
"2017","Ledge Harbour","Yarmouth",,
"2017","Little River Harbour","Yarmouth","950869.44","10783271.38"
"2017","Lower East Pubnico","Yarmouth","7669807.99","34406571.19"
"2017","Lower Wedgeport Tuna Wharf","Yarmouth",,
"2017","Morris Island","Yarmouth","518432.07","576393.59"
"2017","Pinkneys Point","Yarmouth","1762975.57","10255189.22"
"2017","Plymouth","Yarmouth",,
"2017","Port Maitland","Yarmouth","196225.25","3079471.56"
"2017","Rocco Point","Yarmouth",,
"2017","Stanford","Yarmouth",,
"2017","Sluice Point","Yarmouth",,
"2017","Surettes Island","Yarmouth",,
"2017","Wedge Point","Yarmouth","3507932.66","17813630.01"
"2017","Yarmouth Bar","Yarmouth","3168072.97","33893095.43"
"2017","Other","Yarmouth","15003370.30","7011374.27"
"2017","Total for Yarmouth County","Yarmouth","60474154.48","182525141.42"
"2017","Little Harbour","Richmond",,
"2017","Lockeport","Shelburne","776824.06","12693724.76"
"2018","Anderson Cove","Annapolis",,
"2018","Battery Point","Annapolis",,
"2018","Delaps Cove","Annapolis",,
"2018","Hampton","Annapolis",,
"2018","Margaretsville","Annapolis",,
"2018","Parkers Cove","Annapolis","351898.48","5507880.74"
"2018","Port Lorne","Annapolis",,
"2018","Other","Annapolis","68712.08","3897003.92"
"2018","Total for Annapolis County","Annapolis","664885.72","12848132.11"
"2018","Arisaig","Antigonish","175332.35","1992161.04"
"2018","Aulds Cove","Antigonish",,
"2018","Ballantynes Cove","Antigonish","341151.30","2779365.38"
"2018","Barrios Beach","Antigonish",,
"2018","Bayfield","Antigonish",,
"2018","Cribbons Point","Antigonish","167400.05","2314668.85"
"2018","Havre Boucher","Antigonish","235852.42","3283468.70"
"2018","Livingstone","Antigonish",,
"2018","Other","Antigonish",,
"2018","Total for Antigonish County","Antigonish","1156773.74","13554676.37"
"2018","Alder Point","Cape Breton","744804.82","9999654.95"
"2018","Crane Cove","Cape Breton",,
"2018","Gabarus","Cape Breton","149857.91","2064794.20"
"2018","Glace Bay","Cape Breton","4665942.58","26314292.03"
"2018","Lingan","Cape Breton","379104.48","4921640.77"
"2018","Louisbourg","Cape Breton","4255067.13","38456242.39"
"2018","Main-A-Dieu","Cape Breton","724104.74","9759412.50"
"2018","Marion Bridge","Cape Breton",,
"2018","New Waterford","Cape Breton",,
"2018","North Sydney - Ballast Grounds","Cape Breton","907227.56","8161710.63"
"2018","North Sydney - Marina Breakwater","Cape Breton","87715.21","416038.06"
"2018","Oyster Creek","Cape Breton",,
"2018","Point Aconi","Cape Breton",,
"2018","Port Morien","Cape Breton","1122482.35","15117498.72"
"2018","South Bar","Cape Breton","142395.69","1979152"
"2018","Three Stick Cove","Cape Breton",,
"2018","Victoria Bridge","Cape Breton",,
"2018","Other","Cape Breton","767204.59","7397523.19"
"2018","Total for Cape Breton County","Cape Breton","14065757.41","126258627.32"
"2018","Barrachois","Colchester",,
"2018","Five Islands","Colchester",,
"2018","Other","Colchester",,
"2018","Total for Colchester County","Colchester","196128.41","590388.51"
"2018","Advocate Harbour","Cumberland","166684","2927377.07"
"2018","Apple River","Cumberland",,
"2018","Malagash","Cumberland",,
"2018","Northport","Cumberland",,
"2018","Pugwash","Cumberland",,
"2018","Wallace","Cumberland",,
"2018","Other","Cumberland","60411.76","831209.15"
"2018","Total for Cumberland County","Cumberland","801170.30","10785891.44"
"2018","Cape St. Marys","Digby","268256","4827408"
"2018","Centerville","Digby","67788.87","1199857.86"
"2018","Culloden","Digby",,
"2018","Digby","Digby","5104618.76","59806801.95"
"2018","East Ferry","Digby",,
"2018","Freeport","Digby","52783.13","893796.95"
"2018","Freeport","Digby",,
"2018","Gilberts Cove","Digby",,
"2018","Little River","Digby","839727.16","9217208.24"
"2018","Meteghan","Digby","2814640.06","4509075.44"
"2018","Meteghan River","Digby",,
"2018","Rossway","Digby",,
"2018","Sandy Cove East","Digby","239969.22","3592659.51"
"2018","Saulnierville","Digby","499504.14","4804369.63"
"2018","Tiverton","Digby","293865.02","5372982.33"
"2018","Westport","Digby","568683.26","8754304.04"
"2018","Weymputh North","Digby","265277.16","867502.75"
"2018","Whale Cove","Digby",,
"2018","Other","Digby","155099.43","268537.95"
"2018","Total for Digby County","Digby","12209883.47","122896381.04"
"2018","Canso","Guysborough","2435197.55","7871946.12"
"2018","Charlos Cove","Guysborough",,
"2018","Cooks Cove","Guysborough",,
"2018","Dover","Guysborough",,
"2018","Drum Head","Guysborough",,
"2018","Ecum Secum","Guysborough",,
"2018","Fishermans Harbour","Guysborough",,
"2018","Goldboro","Guysborough",,
"2018","Half Island Cove","Guysborough",,
"2018","Larrys River","Guysborough",,
"2018","Little Harbour","Guysborough",,
"2018","Little Liscomb","Guysborough",,
"2018","Marie Joseph","Guysborough","356222.59","4805198.10"
"2018","New Harbour","Guysborough",,
"2018","Pirate Harbour","Guysborough",,
"2018","Port Brickerton East","Guysborough",,
"2018","Port Brickerton West","Guysborough",,
"2018","Port Felix","Guysborough",,
"2018","Queensport","Guysborough",,
"2018","Sonora","Guysborough",,
"2018","Upper Whitehead","Guysborough","45346.08","602658.26"
"2018","Wine Harbour","Guysborough",,
"2018","Other","Guysborough","141871.96","4933356.74"
"2018","Total for Guysborough County","Guysborough","6084132.74","48605726.46"
"2018","Boutiliers Point","Halifax",,
"2018","Carters Point","Halifax",,
"2018","Coopers Point","Halifax",,
"2018","East Chezzetcook","Halifax","72644.13","272075.09"
"2018","East Dover","Halifax",,
"2018","East Jeddor","Halifax","1405935.16","7848189.38"
"2018","East Petpeswick","Halifax",,
"2018","Eastern Passage","Halifax","1452835.93","4438774"
"2018","Ecum Secum West","Halifax",,
"2018","Factory Cove","Halifax",,
"2018","Gammons Creek","Halifax",,
"2018","Halifax","Halifax","1325362.75","5347104.83"
"2018","Indian Harbour","Halifax",,
"2018","Ketch Harbour","Halifax",,
"2018","Little Harbour","Halifax",,
"2018","Ostrea Lake","Halifax",,
"2018","Owls Head","Halifax",,
"2018","Peggys Cove","Halifax",,
"2018","Pleasant Point","Halifax",,
"2018","Prospect","Halifax",,
"2018","Sambro","Halifax","2725537.21","17270108.36"
"2018","Shad Bay","Halifax",,
"2018","Sober Island","Halifax",,
"2018","Terence Bay","Halifax",,
"2018","Three Fathom Harbour","Halifax",,
"2018","West Chezzetcook","Halifax",,
"2018","West Dover","Halifax",,
"2018","Other","Halifax","1603131.17","25457846.49"
"2018","Total for Halifax County","Halifax","10060778.61","78454080.26"
"2018","Other","Hants",,
"2018","Total for Hants County","Hants","78.12","1103.16"
"2018","Cheticamp","Inverness","2735828.81","34720733"
"2018","Cheticamp Point","Inverness",,
"2018","Cheticamp - Town Wharf","Inverness",,
"2018","Finlay Point","Inverness",,
"2018","Grand Etang","Inverness","344299.91","4705823.09"
"2018","Inverness","Inverness","300568.21","3881856.23"
"2018","Judique","Inverness",,
"2018","Little Judique Harbour","Inverness",,
"2018","Little Judique Ponds","Inverness",,
"2018","Mabou Harbour","Inverness","319492.51","3993522.60"
"2018","Marble Mountain","Inverness",,
"2018","Margaree Harbour","Inverness","326975.43","4364773.06"
"2018","Meat Cove","Inverness",,
"2018","Murphys Pond","Inverness",,
"2018","Pleasant Bay","Inverness","306253.53","4127516.69"
"2018","Port Hood","Inverness",,
"2018","Port Hood Island","Inverness",,
"2018","Other","Inverness",,
"2018","Total for Inverness County","Inverness","6318944.34","78793981.67"
"2018","Halls Harbour","Kings","62956.48","1018885.49"
"2018","Harbourville","Kings","113926.03","1813051.77"
"2018","Kingsport","Kings",,
"2018","Pereaux","Kings",,
"2018","Scots Bay","Kings",,
"2018","Other","Kings","248819.24","1424050.42"
"2018","Total for Kings County","Kings","511647.28","5579604.97"
"2018","Aspotogan","Lunenburg",,
"2018","Black Harbour","Lunenburg",,
"2018","Bayport","Lunenburg",,
"2018","Big Tancook Island","Lunenburg",,
"2018","Blandford","Lunenburg","119581.81","2180484.80"
"2018","Bush Island","Lunenburg",,
"2018","Chester Basin","Lunenburg",,
"2018","Feltzen South","Lunenburg",,
"2018","Fox Point","Lunenburg",,
"2018","Kings Bay","Lunenburg",,
"2018","Kraut Point","Lunenburg",,
"2018","Little Harbour","Lunenburg",,
"2018","Lunenburg","Lunenburg",,
"2018","Lunenburg","Lunenburg","41910.99","795163.27"
"2018","Lunenburg","Lunenburg",,
"2018","Mahone Bay","Lunenburg",,
"2018","Mill Cove","Lunenburg",,
"2018","Northwest Cove","Lunenburg",,
"2018","Riverport","Lunenburg",,
"2018","Saw Pit","Lunenburg",,
"2018","Voglers Cove West","Lunenburg","274667.67","4978407.67"
"2018","Western Shore","Lunenburg",,
"2018","Other","Lunenburg","634764.34","12471370.08"
"2018","Total for Lunenburg County","Lunenburg","2024863.28","26239266.46"
"2018","Baileys Brook","Pictou",,
"2018","Big Island","Pictou",,
"2018","Cape John","Pictou","114244.63","1493350.86"
"2018","Caribou","Pictou","1545583.18","7155638.92"
"2018","Caribou Ferry","Pictou","1160735.57","2989492.62"
"2018","Chance Harbour","Pictou",,
"2018","Little Harbour","Pictou","183930.65","2272545.60"
"2018","Merigomish","Pictou",,
"2018","Pictou Island","Pictou",,
"2018","Pictou Landing","Pictou",,
"2018","Skinners Cove","Pictou",,
"2018","Toney River","Pictou","252093.28","2732903.15"
"2018","Other","Pictou","1151198.17","1290100.31"
"2018","Total for Pictou County","Pictou","5020829.13","25479352.38"
"2018","Brooklyn Fisherman's Wharf","Queens","43916.32","790698.80"
"2018","East Side Port L'Hebert","Queens","480589.35","3984234.45"
"2018","Hunts Point","Queens",,
"2018","Moose Harbour","Queens","115262.26","2136171.29"
"2018","Port Medway","Queens","143302.40","2560592.54"
"2018","Port Mouton","Queens","5909038.67","21993919.08"
"2018","South West Port Mouton","Queens",,
"2018","St. Catherines River","Queens",,
"2018","Volgers Cove","Queens","94412.90","1633815.60"
"2018","West Berlin","Queens",,
"2018","Other","Queens","1490102.06","7269778.18"
"2018","Total for Queens County","Queens","8434369.20","43293778.42"
"2018","Arichat","Richmond","3034033.79","32019919.92"
"2018","Arrow Point","Richmond",,
"2018","Chapel Cove","Richmond",,
"2018","D'escousse","Richmond",,
"2018","Fourchu","Richmond",,
"2018","Janvrin Harbour","Richmond",,
"2018","L'Archeveque","Richmond",,
"2018","Little Harbour","Richmond","1709946.18","21623585.80"
"2018","Poirierville","Richmond",,
"2018","River Bourgeois","Richmond",,
"2018","Other","Richmond","2187966.78","26454121.08"
"2018","Total for Richmond County","Richmond","7607547.55","89861909.98"
"2018","Allendale","Shelburne",,
"2018","Bear Point","Shelburne","1561110.04","4613173.63"
"2018","Cape Negro","Shelburne",,
"2018","Clarck's Harbour","Shelburne","297935.46","30949473.86"
"2018","Cripple Creek","Shelburne","250043.95","4614017"
"2018","Forbes Point","Shelburne","404127.34","4899881.48"
"2018","Gunning Cove","Shelburne","1663364.30","16993981.57"
"2018","Ingomar","Shelburne","1478141.54","16615083.38"
"2018","Jones Harbour","Shelburne","103917.01","2176376.33"
"2018","Little Harbour","Shelburne","111179.03","2083310.82"
"2018","Lockeport","Shelburne","928274.44","17145825.22"
"2018","Lower Jordan Bay","Shelburne","759246.78","5016595.80"
"2018","Lower Sandy Point","Shelburne","447416.60","7734834.50"
"2018","Lower Woods Harbour","Shelburne","2389411.97","10492540.32"
"2018","Lower Woods Harbour","Shelburne","1506781.84","25923824.04"
"2018","Lower Woods Harbour","Shelburne",,
"2018","Newellton","Shelburne","557798.39","10091008.37"
"2018","Osborne Harbour","Shelburne",,
"2018","Port La Tour","Shelburne","1581296.09","14475565.41"
"2018","Seal Point","Shelburne","61385.97","1170320.10"
"2018","Shag Harbour","Shelburne","1444442.43","10346591.82"
"2018","Shag Harbour","Shelburne",,
"2018","Shelburne","Shelburne","78940.44","1350915.92"
"2018","South Side","Shelburne","466453.60","6352972.32"
"2018","Stoney Island","Shelburne","293449.07","5200204.23"
"2018","Swims Point","Shelburne","274382.34","2251419.47"
"2018","Uper Port La Tour","Shelburne",,
"2018","West Green Harbour","Shelburne",,
"2018","West Head","Shelburne","2188834.04","22737055.96"
"2018","Other","Shelburne","856207.28","7185998.04"
"2018","Total for Shelburne County","Shelburne","20334810.38","236425824"
"2018","Bay St. Lawrence","Victoria",,
"2018","Big Bras D'or","Victoria","255608.08","3029307.53"
"2018","Dingwall","Victoria","328471.82","4038191.45"
"2018","Englishtown","Victoria",,
"2018","Ingonish","Victoria","285275.53","3667759.86"
"2018","Ingonish Beach","Victoria",,
"2018","Ingonish Ferry","Victoria",,
"2018","Iona","Victoria",,
"2018","Little River","Victoria",,
"2018","Neils Harbour","Victoria",,
"2018","New Campbellton","Victoria",,
"2018","New Haven","Victoria",,
"2018","Nyanza","Victoria",,
"2018","Smelt Book","Victoria",,
"2018","White Point","Victoria",,
"2018","Wreck Cove","Victoria",,
"2018","Other","Victoria",,
"2018","Total for Victoria County","Victoria","2613477.79","31947296.78"
"2018","Abbotts Harbour","Yarmouth","890043.67","5944149.33"
"2018","Abrams River","Yarmouth",,
"2018","Camp Cove","Yarmouth","2071142.35","24092536.02"
"2018","Chebogue","Yarmouth","551302.97","990501.79"
"2018","Chegoggin","Yarmouth","13062.32","226691.30"
"2018","Chegoggin Point","Yarmouth","293020.43","4713679.73"
"2018","Dennis Point","Yarmouth","17053810.47","20651905.77"
"2018","Glenwood","Yarmouth",,
"2018","Hubbards Point","Yarmouth",,
"2018","Ledge Harbour","Yarmouth",,
"2018","Little River Harbour","Yarmouth","1242916.93","11271966.76"
"2018","Lower East Pubnico","Yarmouth","7566529.61","50425624.28"
"2018","Lower Wedgeport Tuna Wharf","Yarmouth",,
"2018","Morris Island","Yarmouth","579835.72","646152.21"
"2018","Pinkneys Point","Yarmouth","1746510.17","9896027.35"
"2018","Plymouth","Yarmouth",,
"2018","Port Maitland","Yarmouth","818044.56","6679459.70"
"2018","Rocco Point","Yarmouth","455154.17","173419.78"
"2018","Stanford","Yarmouth","332529.20","5967876.15"
"2018","Sluice Point","Yarmouth","1067948.80","368399.97"
"2018","Surettes Island","Yarmouth",,
"2018","Wedge Point","Yarmouth","3792020.93","18906199.68"
"2018","Yarmouth Bar","Yarmouth","2852259.29","35327486.95"
"2018","Other","Yarmouth","10534896.18","14092405.58"
"2018","Total for Yarmouth County","Yarmouth","56834119.75","213247904.62"
"2021","Anderson Cove","Annapolis",,
"2021","Battery Point","Annapolis","58052.67","841586.59"
"2021","Delaps Cove","Annapolis",,
"2021","Hampton","Annapolis",,
"2021","Margaretsville","Annapolis",,
"2021","Parkers Cove","Annapolis","36573.12","877729.02"
"2021","Port Lorne","Annapolis",,
"2021","Other","Annapolis","6534.01","2762399.73"
"2021","Total for Annapolis County","Annapolis","419994.43","11129949.75"
"2021","Arisaig","Antigonish",,
"2021","Aulds Cove","Antigonish",,
"2021","Ballantynes Cove","Antigonish",,
"2021","Barrios Beach","Antigonish",,
"2021","Bayfield","Antigonish",,
"2021","Cribbons Point","Antigonish",,
"2021","Havre Boucher","Antigonish",,
"2021","Livingstone","Antigonish",,
"2021","Other","Antigonish",,
"2021","Total for Antigonish County","Antigonish","1447599.84","26101611.53"
"2021","Alder Point","Cape Breton","968386.91","18209046.34"
"2021","Crane Cove","Cape Breton",,
"2021","Gabarus","Cape Breton",,
"2021","Glace Bay","Cape Breton","5929289.29","48717678.99"
"2021","Lingan","Cape Breton",,
"2021","Louisbourg","Cape Breton","5373970.00","71161571.79"
"2021","Main-A-Dieu","Cape Breton","801385.03","15072179.51"
"2021","Marion Bridge","Cape Breton",,
"2021","New Waterford","Cape Breton",,
"2021","North Sydney - Ballast Grounds","Cape Breton","528040.43","10095417.38"
"2021","North Sydney - Marina Breakwater","Cape Breton",,
"2021","Oyster Creek","Cape Breton",,
"2021","Point Aconi","Cape Breton",,
"2021","Port Morien","Cape Breton",,
"2021","South Bar","Cape Breton",,
"2021","Three Stick Cove","Cape Breton",,
"2021","Victoria Bridge","Cape Breton",,
"2021","Other","Cape Breton","416572.43","8033153.24"
"2021","Total for Cape Breton County","Cape Breton","15139291.32","193201902.18"
"2021","Barrachois","Colchester",,
"2021","Five Islands","Colchester",,
"2021","Other","Colchester",,
"2021","Total for Colchester County","Colchester","217455.65","1129366.87"
"2021","Advocate Harbour","Cumberland",,
"2021","Apple River","Cumberland",,
"2021","Malagash","Cumberland",,
"2021","Northport","Cumberland",,
"2021","Pugwash","Cumberland",,
"2021","Wallace","Cumberland","256612.42","4195283.74"
"2021","Other","Cumberland",,
"2021","Total for Cumberland County","Cumberland","861199.86","16381075.56"
"2021","Cape St. Marys","Digby","269539.79","6069165.95"
"2021","Centerville","Digby",,
"2021","Culloden","Digby",,
"2021","Digby","Digby","4112673.75","65852005.80"
"2021","East Ferry","Digby","34682.56","608608.55"
"2021","Freeport","Digby",,
"2021","Freeport","Digby","194825.47","4485297.51"
"2021","Gilberts Cove","Digby",,
"2021","Little River","Digby","1002552.61","1691248.73"
"2021","Meteghan","Digby","2755272.71","32269486.14"
"2021","Meteghan River","Digby",,
"2021","Rossway","Digby",,
"2021","Sandy Cove East","Digby","382790.82","9028824.01"
"2021","Saulnierville","Digby","261675.87","3211530.35"
"2021","Tiverton","Digby",,
"2021","Westport","Digby","490637.76","9529266.80"
"2021","Weymputh North","Digby",,
"2021","Whale Cove","Digby",,
"2021","Other","Digby","240385.61","1858913.04"
"2021","Total for Digby County","Digby","10274240.01","142275471.77"
"2021","Canso","Guysborough","3740770.50","36064494.30"
"2021","Charlos Cove","Guysborough",,
"2021","Cooks Cove","Guysborough",,
"2021","Dover","Guysborough",,
"2021","Drum Head","Guysborough",,
"2021","Ecum Secum","Guysborough",,
"2021","Fishermans Harbour","Guysborough",,
"2021","Goldboro","Guysborough",,
"2021","Half Island Cove","Guysborough",,
"2021","Larrys River","Guysborough",,
"2021","Little Harbour","Guysborough",,
"2021","Little Liscomb","Guysborough",,
"2021","Marie Joseph","Guysborough",,
"2021","New Harbour","Guysborough",,
"2021","Pirate Harbour","Guysborough",,
"2021","Port Brickerton East","Guysborough",,
"2021","Port Brickerton West","Guysborough",,
"2021","Port Felix","Guysborough",,
"2021","Queensport","Guysborough",,
"2021","Sonora","Guysborough",,
"2021","Upper Whitehead","Guysborough",,
"2021","Wine Harbour","Guysborough",,
"2021","Other","Guysborough","898624.81","4648617.27"
"2021","Total for Guysborough County","Guysborough","7787427.56","78806252.25"
"2021","Boutiliers Point","Halifax",,
