"area","area_type","year","residential","commercial"
"COLCHESTER","Rural Municipality","2024/2025","0.885","2.28"
"CUMBERLAND","Rural Municipality","2024/2025","1.14","2.71"
"DIGBY","Rural Municipality","2024/2025","1.3","1.85"
"EAST HANTS","Rural Municipality","2024/2025","0.8","2.57"
"GUYSBOROUGH","Rural Municipality","2024/2025","0.77","2.74"
"INVERNESS","Rural Municipality","2024/2025","1.05","1.91"
"KINGS","Rural Municipality","2024/2025","0.853","2.287"
"LUNENBURG","Rural Municipality","2024/2025","0.81","1.957"
"PICTOU","Rural Municipality","2024/2025","0.815","1.825"
"RICHMOND","Rural Municipality","2024/2025","0.85","2.15"
"SHELBURNE","Rural Municipality","2024/2025","1.26","1.82"
"ST. MARY'S","Rural Municipality","2024/2025","0.96","2.27"
"VICTORIA","Rural Municipality","2024/2025","1.15","2.09"
"YARMOUTH","Rural Municipality","2024/2025","1.18","2.17"
"AMHERST","Town","2024/2025","1.67","4.47"
"ANNAPOLIS ROYAL","Town","2024/2025","1.7","3.2"
"ANTIGONISH","Town","2024/2025","1.13","2.65"
"BERWICK","Town","2024/2025","1.558","3.87"
"BRIDGEWATER","Town","2024/2025","1.85","4.07"
"CLARK'S HARBOUR","Town","2024/2025","1.68","5.58"
"DIGBY","Town","2024/2025","1.91","4.2"
"KENTVILLE","Town","2024/2025","1.4262","3.2962"
"LOCKEPORT","Town","2024/2025","2.4","5.41"
"LUNENBURG","Town","2024/2025","1.376","3.358"
"MAHONE BAY","Town","2024/2025","1.324","3.264"
"MIDDLETON","Town","2024/2025","1.82","4.3"
"MULGRAVE","Town","2024/2025","1.2375","4.5257"
"NEW GLASGOW","Town","2024/2025","1.84","4.45"
"OXFORD","Town","2024/2025","1.7874","4.2804"
"PICTOU","Town","2024/2025","1.69","4.34"
"PORT HAWKESBURY","Town","2024/2025","1.58","4.16"
"SHELBURNE","Town","2024/2025","1.99","3.86"
"STELLARTON","Town","2024/2025","1.88","4.3"
"STEWIACKE","Town","2024/2025","1.58","3.45"
"TRENTON","Town","2024/2025","2.04","4.1"
"TRURO","Town","2024/2025","1.9025","4.5475"
"WESTVILLE","Town","2024/2025","2.13","3.95"
"WOLFVILLE","Town","2024/2025","1.4655","3.5655"
"YARMOUTH","Town","2024/2025","1.69","4.31"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2023/2024","1.8739","4.8729"
"CITY OF SYDNEY","Cape Breton Regional","2023/2024","2.2154","5.556"
"DOMINION","Cape Breton Regional","2023/2024","2.0154","5.084"
"GLACE BAY","Cape Breton Regional","2023/2024","2.0418","5.11"
"LOUISBOURG","Cape Breton Regional","2023/2024","2.0713","5.14"
"NEW WATERFORD","Cape Breton Regional","2023/2024","2.0286","5.097"
"NORTH SYDNEY","Cape Breton Regional","2023/2024","2.054","5.422"
"SYDNEY MINES","Cape Breton Regional","2023/2024","1.939","5.007"
"BEDFORD","Halifax Regional","2023/2024","1.115","3.553"
"COUNTY RURAL","Halifax Regional","2023/2024","0.968","3.108"
"COUNTY SUBURBAN","Halifax Regional","2023/2024","0.979","3.553"
"COUNTY URBAN","Halifax Regional","2023/2024","1.115","3.553"
"DARTMOUTH","Halifax Regional","2023/2024","1.115","3.533"
"HALIFAX","Halifax Regional","2023/2024","1.115","3.533"
"LIVERPOOL","Region of Queens","2023/2024","1.93","3"
"QUEENS COUNTY","Region of Queens","2023/2024","1.04","2.14"
"WEST HANTS","West Hants Regional Municipality","2023/2024","0.5314","0.98"
"WINDSOR","West Hants Regional Municipality","2023/2024","0.5314","0.98"
"HANTSPORT","West Hants Regional Municipality","2023/2024","0.5314","0.98"
"ANNAPOLIS","Rural Municipality","2023/2024","1.025","1.8"
"ANTIGONISH","Rural Municipality","2023/2024","0.88","1.44"
"ARGYLE","Rural Municipality","2023/2024","1.11","2.29"
"BARRINGTON","Rural Municipality","2023/2024","1.07","2.56"
"CHESTER","Rural Municipality","2023/2024","0.695","1.5"
"CLARE","Rural Municipality","2023/2024","1.04","2.07"
"COLCHESTER","Rural Municipality","2023/2024","0.885","2.28"
"CUMBERLAND","Rural Municipality","2023/2024","1.14","2.71"
"DIGBY","Rural Municipality","2023/2024","1.3","1.85"
"EAST HANTS","Rural Municipality","2023/2024","0.81","2.57"
"GUYSBOROUGH","Rural Municipality","2023/2024","0.77","2.74"
"INVERNESS","Rural Municipality","2023/2024","1.05","1.91"
"KINGS","Rural Municipality","2023/2024","0.853","2.287"
"LUNENBURG","Rural Municipality","2023/2024","0.81","1.957"
"PICTOU","Rural Municipality","2023/2024","0.815","1.825"
"RICHMOND","Rural Municipality","2023/2024","0.85","2.15"
"SHELBURNE","Rural Municipality","2023/2024","1.28","1.85"
"ST. MARY'S","Rural Municipality","2023/2024","0.97","2.28"
"VICTORIA","Rural Municipality","2023/2024","1.22","2.12"
"YARMOUTH","Rural Municipality","2023/2024","1.18","2.17"
"AMHERST","Town","2023/2024","1.67","4.47"
"ANNAPOLIS ROYAL","Town","2023/2024","1.7","3.2"
"ANTIGONISH","Town","2023/2024","1.11","2.63"
"BERWICK","Town","2023/2024","1.578","3.89"
"BRIDGEWATER","Town","2023/2024","1.85","4.07"
"CLARK'S HARBOUR","Town","2023/2024","1.68","5.58"
"DIGBY","Town","2023/2024","1.91","4.2"
"KENTVILLE","Town","2023/2024","1.4262","3.2962"
"LOCKEPORT","Town","2023/2024","2.4","5.41"
"LUNENBURG","Town","2023/2024","1.376","3.358"
"MAHONE BAY","Town","2023/2024","1.324","3.264"
"MIDDLETON","Town","2023/2024","1.81","4.29"
"MULGRAVE","Town","2023/2024","1.2375","4.5257"
"NEW GLASGOW","Town","2023/2024","1.84","4.45"
"OXFORD","Town","2023/2024","1.7874","4.2804"
"PICTOU","Town","2023/2024","1.69","4.34"
"PORT HAWKESBURY","Town","2023/2024","1.58","4.16"
"SHELBURNE","Town","2023/2024","2.01","3.88"
"STELLARTON","Town","2023/2024","1.88","4.3"
"STEWIACKE","Town","2023/2024","1.58","3.45"
"TRENTON","Town","2023/2024","2.04","4.1"
"TRURO","Town","2023/2024","1.9025","4.5475"
"WESTVILLE","Town","2023/2024","2.13","3.95"
"WOLFVILLE","Town","2023/2024","1.475","3.575"
"YARMOUTH","Town","2023/2024","1.69","4.31"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2022/2023","1.58958","4.61636"
"CITY OF SYDNEY","Cape Breton Regional","2022/2023","2.19058","5.21936"
"DOMINION","Cape Breton Regional","2022/2023","1.99058","4.96536"
"GLACE BAY","Cape Breton Regional","2022/2023","2.01858","4.96536"
"LOUISBOURG","Cape Breton Regional","2022/2023","1.94058","5.02136"
"NEW WATERFORD","Cape Breton Regional","2022/2023","2.00458","4.98836"
"NORTH SYDNEY","Cape Breton Regional","2022/2023","2.03058","5.00436"
"SYDNEY MINES","Cape Breton Regional","2022/2023","1.91558","4.88936"
"BEDFORD","Halifax Regional","2022/2023","1.154","3.53"
"COUNTY RURAL","Halifax Regional","2022/2023","1.01","3.137"
"COUNTY SUBURBAN","Halifax Regional","2022/2023","1.121","3.53"
"COUNTY URBAN","Halifax Regional","2022/2023","1.154","3.53"
"DARTMOUTH","Halifax Regional","2022/2023","1.154","3.53"
"HALIFAX","Halifax Regional","2022/2023","1.154","3.53"
"LIVERPOOL","Region of Queens","2022/2023","1.93","3"
"QUEENS COUNTY","Region of Queens","2022/2023","1.04","2.14"
"WEST HANTS","West Hants Regional Municipality","2022/2023","0.467","0.98"
"WINDSOR","West Hants Regional Municipality","2022/2023","0.467","0.98"
"HANTSPORT","West Hants Regional Municipality","2022/2023","0.467","0.98"
"ANNAPOLIS","Rural Municipality","2022/2023","1.025","1.8"
"ANTIGONISH","Rural Municipality","2022/2023","0.88","1.44"
"ARGYLE","Rural Municipality","2022/2023","1.11","2.29"
"BARRINGTON","Rural Municipality","2022/2023","1.07","2.56"
"CHESTER","Rural Municipality","2022/2023","0.705","1.53"
"CLARE","Rural Municipality","2022/2023","1.04","2.07"
"COLCHESTER","Rural Municipality","2022/2023","0.885","2.28"
"CUMBERLAND","Rural Municipality","2022/2023","1.17","2.76"
"DIGBY","Rural Municipality","2022/2023","1.3","1.85"
"EAST HANTS","Rural Municipality","2022/2023","0.85","2.6"
"GUYSBOROUGH","Rural Municipality","2022/2023","0.77","2.74"
"INVERNESS","Rural Municipality","2022/2023","1.05","1.91"
"KINGS","Rural Municipality","2022/2023","0.853","2.287"
"LUNENBURG","Rural Municipality","2022/2023","0.81","1.957"
"PICTOU","Rural Municipality","2022/2023","0.815","1.825"
"RICHMOND","Rural Municipality","2022/2023","0.85","2.15"
"SHELBURNE","Rural Municipality","2022/2023","1.26","1.82"
"ST. MARY'S","Rural Municipality","2022/2023","0.95","2.26"
"VICTORIA","Rural Municipality","2022/2023","1.22","2.12"
"YARMOUTH","Rural Municipality","2022/2023","1.18","2.17"
"AMHERST","Town","2022/2023","1.67","4.47"
"ANNAPOLIS ROYAL","Town","2022/2023","1.7","3.2"
"ANTIGONISH","Town","2022/2023","1.11","2.63"
"BERWICK","Town","2022/2023","1.588","3.9"
"BRIDGEWATER","Town","2022/2023","1.75","3.97"
"CLARK'S HARBOUR","Town","2022/2023","1.68","5.58"
"DIGBY","Town","2022/2023","1.86","4.15"
"KENTVILLE","Town","2022/2023","1.4262","3.2962"
"LOCKEPORT","Town","2022/2023","2.4","5.41"
"LUNENBURG","Town","2022/2023","1.376","3.358"
"MAHONE BAY","Town","2022/2023","1.282","3.222"
"MIDDLETON","Town","2022/2023","1.81","4.29"
"MULGRAVE","Town","2022/2023","1.2375","4.5257"
"NEW GLASGOW","Town","2022/2023","1.84","4.45"
"OXFORD","Town","2022/2023","1.7874","4.2804"
"PICTOU","Town","2022/2023","1.69","4.34"
"PORT HAWKESBURY","Town","2022/2023","1.58","4.16"
"SHELBURNE","Town","2022/2023","2.03","3.88"
"STELLARTON","Town","2022/2023","1.82","4.15"
"STEWIACKE","Town","2022/2023","1.615","3.45"
"TRENTON","Town","2022/2023","2.04","4.1"
"TRURO","Town","2022/2023","1.9025","4.5475"
"WESTVILLE","Town","2022/2023","2.08","3.69"
"WOLFVILLE","Town","2022/2023","1.4575","3.575"
"YARMOUTH","Town","2022/2023","1.69","4.31"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2021/2022","1.665","4.854"
"CITY OF SYDNEY","Cape Breton Regional","2021/2022","2.266","5.457"
"DOMINION","Cape Breton Regional","2021/2022","2.066","5.203"
"GLACE BAY","Cape Breton Regional","2021/2022","2.094","5.203"
"LOUISBOURG","Cape Breton Regional","2021/2022","2.016","5.259"
"NEW WATERFORD","Cape Breton Regional","2021/2022","2.08","5.226"
"NORTH SYDNEY","Cape Breton Regional","2021/2022","2.106","5.242"
"SYDNEY MINES","Cape Breton Regional","2021/2022","1.991","5.127"
"BEDFORD","Halifax Regional","2021/2022","1.189","3.394"
"COUNTY RURAL","Halifax Regional","2021/2022","1.143","3.057"
"COUNTY SUBURBAN","Halifax Regional","2021/2022","1.156","3.394"
"COUNTY URBAN","Halifax Regional","2021/2022","1.189","3.394"
"DARTMOUTH","Halifax Regional","2021/2022","1.189","3.394"
"HALIFAX","Halifax Regional","2021/2022","1.189","3.394"
"LIVERPOOL","Region of Queens","2021/2022","1.96","3.06"
"QUEENS COUNTY","Region of Queens","2021/2022","1.07","2.17"
"WEST HANTS","West Hants Regional Municipality","2021/2022","0.4798","0.98"
"WINDSOR","West Hants Regional Municipality","2021/2022","0.4798","0.98"
"HANTSPORT","West Hants Regional Municipality","2021/2022","0.4798","0.98"
"ANNAPOLIS","Rural Municipality","2021/2022","1.025","1.8"
"ANTIGONISH","Rural Municipality","2021/2022","0.88","1.44"
"ARGYLE","Rural Municipality","2021/2022","1.11","2.29"
"BARRINGTON","Rural Municipality","2021/2022","1.07","2.56"
"CHESTER","Rural Municipality","2021/2022","0.705","1.53"
"CLARE","Rural Municipality","2021/2022","1.04","2.07"
"COLCHESTER","Rural Municipality","2021/2022","0.885","2.28"
"CUMBERLAND","Rural Municipality","2021/2022","1.19","2.78"
"DIGBY","Rural Municipality","2021/2022","1.3","1.85"
"EAST HANTS","Rural Municipality","2021/2022","0.8507","2.6"
"GUYSBOROUGH","Rural Municipality","2021/2022","0.77","2.74"
"INVERNESS","Rural Municipality","2021/2022","1.05","1.91"
"KINGS","Rural Municipality","2021/2022","0.853","2.287"
"LUNENBURG","Rural Municipality","2021/2022","0.81","1.957"
"PICTOU","Rural Municipality","2021/2022","0.8155","1.8255"
"RICHMOND","Rural Municipality","2021/2022","0.81","2.11"
"SHELBURNE","Rural Municipality","2021/2022","1.26","1.82"
"ST. MARY'S","Rural Municipality","2021/2022","0.95","2.26"
"VICTORIA","Rural Municipality","2021/2022","1.22","2.12"
"YARMOUTH","Rural Municipality","2021/2022","1.18","2.17"
"AMHERST","Town","2021/2022","1.67","4.47"
"ANNAPOLIS ROYAL","Town","2021/2022","1.7","3.2"
"ANTIGONISH","Town","2021/2022","1.1","2.62"
"BERWICK","Town","2021/2022","1.568","3.88"
"BRIDGEWATER","Town","2021/2022","1.75","3.97"
"CLARK'S HARBOR","Town","2021/2022","1.68","5.58"
"DIGBY","Town","2021/2022","1.86","4.15"
"KENTVILLE","Town","2021/2022","1.4081","3.283"
"LOCKEPORT","Town","2021/2022","2.38","5.41"
"LUNENBURG","Town","2021/2022","1.376","3.318"
"MAHONE BAY","Town","2021/2022","1.282","3.192"
"MIDDLETON","Town","2021/2022","1.79","4.27"
"MULGRAVE","Town","2021/2022","1.2375","4.5257"
"NEW GLASGOW","Town","2021/2022","1.84","4.45"
"OXFORD","Town","2021/2022","1.6874","4.1557"
"PICTOU","Town","2021/2022","1.64","4.34"
"PORT HAWKESBURY","Town","2021/2022","1.58","4.16"
"SHELBURNE","Town","2021/2022","2.06","3.88"
"STELLARTON","Town","2021/2022","1.82","4.15"
"STEWIACKE","Town","2021/2022","1.665","3.46"
"TRENTON","Town","2021/2022","1.99","4.1"
"TRURO","Town","2021/2022","1.9025","4.5425"
"WESTVILLE","Town","2021/2022","2.08","3.69"
"WOLFVILLE","Town","2021/2022","1.475","3.585"
"YARMOUTH","Town","2021/2022","1.67","4.29"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2020/2021","1.665","4.854"
"CITY OF SYDNEY","Cape Breton Regional","2020/2021","2.266","5.457"
"DOMINION","Cape Breton Regional","2020/2021","2.066","5.203"
"GLACE BAY","Cape Breton Regional","2020/2021","2.094","5.203"
"LOUISBOURG","Cape Breton Regional","2020/2021","2.016","5.259"
"NEW WATERFORD","Cape Breton Regional","2020/2021","2.08","5.226"
"NORTH SYDNEY","Cape Breton Regional","2020/2021","2.106","5.242"
"SYDNEY MINES","Cape Breton Regional","2020/2021","1.991","5.127"
"BEDFORD","Halifax Regional","2020/2021","1.196","3.441"
"COUNTY RURAL","Halifax Regional","2020/2021","1.051","3.059"
"COUNTY SUBURBAN","Halifax Regional","2020/2021","1.065","3.441"
"COUNTY URBAN","Halifax Regional","2020/2021","1.196","3.441"
"DARTMOUTH","Halifax Regional","2020/2021","1.196","3.441"
"HALIFAX","Halifax Regional","2020/2021","1.196","3.441"
"LIVERPOOL","Region of Queens","2020/2021","1.92","3.02"
"QUEENS COUNTY","Region of Queens","2020/2021","1.03","2.13"
"WEST HANTS","West Hants Regional Municipality","2020/2021","0.4318","0.99"
"WINDSOR","West Hants Regional Municipality","2020/2021","0.4318","0.99"
"HANTSPORT","West Hants Regional Municipality","2020/2021","0.4318","0.99"
"ANNAPOLIS","Rural Municipality","2020/2021","1.015","1.8"
"ANTIGONISH","Rural Municipality","2020/2021","0.88","1.46"
"ARGYLE","Rural Municipality","2020/2021","1.09","2.27"
"BARRINGTON","Rural Municipality","2020/2021","1.05","2.56"
"CHESTER","Rural Municipality","2020/2021","0.705","1.53"
"CLARE","Rural Municipality","2020/2021","1.04","2.07"
"COLCHESTER","Rural Municipality","2020/2021","0.885","2.28"
"CUMBERLAND","Rural Municipality","2020/2021","1.19","2.78"
"DIGBY","Rural Municipality","2020/2021","1.3","1.85"
"EAST HANTS","Rural Municipality","2020/2021","0.8507","2.6"
"GUYSBOROUGH","Rural Municipality","2020/2021","0.71","2.68"
"INVERNESS","Rural Municipality","2020/2021","1.05","1.91"
"KINGS","Rural Municipality","2020/2021","0.853","2.287"
"LUNENBURG","Rural Municipality","2020/2021","0.81","1.957"
"PICTOU","Rural Municipality","2020/2021","0.81","1.82"
"RICHMOND","Rural Municipality","2020/2021","0.8","2.1"
"SHELBURNE","Rural Municipality","2020/2021","1.26","1.82"
"ST. MARY'S","Rural Municipality","2020/2021","0.95","2.26"
"VICTORIA","Rural Municipality","2020/2021","1.22","2.12"
"YARMOUTH","Rural Municipality","2020/2021","1.18","2.17"
"AMHERST","Town","2020/2021","1.655","4.455"
"ANNAPOLIS ROYAL","Town","2020/2021","1.7","3.2"
"ANTIGONISH","Town","2020/2021","1.09","2.61"
"BERWICK","Town","2020/2021","1.548","3.84"
"BRIDGEWATER","Town","2020/2021","1.65","3.97"
"CLARK'S HARBOR","Town","2020/2021","1.68","5.58"
"DIGBY","Town","2020/2021","1.86","4.15"
"KENTVILLE","Town","2020/2021","1.4108","3.285"
"LOCKEPORT","Town","2020/2021","2.38","5.41"
"LUNENBURG","Town","2020/2021","1.346","3.318"
"MAHONE BAY","Town","2020/2021","1.25","3.16"
"MIDDLETON","Town","2020/2021","1.77","4.25"
"MULGRAVE","Town","2020/2021","1.2375","4.5257"
"NEW GLASGOW","Town","2020/2021","1.84","4.45"
"OXFORD","Town","2020/2021","1.6874","4.1557"
"PICTOU","Town","2020/2021","1.64","4.34"
"PORT HAWKESBURY","Town","2020/2021","1.58","4.16"
"SHELBURNE","Town","2020/2021","2.06","3.88"
"STELLARTON","Town","2020/2021","1.82","4.15"
"STEWIACKE","Town","2020/2021","1.665","3.46"
"TRENTON","Town","2020/2021","1.94","4.1"
"TRURO","Town","2020/2021","1.85","4.5"
"WESTVILLE","Town","2020/2021","2.08","3.69"
"WOLFVILLE","Town","2020/2021","1.475","3.585"
"YARMOUTH","Town","2020/2021","1.66","4.28"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2019/2020","1.665","4.854"
"CITY OF SYDNEY","Cape Breton Regional","2019/2020","2.266","5.457"
"DOMINION","Cape Breton Regional","2019/2020","2.066","5.203"
"GLACE BAY","Cape Breton Regional","2019/2020","2.094","5.203"
"LOUISBOURG","Cape Breton Regional","2019/2020","2.016","5.259"
"NEW WATERFORD","Cape Breton Regional","2019/2020","2.08","5.226"
"NORTH SYDNEY","Cape Breton Regional","2019/2020","2.106","5.242"
"SYDNEY MINES","Cape Breton Regional","2019/2020","1.991","5.127"
"BEDFORD","Halifax Regional","2019/2020","1.196","3.432"
"COUNTY RURAL","Halifax Regional","2019/2020","1.15","3.054"
"COUNTY SUBURBAN","Halifax Regional","2019/2020","1.163","3.432"
"COUNTY URBAN","Halifax Regional","2019/2020","1.196","3.432"
"DARTMOUTH","Halifax Regional","2019/2020","1.196","3.432"
"HALIFAX","Halifax Regional","2019/2020","1.196","3.432"
"LIVERPOOL","Region of Queens","2019/2020","1.92","3.02"
"QUEENS COUNTY","Region of Queens","2019/2020","1.03","2.13"
"ANNAPOLIS","Rural Municipality","2019/2020","1.015","1.8"
"ANTIGONISH","Rural Municipality","2019/2020","0.88","1.46"
"ARGYLE","Rural Municipality","2019/2020","1.09","2.27"
"BARRINGTON","Rural Municipality","2019/2020","1.05","2.56"
"CHESTER","Rural Municipality","2019/2020","0.705","1.53"
"CLARE","Rural Municipality","2019/2020","1.04","2.07"
"COLCHESTER","Rural Municipality","2019/2020","0.885","2.28"
"CUMBERLAND","Rural Municipality","2019/2020","1.19","2.78"
"DIGBY","Rural Municipality","2019/2020","1.3","1.85"
"EAST HANTS","Rural Municipality","2019/2020","0.8527","2.6"
"GUYSBOROUGH","Rural Municipality","2019/2020","0.71","2.68"
"INVERNESS","Rural Municipality","2019/2020","1.05","1.91"
"KINGS","Rural Municipality","2019/2020","0.853","2.287"
"LUNENBURG","Rural Municipality","2019/2020","0.81","1.957"
"PICTOU","Rural Municipality","2019/2020","0.81","1.82"
"RICHMOND","Rural Municipality","2019/2020","0.8","2.1"
"SHELBURNE","Rural Municipality","2019/2020","1.26","1.82"
"ST. MARY'S","Rural Municipality","2019/2020","0.95","2.26"
"VICTORIA","Rural Municipality","2019/2020","1.22","2.12"
"WEST HANTS","Rural Municipality","2019/2020","1.0323","1.8"
"YARMOUTH","Rural Municipality","2019/2020","1.18","2.17"
"AMHERST","Town","2019/2020","1.655","4.455"
"ANNAPOLIS ROYAL","Town","2019/2020","1.7","3.2"
"ANTIGONISH","Town","2019/2020","1.09","2.61"
"BERWICK","Town","2019/2020","1.189","3.481"
"BRIDGEWATER","Town","2019/2020","1.65","3.97"
"CLARK'S HARBOR","Town","2019/2020","1.68","5.58"
"DIGBY","Town","2019/2020","1.86","4.15"
"KENTVILLE","Town","2019/2020","1.4272","3.3129"
"LOCKEPORT","Town","2019/2020","2.38","5.41"
"LUNENBURG","Town","2019/2020","1.351","3.358"
"MAHONE BAY","Town","2019/2020","1.25","3.16"
"MIDDLETON","Town","2019/2020","1.77","4.25"
"MULGRAVE","Town","2019/2020","1.2375","4.5257"
"NEW GLASGOW","Town","2019/2020","1.84","4.45"
"OXFORD","Town","2019/2020","1.6874","4.1557"
"PICTOU","Town","2019/2020","1.64","4.34"
"PORT HAWKESBURY","Town","2019/2020","1.58","4.16"
"SHELBURNE","Town","2019/2020","2.06","3.88"
"STELLARTON","Town","2019/2020","1.82","4.15"
"STEWIACKE","Town","2019/2020","1.665","3.46"
"TRENTON","Town","2019/2020","1.62","4.1"
"TRURO","Town","2019/2020","1.85","4.5"
"WESTVILLE","Town","2019/2020","2.08","3.69"
"WINDSOR","Town","2019/2020","1.88","3.95"
"WOLFVILLE","Town","2019/2020","1.465","3.575"
"YARMOUTH","Town","2019/2020","1.66","4.28"
"CAPE BRETON MUN-Suburban","Cape Breton Regional","2018/2019","1.665","4.854"
