region,center_name,city_town,street_address,postal_code,fsa,latitude,longitude,phone,email,web,facebook,twitter,has_email,has_web,has_facebook,has_twitter,contact_channels,region_centres,region_share_pct
Cape Breton,YMCA of Cape Breton,New Waterford,479 Heelan Street,B1H 3C6,B1H,46.24973127,-60.09280997,902-862-8856,resource.newwaterford@cb.ymca.ca,https://capebreton.ymca.ca/employment-services/,https://www.facebook.com/YMCANSWCB,https://twitter.com/ymcanswcb,1,1,1,1,4,12,25.53
Cape Breton,YMCA of Cape Breton,Port Hawkesbury,"47 Paint Street, Unit 9 (Port Hawkesbury Centre)",B9A 3J9,B9A,45.6166333,-61.335886,902-738-2130,resource.porthawkesbury@cb.ymca.ca,https://capebreton.ymca.ca/employment-services/,https://www.facebook.com/YMCANSWCB,https://twitter.com/ymcanswcb,1,1,1,1,4,12,25.53
Cape Breton,YMCA of Cape Breton,St. Peters,10036 Grenville Street (St. Peter's Learning & Technology Centre),B0E 3B0,B0E,45.6566922,-60.87126297,902-738-2130,resource.porthawkesbury@cb.ymca.ca,https://capebreton.ymca.ca/employment-services/,https://www.facebook.com/YMCANSWCB,https://twitter.com/ymcanswcb,1,1,1,1,4,12,25.53
Cape Breton,YMCA of Cape Breton,Sydney,341 Welton Street,B1P 5S6,B1P,46.1449753,-60.1637055,902-270-4552,resource.sydney@cb.ymca.ca,https://capebreton.ymca.ca/employment-services/,https://www.facebook.com/YMCANSWCB,https://twitter.com/ymcanswcb,1,1,1,1,4,12,25.53
Cape Breton,YMCA of Cape Breton,Sydney,399 Charlotte Street,B1P 1E3,B1P,46.13673915,-60.19325464,902-564-9151,resource.sydney@cb.ymca.ca,https://capebreton.ymca.ca/employment-services/,https://www.facebook.com/YMCANSWCB,https://twitter.com/ymcanswcb,1,1,1,1,4,12,25.53
HRM,Job Junction,Halifax,6950 Mumford Road (Halifax Shopping Centre Annex),B3L 4W1,B3L,44.646731,-63.61766172,902-455-9675,contact@jobjunction.ca,http://www.jobjunction.ca,https://www.facebook.com/novascotiaworkshalifax/,https://twitter.com/Job_Junction,1,1,1,1,4,12,25.53
HRM,Opportunity Place,Lower Sackville,"108 Cobequid Road, Suite 100",B4C 2N2,B4C,44.75608625,-63.6615569,902-864-7520,staff@opportunityplace.ca,http://www.opportunityplace.ca,https://www.facebook.com/Opportunity-Place-Nova-Scotia-Works-633498223708418,https://twitter.com/OPRCNS,1,1,1,1,4,12,25.53
HRM,TEAM Work,Halifax,"7051 Bayers Road, Suite 501 (Bayers Road Centre)",B3L 2C1,B3L,44.65452839,-63.62540856,902-422-8900,reception@teamworkbridge.org,http://www.teamworkbridge.org,https://www.facebook.com/TEAMWork1997,https://twitter.com/TEAMWork1997,1,1,1,1,4,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Cole Harbour,5 Cumberland Drive (Cumberland Plaza),B2V 2T6,B2V,44.67077595,-63.49001698,902-462-6871,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Dartmouth,"118 Wyse Road, Unit 14 (Dartmouth Shopping Centre)",B3A 1N7,B3A,44.67176206,-63.57667915,902-461-2513,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Dartmouth,35 Wilfred Jackson Way (Henry G. Bauld Centre),B2Z 1A8,B2Z,44.70257593,-63.47110363,902-466-7649,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Eastern Passage,1515 Main Road,B3G 1M7,B3G,44.61150267,-63.49367531,902-461-8260,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Halifax,"1888 Brunswick Street, Suite 608",B3J 3J8,B3J,44.6493179,-63.581018,902-425-3464,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Musquodoboit,"12335 Highway # 224",B0N 1X0,B0N,45.0435368,-63.14773034,902-384-2390,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,North Preston,44 Simmonds Road (North Recreation Centre),B2Z 1A3,B2Z,44.74545835,-63.46716766,902-461-2513,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Porters Lake,"5228 Highway # 7",B3E 1J8,B3E,44.74413742,-63.28301826,902-827-5110,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
HRM,YMCA of Greater Halifax/Dartmouth,Sheet Harbour,"22756 Highway # 7",B0J 3B0,B0J,44.91780788,-62.526512,902-885-2810,novascotiaworks@halifax.ymca.ca,http://www.ymcansworks.ca,https://www.facebook.com/ymcansworks,,1,1,1,0,3,12,25.53
Northern,Career Connections,Antigonish,"325 Main Street, Unit 203",B2G 2C3,B2G,45.62214875,-61.99394816,902-863-8244,antigonish@careerconnections.ca,http://www.careerconnections.ca,https://www.facebook.com/careerconnectionsantigonish,https://twitter.com/nsworkscareer,1,1,1,1,4,7,14.89
Northern,Career Connections,Guysborough,"9996 Highway 16, Unit C (Chedabucto Centre)",B0H 1N0,B0H,45.40299711,-61.50623912,902-533-2805,guysborough@careerconnections.ca,http://www.careerconnections.ca,https://www.facebook.com/careerconnectionsguysboroughcounty,https://twitter.com/nsworkscareer,1,1,1,1,4,7,14.89
Northern,Career Connections,New Glasgow,"138 Campbell Street, Unit 202",B2H 5X9,B2H,45.58319139,-62.64676785,902-752-6826,pictou@careerconnections.ca,http://www.careerconnections.ca,https://www.facebook.com/careerconnectionspictoucounty/,https://twitter.com/nsworkscareer,1,1,1,1,4,7,14.89
Northern,Cumberland African Nova Scotian Association (CANSA),Amherst,63 Victoria Street East,B4H 1C5,B4H,45.83347049,-64.21272864,902-661-1509,michelle.landry@cansa.ca,http://www.cansa.ca,https://www.facebook.com/CANSA.NSWorks,https://twitter.com/NSWorksCansa,1,1,1,1,4,7,14.89
Northern,Cumberland African Nova Scotian Association (CANSA),Springhill,72 Main Street,B0M 1X0,B0M,45.6507335,-64.0627155,902-661-1509,michelle.landry@cansa.ca,http://www.cansa.ca,https://www.facebook.com/CANSA.NSWorks,https://twitter.com/NSWorksCansa,1,1,1,1,4,7,14.89
Northern,Futureworx,Elmsdale,"15 Commerce Court, Suite 110 (Lloyd E Matheson Centre)",B2S 3K5,B2S,44.97887078,-63.50970611,902-883-7010,nsworks@futureworx.ca,http://www.futureworx.ca,https://www.facebook.com/futureworx,https://twitter.com/Futureworx,1,1,1,1,4,7,14.89
Northern,Futureworx,Truro,80 Glenwood Drive,B2N 1P3,B2N,45.36386027,-63.27593089,902-893-6859,nsworks@futureworx.ca,http://www.futureworx.ca,https://www.facebook.com/futureworx,https://twitter.com/Futureworx,1,1,1,1,4,7,14.89
South Shore,Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ),Church Point,"1649 Highway 1, Unit 102",B0W 1M0,B0W,44.33094327,-66.11553347,902-769-3284,mdeveau@cdene.ns.ca,http://www.cdene.ns.ca,https://www.facebook.com/CDENEemploi/,https://twitter.com/CDENEemploi,1,1,1,1,4,10,21.28
South Shore,Conseil de développement économique de la Nouvelle-Écosse (CDÉNÉ),Tusket,1 Slocumb Crescent,B0W 3M0,B0W,43.86981044,-65.96764955,902-648-0573,ddoucette@cdene.ns.ca,http://www.cdene.ns.ca,https://www.facebook.com/CDENEemploi/,https://twitter.com/CDENEemploi,1,1,1,1,4,10,21.28
South Shore,Employment Opportunities Partnership,Digby,87 Warwick Street (Evangeline Mall),B0V 1A0,B0V,44.61549083,-65.76302219,902-245-1830,nsworks@nsworksdigby.ca,http://www.employmentopportunitiespartnership.ca,https://www.facebook.com/Nova-Scotia-Works-Centre-Digby-869885629812222/,,1,1,1,0,3,10,21.28
South Shore,Employment Solutions Society,Bridgewater,215 Dominion Street,B4V 2K7,B4V,44.37032741,-64.52684902,902-543-2479,info@empsolutions.ca,http://www.empsolutions.ca,https://www.facebook.com/NovaScotiaWorks/,https://twitter.com/ESS_Bridgewater,1,1,1,1,4,10,21.28
South Shore,Employment Solutions Society,Chester,"3769 Highway # 3 (Our Health Centre)",B0J 1J0,B0J,44.54730822,-64.23145343,902-543-2479,info@empsolutions.ca,http://www.empsolutions.ca,https://www.facebook.com/NovaScotiaWorks/,https://twitter.com/ESS_Bridgewater,1,1,1,1,4,10,21.28
South Shore,Employment Solutions Society,Liverpool,"11 Henry Hensey Drive, Unit 7 (Liverpool Professional Centre)",B0T 1K0,B0T,44.0398512,-64.7221141,902-356-2039,info@empsolutions.ca,http://www.empsolutions.ca,https://www.facebook.com/NovaScotiaWorks/,https://twitter.com/ESS_Bridgewater,1,1,1,1,4,10,21.28
South Shore,Southwest Employment Services,Barrington Passage,3588 Highway 3 (Barrington Municipal Library),B0W 1W0,B0W,43.52599947,-65.61112661,902-637-3015,info@swemployment.com,http://www.swemployment.com,https://www.facebook.com/swemployment,https://twitter.com/southwest16_,1,1,1,1,4,10,21.28
South Shore,Southwest Employment Services,Lockeport,26 North Street,B0T 1L0,B0T,43.69913368,-65.11268327,902-742-5859,info@swemployment.com,http://www.swemployment.com,https://www.facebook.com/swemployment,https://twitter.com/southwest16_,1,1,1,1,4,10,21.28
South Shore,Southwest Employment Services,Shelburne,25D King Street (Kings Corner),B0W 1W0,B0W,43.76357995,-65.32205503,902-875-2200,info@swemployment.com,http://www.swemployment.com,https://www.facebook.com/swemployment,https://twitter.com/southwest16_,1,1,1,1,4,10,21.28
South Shore,Southwest Employment Services,Yarmouth,103 Water Street (Pier One Complex),B5A 4P4,B5A,43.83762529,-66.12102164,902-742-5859,info@swemployment.com,http://www.swemployment.com,https://www.facebook.com/swemployment,https://twitter.com/southwest16_,1,1,1,1,4,10,21.28
