character_id,name,epithet,race_id,race,race_category,race_tier,nation_id,nation,relation_to_tempest,debut_arc_id,debut_arc,debut_arc_no,gender,role_title,alignment,status,threat_rank,demon_lord_class,ep_estimate,is_demon_lord,demon_lord_roster,is_true_dragon,skill_count,evolution_steps
23,Zegion,Insect Kaiser,30,Insectar,Monster,Evolved,1,Jura Tempest Federation,Self,11,The Founding Festival and the Labyrinth,11,Male,Labyrinth guardian,Tempest,Alive,Special S,None,68889143,0,,0,1,1
24,Kumara,,35,Mystic Fox,Monster,Evolved,1,Jura Tempest Federation,Self,11,The Founding Festival and the Labyrinth,11,Female,Labyrinth guardian,Tempest,Alive,Special A,None,,0,,0,0,0
25,Gadra,,38,Metal Daemon,Demon,Evolved,1,Jura Tempest Federation,Self,12,War with the Eastern Empire,12,Male,Labyrinth researcher,Tempest,Alive,A+,None,,0,,0,0,0
26,Kaijin,,16,Dwarf,Humanoid,Base,1,Jura Tempest Federation,Self,2,The Dwarven Kingdom,2,Male,Master smith and engineer,Tempest,Alive,B,None,,0,,0,0,0
27,Shizue Izawa,Conqueror of Flames,18,Otherworlder,Human,Base,,,,5,The Teacher and the Otherworlders,5,Female,Hero and teacher,Ally,Deceased,A,None,,0,,0,1,0
28,Veldanava,Star King Dragon,27,True Dragon,Dragon,Base,,,,,,,Male,Progenitor of the world,Neutral,Deceased,Special S,None,,0,,1,0,0
29,Velzard,Frost Dragon,27,True Dragon,Dragon,Base,,,,9,"Walpurgis, the Demon Lords' Banquet",9,Female,White Ice Dragon,Neutral,Alive,Special S,None,80000000,0,,1,0,0
30,Velgrynd,Scorch Dragon,27,True Dragon,Dragon,Base,8,Nasca Namrium Ulmeria United Eastern Empire,Enemy,12,War with the Eastern Empire,12,Female,Guardian deity of the Empire,Antagonist,Alive,Special S,None,74350087,0,,1,0,0
31,Milim Nava,The Destroyer,26,Dragonoid,Dragon,Base,,,,4,Founding of the Nation,4,Female,One of the oldest Demon Lords,Ally,Alive,Special S,Awakened,100000000,1,Octagram,0,2,0
32,Guy Crimson,Lord of Darkness,24,Primordial Demon,Demon,Evolved,,,,9,"Walpurgis, the Demon Lords' Banquet",9,Male,Oldest and strongest Demon Lord,Neutral,Alive,Special S,Awakened,40000000,1,Octagram,0,1,0
33,Luminous Valentine,Twilight,28,Vampire,Undead,Base,6,Holy Empire of Lubelius,Rival,10,Hinata and the Holy Church,10,Female,Demon Lord and true ruler of Lubelius,Rival,Alive,Special S,Awakened,20000000,1,Octagram,0,0,0
34,Leon Cromwell,Platinum Saber,18,Otherworlder,Human,Base,,,,5,The Teacher and the Otherworlders,5,Male,Hero-type Demon Lord,Neutral,Alive,Special S,Self-Proclaimed,5000000,1,Octagram,0,1,0
35,Dino,Sleeping Ruler,34,Seraph,Spirit,Base,,,,11,The Founding Festival and the Labyrinth,11,Male,The laziest Demon Lord,Neutral,Alive,Special S,Awakened,2260000,1,Octagram,0,0,0
36,Dagruel,Wicked God,33,Giant,Giant,Base,,,,9,"Walpurgis, the Demon Lords' Banquet",9,Male,Giant Demon Lord,Neutral,Alive,Special S,Awakened,120000000,1,Octagram,0,0,0
37,Carrion,Beast Master,31,Beastfolk,Beastfolk,Base,7,Beast Kingdom of Eurazania,Ally,6,Clayman's Web,6,Male,Ruler of Eurazania,Ally,Alive,Special A,Self-Proclaimed,2773537,1,Former,0,0,0
38,Albis,,31,Beastfolk,Beastfolk,Base,7,Beast Kingdom of Eurazania,Ally,6,Clayman's Web,6,Female,One of the Three Beastketeers,Ally,Alive,A+,None,,0,,0,0,0
39,Suphia,,31,Beastfolk,Beastfolk,Base,7,Beast Kingdom of Eurazania,Ally,6,Clayman's Web,6,Female,One of the Three Beastketeers,Ally,Alive,A,None,,0,,0,0,0
40,Grucius,,31,Beastfolk,Beastfolk,Base,7,Beast Kingdom of Eurazania,Ally,6,Clayman's Web,6,Male,One of the Three Beastketeers,Ally,Alive,A,None,,0,,0,0,0
41,Frey,Sky Queen,32,Winged,Winged,Base,,,,9,"Walpurgis, the Demon Lords' Banquet",9,Female,Former Demon Lord of the sky,Ally,Alive,Special A,Self-Proclaimed,,1,Former,0,0,0
42,Clayman,Marionette Master,25,Majin,Demon,Base,,,,6,Clayman's Web,6,Male,Scheming Demon Lord,Antagonist,Deceased,Special A,Self-Proclaimed,788842,1,Former,0,1,0
43,Kagali,,25,Majin,Demon,Base,,,,6,Clayman's Web,6,Female,Leader of the Moderate Harlequin Alliance,Antagonist,Alive,Special A,Self-Proclaimed,,0,,0,0,0
44,Laplace,,25,Majin,Demon,Base,,,,6,Clayman's Web,6,Male,Trickster of the Harlequin troupe,Antagonist,Alive,Special A,None,,0,,0,0,0
45,Tear,,25,Majin,Demon,Base,,,,6,Clayman's Web,6,Female,Member of the Harlequin troupe,Antagonist,Alive,A+,None,,0,,0,0,0
46,Footman,,25,Majin,Demon,Base,,,,6,Clayman's Web,6,Male,Member of the Harlequin troupe,Antagonist,Alive,A+,None,,0,,0,0,0
47,Gazel Dwargo,Hero King,16,Dwarf,Humanoid,Base,2,Armed Nation of Dwargon,Ally,2,The Dwarven Kingdom,2,Male,King of Dwargon,Ally,Alive,Special A,None,1000000,0,,0,0,0
48,Elmesia El Ru Sarion,Sorcerer Emperor,20,High Elf,Humanoid,Evolved,5,Sorcerous Dynasty of Sarion,Ally,11,The Founding Festival and the Labyrinth,11,Female,Empress of Sarion,Ally,Alive,A+,None,,0,,0,0,0
49,Hinata Sakaguchi,Strongest of the Holy Knights,18,Otherworlder,Human,Base,6,Holy Empire of Lubelius,Rival,5,The Teacher and the Otherworlders,5,Female,Captain of the Crusaders,Rival,Alive,Special A,None,1000000,0,,0,2,0
50,Chloe Aubert,,18,Otherworlder,Human,Base,9,Kingdom of Englassia,Neutral,5,The Teacher and the Otherworlders,5,Female,One of Shizu's students,Ally,Alive,Special S,None,,0,,0,0,0
51,Masayuki,The Chosen Hero,18,Otherworlder,Human,Base,9,Kingdom of Englassia,Neutral,11,The Founding Festival and the Labyrinth,11,Male,Celebrated Hero,Neutral,Alive,B,None,,0,,0,1,0
52,Yuuki Kagurazaka,,18,Otherworlder,Human,Base,9,Kingdom of Englassia,Neutral,5,The Teacher and the Otherworlders,5,Male,Grandmaster of the Free Guild,Antagonist,Alive,Special A,None,2000000,0,,0,2,0
53,Fuze,,17,Human,Human,Base,3,Kingdom of Blumund,Ally,1,Reincarnation in the Jura Forest,1,Male,Guild Master of Blumund,Ally,Alive,B,None,,0,,0,0,0
54,Youm,,17,Human,Human,Base,4,Kingdom of Falmuth,Former Enemy,7,The Falmuth Invasion,7,Male,King of Farmenas (reformed Falmuth),Ally,Alive,C,None,,0,,0,0,0
55,Razen,,17,Human,Human,Base,4,Kingdom of Falmuth,Former Enemy,7,The Falmuth Invasion,7,Male,Court mage of Falmuth,Antagonist,Alive,B,None,,0,,0,0,0
56,Rudra Nam Ul Nasca,The Eternal Emperor,18,Otherworlder,Human,Base,8,Nasca Namrium Ulmeria United Eastern Empire,Enemy,12,War with the Eastern Empire,12,Male,Emperor of the Eastern Empire,Antagonist,Alive,Special A,None,,0,,0,1,0
57,Kondo Tatsuya,,18,Otherworlder,Human,Base,8,Nasca Namrium Ulmeria United Eastern Empire,Enemy,12,War with the Eastern Empire,12,Male,Head of the Imperial Intelligence Bureau,Antagonist,Deceased,Special A,None,,0,,0,0,0
58,Damrada,,17,Human,Human,Base,8,Nasca Namrium Ulmeria United Eastern Empire,Enemy,12,War with the Eastern Empire,12,Male,Imperial merchant and guardian,Antagonist,Alive,A+,None,,0,,0,0,0
59,Phobio,,31,Beastfolk,Beastfolk,Base,7,Beast Kingdom of Eurazania,Ally,6,Clayman's Web,6,Male,One of the Three Beastketeers,Ally,Alive,A+,None,,0,,0,0,0
