"license_number","license_type","establishment","street_address","city_town","province","postal_code","location"
"002611","Club","RCL Br. 147, Upper Musquodoboit","2768 Caribou RD","Upper Musquodoboit","NS","B0N 2M0","2768 Caribou RD
Upper Musquodoboit, NS B0N 2M0
(45.12184, -62.96283)"
"002613","Special Premises","Rodd Grand Hotel","417 Main ST","Yarmouth","NS","B5A 4B2","417 Main ST
Yarmouth, NS B5A 4B2
(43.83915, -66.11942)"
"002619","Eating Establishment","Glenora Distillery Restaurant","13727 Route 19","Glenville","NS","B0E 1X0","13727 Route 19
Glenville, NS B0E 1X0
(46.15073, -61.31867)"
"002620","Lounge","Glenora Distillery Lounge","13727 Route 19","Glenville","NS","B0E 1X0","13727 Route 19
Glenville, NS B0E 1X0
(46.15073, -61.31867)"
"002626","Eating Establishment","The Markland Coastal Beach Cottages","802 Dingwall RD","Dingwall","NS","B0C 1G0","802 Dingwall RD
Dingwall, NS B0C 1G0
(46.90001, -60.45087)"
"002628","Special Premises","Clansman Motel","9 Baird ST","North Sydney","NS","B2A 2M3","9 Baird ST
North Sydney, NS B2A 2M3
(46.21397, -60.27098)"
"002633","Eating Establishment","Crossroads Restaurant (Garlands Crossing)","RR#2 4140 Garlands Cross","Windsor","NS","B0N 2T0",
"002652","Eating Establishment","Lockmasters Quarters Pub","10095 Grenville ST","St. Peters","NS","B0E 3B0","10095 Grenville ST
St. Peters, NS B0E 3B0
(45.65742, -60.86856)"
"002653","Lounge","Lockmasters Quarters Pub","10095 Grenville ST","St. Peters","NS","B0E 3B0","10095 Grenville ST
St. Peters, NS B0E 3B0
(45.65742, -60.86856)"
"002655","Eating Establishment","Trio Dining Room","380 Esplanade ST","Sydney","NS","B1P 1B1","380 Esplanade ST
Sydney, NS B1P 1B1
(46.13639, -60.19524)"
"002657","Special Premises","The Simon Hotel","380 Esplanade ST","Sydney","NS","B1P 1B1","380 Esplanade ST
Sydney, NS B1P 1B1
(46.13639, -60.19524)"
"002665","Eating Establishment","Egg Roll King Restaurant","215 Dominion ST","Bridgewater","NS","B4V 2G7","215 Dominion ST
Bridgewater, NS B4V 2G7
(44.37023, -64.5254)"
"002671","Eating Establishment","Mr. Singh's Quick and Tasty Restaurant","490 Route #1","Dayton","NS","B5A 4A5","490 Route #1
Dayton, NS B5A 4A5
(43.87581, -66.09902)"
"002672","Eating Establishment","Glooscap Restaurant","758 Upper Main ST","Parrsboro","NS","B0M 1S0","758 Upper Main ST
Parrsboro, NS B0M 1S0
(45.38529, -64.33045)"
"002673","Lounge","Glooscap Lounge","758 Upper Main ST","Parrsboro","NS","B0M 1S0","758 Upper Main ST
Parrsboro, NS B0M 1S0
(45.38529, -64.33045)"
"002681","Eating Establishment","Pizza Delight (Truro)","61 Robie ST","Lower Truro","NS","B2N 1K8","61 Robie ST
Lower Truro, NS B2N 1K8
(45.3678, -63.31505)"
"002688","Eating Establishment","Seaside Shanty Restaurant","5315 Highway #3","Chester Basin","NS","B0J 1J0","5315 Highway #3
Chester Basin, NS B0J 1J0
(44.56759, -64.30697)"
"002691","Special Premises","Dominion & District Recreation Complex","142 Kings RD","Dominion","NS","B1G 1H6","142 Kings RD
Dominion, NS B1G 1H6
(46.21348, -60.01467)"
"002692","Eating Establishment","Jigger's Dining Room","99 Union ST","Glace Bay","NS","B1A 2P6","99 Union ST
Glace Bay, NS B1A 2P6
(46.19467, -59.95971)"
"002693","Lounge","Jigger's Lounge","99 Union ST","Glace Bay","NS","B1A 2P6","99 Union ST
Glace Bay, NS B1A 2P6
(46.19467, -59.95971)"
"002695","Eating Establishment","Tuna Blue Inn and Restaurant","167 Shore RD","Hubbards","NS","B0J 1T0","167 Shore RD
Hubbards, NS B0J 1T0
(44.63662, -64.05601)"
"002700","Eating Establishment","Lakeside Family Restaurant & Pizza","1594 St Margaret's Bay RD","Lakeside","NS","B3T 1B6","1594 St Margaret's Bay RD
Lakeside, NS B3T 1B6
(44.63865, -63.70461)"
"002704","Eating Establishment","Grand View Restaurant","557 Water ST","Brier Island","NS","B0V 1H0","557 Water ST
Brier Island, NS B0V 1H0
(44.2747, -66.34496)"
"002717","Lounge","Tuna Blue Inn and Restaurant","167 Shore RD","Hubbards","NS","B0J 1T0","167 Shore RD
Hubbards, NS B0J 1T0
(44.63662, -64.05601)"
"002719","Club","Parrsboro Volunteer Fire Department","252 Willow ST","Parrsboro","NS","B0M 1S0","252 Willow ST
Parrsboro, NS B0M 1S0
(45.40673, -64.32037)"
"002723","Club","Sydney Steelworkers & Pensioners Club","30 Inglis ST","Sydney","NS","B1P 6H2","30 Inglis ST
Sydney, NS B1P 6H2
(46.14005, -60.18325)"
"002729","Eating Establishment","Lady Hammond Grill","6151 Lady Hammond RD","Halifax","NS","B3K 2R9","6151 Lady Hammond RD
Halifax, NS B3K 2R9
(44.66556, -63.61455)"
"002744","Club","Bluenose Curling Club","234 Park ST","New Glasgow","NS","B2H 5B8","234 Park ST
New Glasgow, NS B2H 5B8
(45.56928, -62.63756)"
"002747","Special Premises","Day's Inn Convention Center","50 North ST","Bridgewater","NS","B4V 1E9","50 North ST
Bridgewater, NS B4V 1E9
(44.38566, -64.51697)"
"002748","Club","Sackville Lions Club","101 Old Beaverbank RD","Lower Sackville","NS","B4C 2S9","101 Old Beaverbank RD
Lower Sackville, NS B4C 2S9
(44.77461, -63.68959)"
"002753","Club","North Sydney Firemen's Club","14 Pierce ST","North Sydney","NS","B2A 3M5","14 Pierce ST
North Sydney, NS B2A 3M5
(46.20554, -60.25714)"
"002756","Eating Establishment","Sandbar Restaurant & Lounge","117 Mitchell AV","Dominion","NS","B1G 1M3","117 Mitchell AV
Dominion, NS B1G 1M3
(46.20883, -60.02447)"
"002757","Lounge","Sandbar Restaurant & Lounge","117 Mitchell AV","Dominion","NS","B1G 1M3","117 Mitchell AV
Dominion, NS B1G 1M3
(46.20883, -60.02447)"
"002770","Special Premises","Gisele Country Inn","387 Shore RD","Baddeck","NS","B0E 1B0","387 Shore RD
Baddeck, NS B0E 1B0
(46.09772, -60.75604)"
"002778","Eating Establishment","Pitch & Pivot Social Room","240 Brownlow AV","Dartmouth","NS","B3B 1X6","240 Brownlow AV
Dartmouth, NS B3B 1X6
(44.69458, -63.57886)"
"002779","Lounge","Pitch & Pivot Social Room","240 Brownlow AV","Dartmouth","NS","B3B 1X6","240 Brownlow AV
Dartmouth, NS B3B 1X6
(44.69458, -63.57886)"
"002780","Special Premises","Delta Hotels By Marriott Dartmouth","240 Brownlow AV","Dartmouth","NS","B3B 1X6","240 Brownlow AV
Dartmouth, NS B3B 1X6
(44.69458, -63.57886)"
"002786","Special Premises","Mission to Seafarers","844 Marginal RD","Halifax","NS","B3H 4N4","844 Marginal RD
Halifax, NS B3H 4N4
(44.63486, -63.56822)"
"002792","Eating Establishment","River Oaks Golf Club Dining Room","3909 Hwy #357","Meaghers Grant","NS","B0N 1V0","3909 Hwy #357
Meaghers Grant, NS B0N 1V0
(44.9154, -63.23102)"
"002800","Special Premises","Passage To India","4441 Prospect RD","Bayside","NS","B3Z 1L6","4441 Prospect RD
Bayside, NS B3Z 1L6
(44.53087, -63.8028)"
"002832","Special Premises","Blomidon Inn","195 Main ST","Wolfville","NS","B4P 1C3","195 Main ST
Wolfville, NS B4P 1C3
(45.0915, -64.35042)"
"002839","Special Premises","Highlander Curling Club","3916 Hwy 316","Saint Andrews","NS","B0H 1X0","3916 Hwy 316
Saint Andrews, NS B0H 1X0
(45.55908, -61.89021)"
"002841","Club","Schooner Curling Club","61 Military RD","Sydney","NS","B1N 3K6","61 Military RD
Sydney, NS B1N 3K6
(46.16905, -60.16672)"
"002850","Eating Establishment","Liverpool Pizzeria","155 Main ST","Liverpool","NS","B0T 1K0","155 Main ST
Liverpool, NS B0T 1K0
(44.03947, -64.71415)"
"002854","Club","Sackville Kinsmen Club","71 First Lake DR","Lower Sackville","NS","B4C 1T7","71 First Lake DR
Lower Sackville, NS B4C 1T7
(44.77727, -63.67232)"
"002860","Eating Establishment","Steel City Dining Room","252 Townsend ST","Sydney","NS","B1P 5E9","252 Townsend ST
Sydney, NS B1P 5E9
(46.13564, -60.187)"
"002871","Eating Establishment","Kings Arms Pub by Lew Murphy's","390 Main ST","Kentville","NS","B4N 4H8","390 Main ST
Kentville, NS B4N 4H8
(45.07718, -64.49581)"
"002872","Lounge","Kings Arms Pub by Lew Murphy's Lounge","390 Main ST","Kentville","NS","B4N 4H8","390 Main ST
Kentville, NS B4N 4H8
(45.07718, -64.49581)"
"002873","Eating Establishment","Lion's Head Dining Room","3085 Robie ST","Halifax","NS","B3K4P7","3085 Robie ST
Halifax, NS B3K4P7
(44.65942, -63.60195)"
"002874","Lounge","Lion's Head Lounge","3085 Robie ST","Halifax","NS","B3K4P7","3085 Robie ST
Halifax, NS B3K4P7
(44.65942, -63.60195)"
"002879","Eating Establishment","My Son's Dining Room","223 Wyse RD","Dartmouth","NS","B4A 1N1","223 Wyse RD
Dartmouth, NS B4A 1N1
(44.67496, -63.58537)"
"002880","Lounge","My Son's Lounge","223 Wyse RD","Dartmouth","NS","B4A 1N1","223 Wyse RD
Dartmouth, NS B4A 1N1
(44.67496, -63.58537)"
"002895","Eating Establishment","L'Evangeline Dining Room","8946 Route 1","Meteghan River","NS","B0W 2L0","8946 Route 1
Meteghan River, NS B0W 2L0
(44.21379, -66.14362)"
"002896","Lounge","La Tavern Lounge","8946 Route 1","Meteghan River","NS","B0W 2L0","8946 Route 1
Meteghan River, NS B0W 2L0
(44.21379, -66.14362)"
"002897","Eating Establishment","Whitetail Pub and Grill EE","1988 South Main ST","Westville","NS","B0K 2A0","1988 South Main ST
Westville, NS B0K 2A0
(45.55667, -62.71527)"
"002898","Lounge","Whitetail Pub and Grill Lng","1988 South Main ST","Westville","NS","B0K 2A0","1988 South Main ST
Westville, NS B0K 2A0
(45.55667, -62.71527)"
"002899","Eating Establishment","Glasgow Pub Dining Room","300 Stewart ST","New Glasgow","NS","B2H 2R4","300 Stewart ST
New Glasgow, NS B2H 2R4
(45.58496, -62.64638)"
"002900","Lounge","Glasgow Pub Lounge","300 Stewart ST","New Glasgow","NS","B2H 2R4","300 Stewart ST
New Glasgow, NS B2H 2R4
(45.58496, -62.64638)"
"002901","Eating Establishment","Wranglers Dining Room","221 Glasgow ST","New Glasgow","NS","B2H 5C1","221 Glasgow ST
New Glasgow, NS B2H 5C1
(45.58681, -62.64611)"
"002902","Lounge","Wranglers Lounge","221 Glasgow ST","New Glasgow","NS","B2H 5C1","221 Glasgow ST
New Glasgow, NS B2H 5C1
(45.58681, -62.64611)"
"002913","Eating Establishment","Mulligan's Sports Bar & Grille","777 King ST","Bridgewater","NS","B4V 1B6","777 King ST
Bridgewater, NS B4V 1B6
(44.38049, -64.52206)"
"002914","Lounge","Mulligan's Sports Bar & Grille","777 King ST","Bridgewater","NS","B4V 1B6","777 King ST
Bridgewater, NS B4V 1B6
(44.38049, -64.52206)"
"002926","Eating Establishment","Bearly's Blues & Ribs","1579 Grafton ST","Halifax","NS","B3J 2C3","1579 Grafton ST
Halifax, NS B3J 2C3
(44.64536, -63.57463)"
"002927","Lounge","Bearly's Blues & Ribs","1579 Grafton ST","Halifax","NS","B3J 2C3","1579 Grafton ST
Halifax, NS B3J 2C3
(44.64536, -63.57463)"
"002928","Eating Establishment","Split Crow Dining Room Halifax","1855 Granville ST","Halifax","NS","B3J 1Y1","1855 Granville ST
Halifax, NS B3J 1Y1
(44.64945, -63.57449)"
"002930","Eating Establishment","Maxwell's Plum Dining Room","1600 Grafton ST","Halifax","NS","B3J 2C2","1600 Grafton ST
Halifax, NS B3J 2C2
(44.64578, -63.57483)"
"002931","Lounge","Maxwell's Plum Lounge","1600 Grafton ST","Halifax","NS","B3J 2C2","1600 Grafton ST
Halifax, NS B3J 2C2
(44.64578, -63.57483)"
"002932","Eating Establishment","Mexi's","222 Chain Lake DR","Halifax","NS","B3S 1C5","222 Chain Lake DR
Halifax, NS B3S 1C5
(44.65475, -63.67726)"
"002933","Lounge","Mexi's","222 Chain Lake DR","Halifax","NS","B3S 1C5","222 Chain Lake DR
Halifax, NS B3S 1C5
(44.65475, -63.67726)"
"002937","Eating Establishment","Piper's Pub Dining Room","31 College ST","Antigonish","NS","B2G 1X5","31 College ST
Antigonish, NS B2G 1X5
(45.62119, -61.99162)"
"002948","Eating Establishment","Ship Victory Dining Room","400 Windmill RD","Dartmouth","NS","B3A 1J7","400 Windmill RD
Dartmouth, NS B3A 1J7
(44.68358, -63.59739)"
"002949","Lounge","Ship Victory Lounge","400 Windmill RD","Dartmouth","NS","B3A 1J7","400 Windmill RD
Dartmouth, NS B3A 1J7
(44.68358, -63.59739)"
"002958","Eating Establishment","Blue Mist Dining  Room","85 Main ST","Bras d'Or","NS","B1Y 2M2","85 Main ST
Bras d'Or, NS B1Y 2M2
(46.25331, -60.28995)"
"002959","Lounge","Blue Mist Lounge","85 Main ST","Bras d'Or","NS","B1Y 2M2","85 Main ST
Bras d'Or, NS B1Y 2M2
(46.25331, -60.28995)"
"002960","Eating Establishment","Bonnie Prince Dining Room","50 Reeves ST","Sydney","NS","B1P 6G6","50 Reeves ST
Sydney, NS B1P 6G6
(46.14269, -60.15969)"
"002961","Lounge","Bonnie Prince Lounge","50 Reeves ST","Sydney","NS","B1P 6G6","50 Reeves ST
Sydney, NS B1P 6G6
(46.14269, -60.15969)"
"002967","Eating Establishment","Mug & Anchor Dining Room","643 South Main ST","Mahone Bay","NS","B0J 2E0",
"002968","Lounge","Mug & Anchor Pub","643 South Main ST","Mahone Bay","NS","B0J 2E0",
"002971","Eating Establishment","Your Father's Moustache Dining Room","5686 Spring Garden RD","Halifax","NS","B3J 1G9","5686 Spring Garden RD
Halifax, NS B3J 1G9
(44.64241, -63.57929)"
"002972","Lounge","Your Father's Moustache Lounge","5686 Spring Garden RD","Halifax","NS","B3J 1G9","5686 Spring Garden RD
Halifax, NS B3J 1G9
(44.64241, -63.57929)"
"002981","Lounge","McKelvie's Lounge","1680 Lower Water ST","Halifax","NS","B3J 2Y3","1680 Lower Water ST
Halifax, NS B3J 2Y3
(44.6477, -63.57142)"
"002982","Eating Establishment","Jenny's Place Dining Room","6211 Lady Hammond RD","Halifax","NS","B3K 2S1","6211 Lady Hammond RD
Halifax, NS B3K 2S1
(44.66535, -63.61607)"
"002983","Lounge","Jenny's Place Lounge","6211 Lady Hammond RD","Halifax","NS","B3K 2S1","6211 Lady Hammond RD
Halifax, NS B3K 2S1
(44.66535, -63.61607)"
"002984","Eating Establishment","Sunset Dining Room","411 Conway HY","Digby","NS","B0V 1A0","411 Conway HY
Digby, NS B0V 1A0
(44.60251, -65.77039)"
"002985","Lounge","Sunset  Lounge","411 Conway HY","Digby","NS","B0V 1A0","411 Conway HY
Digby, NS B0V 1A0
(44.60251, -65.77039)"
"002992","Eating Establishment","Ho Ho Wok Restaurant","23 Inglis ST","Truro","NS","B2N 4B5","23 Inglis ST
Truro, NS B2N 4B5
(45.36414, -63.27635)"
"002997","Eating Establishment","Coastal Waters Restaurant","36404 Cabot Trail","Ingonish","NS","B0C 1K0","36404 Cabot Trail
Ingonish, NS B0C 1K0
(46.68994, -60.3926)"
"003000","Eating Establishment","Hugo's Dining Room","451 Windmill RD","Dartmouth","NS","B3A 1J9","451 Windmill RD
Dartmouth, NS B3A 1J9
(44.68486, -63.59908)"
"003001","Lounge","Hugo's Lounge","451 Windmill RD","Dartmouth","NS","B3A 1J9","451 Windmill RD
Dartmouth, NS B3A 1J9
(44.68486, -63.59908)"
"003006","Eating Establishment","Doryman Pub & Grill","15528 Cabot Trail","Cheticamp","NS","B0E 1H0","15528 Cabot Trail
Cheticamp, NS B0E 1H0
(46.64034, -61.00512)"
"003007","Lounge","Doryman Pub & Grill","15528 Cabot Trail","Cheticamp","NS","B0E 1H0","15528 Cabot Trail
Cheticamp, NS B0E 1H0
(46.64034, -61.00512)"
"003008","Club","Catalone Seniors and Pensioners Recreation Association","20 New Boston RD","Catalone","NS","B1C 2L7","20 New Boston RD
Catalone, NS B1C 2L7
(45.98682, -59.99639)"
"003010","Eating Establishment","River Pub Dining Room","750 King ST","Bridgewater","NS","B4V 3B6","750 King ST
Bridgewater, NS B4V 3B6
(44.38012, -64.52174)"
"003011","Lounge","River Pub Lounge","750 King ST","Bridgewater","NS","B4V 3B6","750 King ST
Bridgewater, NS B4V 3B6
(44.38012, -64.52174)"
"003012","Eating Establishment","Admiral Dining Room","148 Main ST","Port Hood","NS","B0E 2W0","148 Main ST
Port Hood, NS B0E 2W0
(46.01318, -61.53055)"
"003024","Eating Establishment","Acadian Beverage Room","9 Station RD","Tatamagouche","NS","B0K 1V0","9 Station RD
Tatamagouche, NS B0K 1V0
(45.74504, -63.37363)"
"003028","Lounge","Sea Deck Lounge","36 Water ST","Chester","NS","B0J 1J0","36 Water ST
Chester, NS B0J 1J0
(44.54901, -64.23002)"
"003029","Eating Establishment","Melville  Heights Dining Room","24 Ramsgate LN","Halifax","NS","B3P 2R6","24 Ramsgate LN
Halifax, NS B3P 2R6
(44.63056, -63.61496)"
"003030","Lounge","Melville Heights Lounge","24 Ramsgate LN","Halifax","NS","B3P 2R6","24 Ramsgate LN
Halifax, NS B3P 2R6
(44.63056, -63.61496)"
"003035","Eating Establishment","Timberlea Beverage Room","1820 St. Margaret's Bay RD","Timberlea","NS","B3T 1K8","1820 St. Margaret's Bay RD
Timberlea, NS B3T 1K8
(44.64559, -63.71242)"
"003036","Lounge","Timberlea Beverage Room","1820 St. Margaret's Bay RD","Timberlea","NS","B3T 1K8","1820 St. Margaret's Bay RD
Timberlea, NS B3T 1K8
(44.64559, -63.71242)"
"003040","Eating Establishment","MacBouch Dining Room","9975 Grenville ST","St. Peters","NS","B0E 3B0","9975 Grenville ST
St. Peters, NS B0E 3B0
(45.6556, -60.87624)"
"003041","Lounge","MacBouch Lounge","9975 Grenville ST","St. Peters","NS","B0E 3B0","9975 Grenville ST
St. Peters, NS B0E 3B0
(45.6556, -60.87624)"
"003042","Special Premises","Dooly's Rockingham","30 Farnham Gate RD","Halifax","NS","B3M 3W8","30 Farnham Gate RD
Halifax, NS B3M 3W8
(44.67311, -63.66515)"
"003051","Special Premises","Silver Dart Motel","257 Shore RD","Baddeck","NS","B0E 1B0","257 Shore RD
Baddeck, NS B0E 1B0
(46.09445, -60.76067)"
"003071","Eating Establishment","Tilted Tap Bar & Grill Inc.","172 Wyse RD","Dartmouth","NS","B3A 1M6","172 Wyse RD
Dartmouth, NS B3A 1M6
(44.67174, -63.57964)"
"003072","Club","New Waterford District Senior Citizens Recreation Club","3390 Plummer AV","New Waterford","NS","B1H 1Y9","3390 Plummer AV
New Waterford, NS B1H 1Y9
(46.24887, -60.08614)"
"003077","Eating Establishment","Bedford Neighbourhood Pub","1658 Bedford Hwy.","Bedford","NS","B4A 2X9","1658 Bedford Hwy.
Bedford, NS B4A 2X9
(44.73645, -63.65613)"
"003078","Lounge","Bedford Neighbourhood Pub","1658 Bedford Hwy.","Bedford","NS","B4A 2X9","1658 Bedford Hwy.
Bedford, NS B4A 2X9
(44.73645, -63.65613)"
"003080","Eating Establishment","A.J.'s Dining Room","237 Main ST","Canso","NS","B0H 1H0","237 Main ST
Canso, NS B0H 1H0
(45.3342, -61.00047)"
"003081","Lounge","A.J.'s  Lounge","237 Main ST","Canso","NS","B0H 1H0","237 Main ST
Canso, NS B0H 1H0
(45.3342, -61.00047)"
"003083","Special Premises","Westville Miners Sports Centre","1840 Park ST","Westville","NS","B0K 2A0","1840 Park ST
Westville, NS B0K 2A0
(45.55214, -62.71214)"
"003086","Eating Establishment","Pizza Delight (Barrington Passage)","3469 Highway #3","Barrington Passage","NS","B0W 1G0","3469 Highway #3
Barrington Passage, NS B0W 1G0
(43.53013, -65.60841)"
"003089","Eating Establishment","Anvil Dining Room","10 Harbourside DR","Wolfville","NS","B4P 2N5","10 Harbourside DR
Wolfville, NS B4P 2N5
(45.09221, -64.35983)"
"003090","Lounge","Anvil Lounge","10 Harbourside DR","Wolfville","NS","B4P 2N5","10 Harbourside DR
Wolfville, NS B4P 2N5
(45.09221, -64.35983)"
"003101","Eating Establishment","White Gull Restaurant","58 Water ST","Lockeport","NS","B0T 1L0","58 Water ST
Lockeport, NS B0T 1L0
(43.69943, -65.11206)"
"003103","Eating Establishment","Freeman's Little New York Downtown Dining Room","1726 Grafton ST","Halifax","NS","B3S 3C3","1726 Grafton ST
Halifax, NS B3S 3C3
(44.64728, -63.57563)"
"003104","Lounge","Papa's Pub Lounge","714 Reeves ST","Port Hawkesbury","NS","B9A 2S1","714 Reeves ST
Port Hawkesbury, NS B9A 2S1
(45.61428, -61.35009)"
"003112","Special Premises","Super Cue Billiards","300 Sackville DR","Lower Sackville","NS","B4C 2R6","300 Sackville DR
Lower Sackville, NS B4C 2R6
(44.76074, -63.67268)"
"003122","Special Premises","Roxie's Cafe (East Hants Sportsplex)","1076  Hwy 2","Lantz","NS","B2S 1M8","1076  Hwy 2
Lantz, NS B2S 1M8
(44.98553, -63.48552)"
"003134","Lounge","Cable Wharf Kitchen & Patio","1751 Lower Water ST","Halifax","NS","B3J 3E4","1751 Lower Water ST
Halifax, NS B3J 3E4
(44.6484, -63.57184)"
"003138","Eating Establishment","Elm Tree Pub & Grill","1 Victoria ST","Amherst","NS","B4H 1X3","1 Victoria ST
Amherst, NS B4H 1X3
(45.83203, -64.21382)"
"003139","Lounge","Elm Tree Pub & Grill Lounge","1 Victoria ST","Amherst","NS","B4H 1X3","1 Victoria ST
Amherst, NS B4H 1X3
(45.83203, -64.21382)"
"003150","Eating Establishment","Darrell's Restaurant 5576 Fenwick Limited","5576 Fenwick ST","Halifax","NS","B3H 1P8","5576 Fenwick ST
Halifax, NS B3H 1P8
(44.63794, -63.57378)"
"003151","Lounge","Kai Ping Lounge","1026 King's RD","Sydney","NS","B1S 1C7","1026 King's RD
Sydney, NS B1S 1C7
(46.11231, -60.21729)"
"003155","Special Premises","Victoria Highland Civic Centre","26 Campbell ST","Baddeck","NS","B0E 1B0","26 Campbell ST
Baddeck, NS B0E 1B0
(46.07124, -60.91305)"
"003157","Beverage Room","Bar@Bowlarama","16 Dentith RD","Spryfield","NS","B3R 2H9","16 Dentith RD
Spryfield, NS B3R 2H9
(44.61313, -63.61975)"
"003160","Lounge","Oasis Pub and Eatery Lounge","5675 Spring Garden RD","Halifax","NS","B3J 1H6","5675 Spring Garden RD
Halifax, NS B3J 1H6
(44.64249, -63.57901)"
"003165","Eating Establishment","Scotia Lunch Restaurant","64 King ST","Shelburne","NS","B0T 1W0","64 King ST
Shelburne, NS B0T 1W0
(43.76511, -65.31758)"
"003166","Eating Establishment","Mountain View Motel Dining Room","23659 Cabot Trail RD","Pleasant Bay","NS","B0E 2P0","23659 Cabot Trail RD
Pleasant Bay, NS B0E 2P0
(46.81997, -60.79621)"
"003167","Special Premises","Savoy Theatre","116 Commercial ST","Glace Bay","NS","B1A 3C1","116 Commercial ST
Glace Bay, NS B1A 3C1
(46.19642, -59.95662)"
"003168","Eating Establishment","Fo'c'sle Tavern","42 Queen ST","Chester","NS","B0J 1J0","42 Queen ST
Chester, NS B0J 1J0
(44.58185, -64.20506)"
"003169","Lounge","Fo'c'sle Tavern","42 Queen ST","Chester","NS","B0J 1J0","42 Queen ST
Chester, NS B0J 1J0
(44.58185, -64.20506)"
"003178","Eating Establishment","Seawind Landing Country Inn","159 Wharf RD","Charlos Cove","NS","B0H 1T0","159 Wharf RD
Charlos Cove, NS B0H 1T0
(45.24701, -61.32564)"
"003186","Club","Shelburne Harbour Yacht Club","107 Water ST","Shelburne","NS","B0T 1W0","107 Water ST
Shelburne, NS B0T 1W0
(43.75873, -65.32094)"
"003201","Lounge","Tilted Tap Bar & Grill Inc.","172 Wyse RD","Dartmouth","NS","B3A 1M6","172 Wyse RD
Dartmouth, NS B3A 1M6
(44.67174, -63.57964)"
"003210","Eating Establishment","Kempster's Cookhouse & Eatery","3644 Kempt RD","Halifax","NS","B3M 1B6","3644 Kempt RD
Halifax, NS B3M 1B6
(44.6626, -63.61846)"
"003212","Club","Howie Centre Volunteer Fire Department","47 Tometary DR","Sydney","NS","B1L 1G3","47 Tometary DR
Sydney, NS B1L 1G3
(46.06991, -60.2744)"
"003218","Club","West Brooklyn Community Centre","410 West Brooklyn Mt. RD","Wolfville","NS","B4P 2R3","410 West Brooklyn Mt. RD
Wolfville, NS B4P 2R3
(45.07626, -64.268)"
"003221","Club","Ring 73 Amateur Boxing Club","85 East AV","Glace Bay","NS","B1A 5X2","85 East AV
Glace Bay, NS B1A 5X2
(46.21646, -59.96047)"
"003224","Club","South Bar Volunteer Fire Department","2148 Highway 28","South Bar","NS","B1N 3H7","2148 Highway 28
South Bar, NS B1N 3H7
(46.19354, -60.2007)"
"003232","Lounge","Kempster's Lounge","3644 Kempt RD","Halifax","NS","B3M 1B6","3644 Kempt RD
Halifax, NS B3M 1B6
(44.6626, -63.61846)"
"003261","Eating Establishment","Pacifico Grill","5171 George ST","Halifax","NS","B3J1M6","5171 George ST
Halifax, NS B3J1M6
(44.64842, -63.57376)"
"003262","Lounge","Pacifico Bar Lounge","5171 George ST","Halifax","NS","B3J1M6","5171 George ST
Halifax, NS B3J1M6
(44.64842, -63.57376)"
"003263","Lounge","Reilly's Lounge","313 Prince Albert RD","Dartmouth","NS","B2Y 1N3","313 Prince Albert RD
Dartmouth, NS B2Y 1N3
(44.679, -63.54956)"
"003287","Eating Establishment","Smokey's Restaurant","81 Wright AV","Dartmouth","NS","B3B 1H4","81 Wright AV
Dartmouth, NS B3B 1H4
(44.7048, -63.59679)"
"003299","Club","Centre Communautaire D'La Baie Sainte Marie","313 Maxwellton RD","Meteghan Centre","NS","B0W 2K0","313 Maxwellton RD
Meteghan Centre, NS B0W 2K0
(44.19885, -66.13631)"
"003300","Special Premises","Jost Winery Deli","48 Vintage LN","Malagash","NS","B0K 1E0","48 Vintage LN
Malagash, NS B0K 1E0
(45.79617, -63.37706)"
"003301","Special Premises","Mic Mac Hotel","313 Prince Albert RD","Dartmouth","NS","B2Y 1N3","313 Prince Albert RD
Dartmouth, NS B2Y 1N3
(44.679, -63.54956)"
"003307","Club","Pleasant Bay Volunteer Fire Department","104 Harbour RD","Pleasant Bay","NS","B0E 2P0","104 Harbour RD
Pleasant Bay, NS B0E 2P0
(46.82834, -60.79802)"
"003313","Eating Establishment","Junction Sixteen Kitchen's Bar","73 Queen ST","Bridgetown","NS","B0S 1C0","73 Queen ST
Bridgetown, NS B0S 1C0
(44.83807, -65.29217)"
"003314","Lounge","Junction Sixteen Kitchen's Bar","73 Queen ST","Bridgetown","NS","B0S 1C0","73 Queen ST
Bridgetown, NS B0S 1C0
(44.83807, -65.29217)"
"003316","Lounge","Armview Lounge","7156 Chebucto RD","Halifax","NS","B3L 1N4","7156 Chebucto RD
Halifax, NS B3L 1N4
(44.64239, -63.61989)"
"003334","Club","Kentville Lions Club","78 River ST","Kentville","NS","B4N 1G9","78 River ST
Kentville, NS B4N 1G9
(45.0793, -64.49762)"
"003342","Eating Establishment","The Norseman Bar & Grill","100 Kings RD","Sydney","NS","B1S 1A1","100 Kings RD
Sydney, NS B1S 1A1
(46.13077, -60.19528)"
"003347","Lounge","Trio Lounge","380 Esplanade ST","Sydney","NS","B1P 1B1","380 Esplanade ST
Sydney, NS B1P 1B1
(46.13639, -60.19524)"
"003355","Special Premises","Octagon Room","802 Dingwall RD","Dingwall","NS","B0C 1G0","802 Dingwall RD
Dingwall, NS B0C 1G0
(46.90001, -60.45087)"
"003357","Eating Establishment","Thistle Bar and Grill","610 East River RD","New Glasgow","NS","B2H 3S2","610 East River RD
New Glasgow, NS B2H 3S2
(45.57802, -62.64073)"
