section,rank,measure,fiscal_year,division,program_name,recipient,payments,amount,share_pct,cumulative_share_pct,yoy_change,yoy_pct
top_recipients,19,"","","","",Cox Atlantic Chick Hatchery Ltd,3,321320.00,0.43,13.34,,
top_recipients,20,"","","","",Lightfoot & Wolfville Vineyards Ltd,16,311071.52,0.41,13.75,,
top_recipients,21,"","","","",Vital Berry Farms,3,310816.10,0.41,14.17,,
top_recipients,22,"","","","",Forest Glen Greenhouses Ltd,2,310595.00,0.41,14.58,,
top_recipients,23,"","","","",Atlantic Poultry Inc,1,300375.00,0.40,14.98,,
top_recipients,24,"","","","",Floyd Dickie & Sons Ltd,1,300375.00,0.40,15.38,,
top_recipients,25,"","","","",denHaan Enterprises Ltd,1,300000.00,0.40,15.77,,
program_shares,1,"","","",Fiona Agriculture Disaster Assistance,"",243,10199939.17,13.54,,,
program_shares,2,"","","",Homegrown Success,"",1435,8537948.71,11.33,,,
program_shares,3,"","","",Wild Blueberry Harvest Efficiency,"",123,4757332.91,6.31,,,
program_shares,4,"","","",Advancing Clean Technologies,"",27,2228726.18,2.96,,,
program_shares,5,"","","",Advancing Innovative Technologies,"",61,2211344.64,2.93,,,
program_shares,6,"","","",Limestone Trucking Assistance,"",685,1998401.08,2.65,,,
program_shares,7,"","","",Vineyard Development and Expansion Program,"",85,1855075.79,2.46,,,
program_shares,8,"","","",Resilient Agricultural Landscapes,"",86,1839675.38,2.44,,,
program_shares,9,"","","",Local Food Advancer,"",8,1691215.43,2.24,,,
program_shares,10,"","","",Vineyard Development and Expansion,"",67,1644673.94,2.18,,,
program_shares,11,"","","",Covid-19,"",72,1520388.21,2.02,,,
program_shares,12,"","","",Soil and Water,"",257,1444547.04,1.92,,,
program_shares,13,"","","",Building Industry Capacity,"",22,1373604.81,1.82,,,
program_shares,14,"","","",Farm Innovation,"",102,1355109.98,1.80,,,
program_shares,15,"","","",Research Acceleration Program,"",66,1336839.48,1.77,,,
program_shares,16,"","","",Canada Nova Scotia Fire Blight Initiative,"",51,1293187.20,1.72,,,
program_shares,17,"","","",Market Development and Investment Attraction,"",24,1270187.71,1.69,,,
program_shares,18,"","","",On-Farm Electrical Interruption Assistance,"",152,1266488.03,1.68,,,
program_shares,19,"","","",Wine and Grape Industry Development,"",52,1248952.08,1.66,,,
program_shares,20,"","","",Small Farm Acceleration,"",239,1012367.06,1.34,,,
program_shares,21,"","","",Plant Your Roots Interest Rebate,"",19,1000635.01,1.33,,,
program_shares,22,"","","",Value-Adding Equipment,"",37,976037.07,1.30,,,
program_shares,23,"","","",Technologies for Value-Added Agriculture,"",33,962221.07,1.28,,,
program_shares,24,"","","",Canada Nova Scotia Maple Sector Initiative,"",37,958441.58,1.27,,,
program_shares,25,"","","",FarmNEXT Program,"",35,933408.38,1.24,,,
program_shares,26,"","","",Mink Industry Enhancement,"",14,921050.00,1.22,,,
program_shares,27,"","","",Soil and Water Sustainability,"",124,879574.45,1.17,,,
program_shares,28,"","","",Pollination Expansion Program,"",95,878260.72,1.17,,,
program_shares,29,"","","",Exhibitions and Fairs,"",76,815970.67,1.08,,,
program_shares,30,"","","",Business Advisory Services,"",131,717544.72,0.95,,,
program_shares,31,"","","",Plant Your Roots,"",12,685433.27,0.91,,,
program_shares,32,"","","",Apiculture Sustainable Growth and Health,"",63,608235.81,0.81,,,
program_shares,33,"","","",Planning New Opportunities,"",67,601603.10,0.80,,,
program_shares,34,"","","",Market Expansion and Export Readiness,"",22,562484.47,0.75,,,
program_shares,35,"","","",On Farm Electrical Preparedness,"",42,556900.58,0.74,,,
program_shares,36,"","","",Environmental Stewardship and Climate Change,"",95,530428.62,0.70,,,
program_shares,37,"","","",On-Farm Electrical Preparedness,"",35,514834.74,0.68,,,
program_shares,38,"","","",Blueberry Pollination Expansion,"",30,512329.05,0.68,,,
program_shares,39,"","","",On Farm Water Management,"",53,496336.54,0.66,,,
program_shares,40,"","","",Strawberry Assistance Initiative,"",36,493531.43,0.65,,,
program_shares,41,"","","",Wildlife Damage Mitigation,"",112,489879.63,0.65,,,
program_shares,42,"","","",Limestone Transporation Assistance,"",115,466486.79,0.62,,,
program_shares,43,"","","",Value Adding Equipment,"",23,463583.91,0.62,,,
program_shares,44,"","","",Nova Scotia Exhibition Infrastructure and Community Fair,"",40,403362.98,0.54,,,
program_shares,45,"","","",Lowbush Blueberry Development,"",108,388403.56,0.52,,,
program_shares,46,"","","",Wild Blueberry and Apple Harvest Efficiency,"",23,384952.56,0.51,,,
program_shares,47,"","","",Weather Station Assistance,"",53,375198.52,0.50,,,
program_shares,48,"","","",FarmNEXT,"",12,360000.00,0.48,,,
program_shares,49,"","","",COVID-19 Ag Response,"",19,339053.20,0.45,,,
program_shares,50,"","","",On-Farm Industry Preparedness,"",34,317867.24,0.42,,,
program_shares,51,"","","",Abattoir Enrichment and Efficiency,"",21,315907.42,0.42,,,
program_shares,52,"","","",Agri-Products Innovation and Commercialization Program,"",14,307766.83,0.41,,,
program_shares,53,"","","",Exhibition and Fairs Infrastructure,"",21,302270.00,0.40,,,
program_shares,54,"","","",Technology for Value Added Agriculture,"",7,264760.29,0.35,,,
program_shares,55,"","","",On Farm Technology Adoption,"",33,247833.23,0.33,,,
program_shares,56,"","","",FarmNext,"",8,239258.00,0.32,,,
program_shares,57,"","","",Small Farm Accelerator,"",49,237024.11,0.31,,,
program_shares,58,"","","",Business Development and Industry Capacity,"",32,234508.05,0.31,,,
program_shares,59,"","","",Commingling Site Traceability Program,"",25,226585.84,0.30,,,
program_shares,60,"","","",On Farm Automation and Innovation,"",8,221750.00,0.29,,,
program_shares,61,"","","",Get Growing,"",58,211206.05,0.28,,,
program_shares,62,"","","",Technologies for Value Added Agriculture,"",6,197715.10,0.26,,,
program_shares,63,"","","",(program not stated),"",21,196208.74,0.26,,,
program_shares,64,"","","",Traceability Pilot Project Program,"",5,189140.28,0.25,,,
program_shares,65,"","","",Market Expansion and Export Rediness,"",9,187234.23,0.25,,,
program_shares,66,"","","",Bee Overwinterng Loss,"",27,179512.44,0.24,,,
program_shares,67,"","","",Agricultural Research and Innovation,"",4,177986.21,0.24,,,
program_shares,68,"","","",On-Farm Technology Adoption,"",33,176122.12,0.23,,,
program_shares,69,"","","",Market Opportunities and Diversification,"",25,161489.87,0.21,,,
program_shares,70,"","","",Cattle and Sheep Industry Enhancement,"",58,141084.03,0.19,,,
program_shares,71,"","","",Wild Blueberry Equipment Efficiency,"",16,140528.51,0.19,,,
program_shares,72,"","","",Crop and Livestock Management Trials,"",10,139972.63,0.19,,,
program_shares,73,"","","",Missions and Investigative Travel,"",51,134971.95,0.18,,,
program_shares,74,"","","",Agriculture On-Farm Student Bursary,"",31,130500.00,0.17,,,
program_shares,75,"","","",School Milk,"",3,122610.38,0.16,,,
program_shares,76,"","","",Strategic Infrastructure Investment Fund,"",1,113000.00,0.15,,,
program_shares,77,"","","",Agriculture Skills Student Bursary,"",23,109750.00,0.15,,,
program_shares,78,"","","",Sector Driven Management Trials,"",4,102131.15,0.14,,,
program_shares,79,"","","",Main Outlet Drainage,"",15,96966.75,0.13,,,
program_shares,80,"","","",Agriculture On-Farm Student Bursary Program,"",15,90500.00,0.12,,,
program_shares,81,"","","",Industry Driven Research,"",4,86135.74,0.11,,,
program_shares,82,"","","",Homegrown Success - Genetic Enhancement,"",34,84563.00,0.11,,,
program_shares,83,"","","",Bee Biosecurity,"",39,78416.24,0.10,,,
program_shares,84,"","","",Food and Beverage Business Accelerator,"",11,75507.70,0.10,,,
program_shares,85,"","","",Graduate Research Training Initiative,"",1,71409.51,0.09,,,
program_shares,86,"","","",Crop & Livestock Management Trials,"",4,69660.42,0.09,,,
program_shares,87,"","","",Sector Driven Field and Farm Management Trials,"",2,63940.00,0.08,,,
program_shares,88,"","","",Market Expansion and Export,"",3,60437.67,0.08,,,
program_shares,89,"","","",Vineyard Replant Program,"",4,58343.45,0.08,,,
program_shares,90,"","","",Food and Beverage Business Accelertor,"",14,55300.03,0.07,,,
program_shares,91,"","","",Industry Driven Research Innovation,"",3,54034.10,0.07,,,
program_shares,92,"","","",Speaker Series Assistance Program,"",11,44120.00,0.06,,,
program_shares,93,"","","",Academic Partnership,"",1,43273.52,0.06,,,
program_shares,94,"","","",Mission and Investigative Travel,"",16,39009.62,0.05,,,
program_shares,95,"","","",BioProducts Pilot Program,"",2,37957.71,0.05,,,
program_shares,96,"","","",Speaker Series Assistance,"",12,29491.41,0.04,,,
program_shares,97,"","","",Cattle and Sheep Industry Development,"",4,27450.00,0.04,,,
program_shares,98,"","","",Organic Certification Rebate,"",51,27296.38,0.04,,,
program_shares,99,"","","",Veterinary Student Placement,"",4,23700.00,0.03,,,
program_shares,100,"","","",Vet Student Placement,"",4,21000.00,0.03,,,
program_shares,101,"","","",Buy Local,"",2,10825.00,0.01,,,
program_shares,102,"","","",ThinkFARM Training Partnership- Sponsorship of External Workshops,"",6,7329.95,0.01,,,
program_shares,103,"","","",Young Farmers Mentorship,"",4,5149.29,0.01,,,
program_shares,104,"","","",BLP,"",1,2696.56,0.00,,,
program_shares,105,"","","",ThinkFARM Training Partnership- First Nations Projects,"",1,2500.00,0.00,,,
program_shares,106,"","","",Missions&Investigative Travel,"",1,2006.02,0.00,,,
yoy_division,1,"",2014-2015,Programs and Business Risk Management,"","",455,4161400.39,,,,
yoy_division,2,"",2014-2015,Value Chain Development,"","",7,9829.95,,,,
yoy_division,3,"",2015-2016,Programs and Business Risk Management,"","",542,5519338.86,,,1357938.47,32.63
yoy_division,4,"",2016-2017,Programs and Business Risk Management,"","",651,6662573.61,,,1143234.75,20.71
yoy_division,5,"",2017-2018,Programs and Business Risk Management,"","",583,5791826.45,,,-870747.16,-13.07
yoy_division,6,"",2018-2019,Programs and Business Risk Management,"","",475,5200824.80,,,-591001.65,-10.20
yoy_division,7,"",2019-2020,Programs and Business Risk Management,"","",529,6279390.00,,,1078565.20,20.74
yoy_division,8,"",2020-2021,Programs and Business Risk Management,"","",513,5178491.96,,,-1100898.04,-17.53
yoy_division,9,"",2021-2022,Programs,"","",473,4331769.16,,,,
yoy_division,10,"",2022-2023,Programs,"","",797,16320887.65,,,11989118.49,276.77
yoy_division,11,"",2023-2024,Programs,"","",652,8294498.60,,,-8026389.05,-49.18
yoy_division,12,"",2024-2025,Programs,"","",647,7607070.60,,,-687428.00,-8.29
duplicate_candidates,1,"",2015-2016,"",Research Acceleration Program,Dalhousie Agricultural Campus,4,30000.00,,,90000.00,
duplicate_candidates,2,"",2017-2018,"",Research Acceleration Program,Dalhousie University,4,30000.00,,,90000.00,
duplicate_candidates,3,"",2016-2017,"",Farm Innovation,D&M Lightfoot Farms Ltd,2,20000.00,,,20000.00,
duplicate_candidates,4,"",2014-2015,"",Research Acceleration Program,Dalhousie Agricultural Campus,3,20000.00,,,40000.00,
duplicate_candidates,5,"",2016-2017,"",Farm Innovation,Dykeview Farm Ltd.,2,20000.00,,,20000.00,
duplicate_candidates,6,"",2014-2015,"",Farm Innovation,Horticulture NS,2,12750.00,,,12750.00,
duplicate_candidates,7,"",2015-2016,"",Farm Innovation,Horticulture NS,2,12750.00,,,12750.00,
duplicate_candidates,8,"",2017-2018,"",Farm Innovation,Horticulture NS,2,11250.00,,,11250.00,
duplicate_candidates,9,"",2016-2017,"",Farm Innovation,Horticulture Nova Scotia,2,11250.00,,,11250.00,
