"registry_id","co_op_name","incorporation_year","address","town","province_state","postal_code","non_profit_n_for_profit_p","type"
"1398155","VIHARA HOUSING CO-OPERATIVE LIMITED","1982-02-19","2531 Elm Street","Halifax","NS","B3L 2Y5","N","HOUSING"
"1413392","SHIRETOWN HOUSING CO-OPERATIVE LIMITED","1981-06-08","PO BOX 1544","PICTOU","NS","B0K 1H0","N","HOUSING"
"1416717","THE REGIONAL HOUSING CO-OPERATIVE LIMITED","1981-08-06","PO BOX 3483 DEPS","DARTMOUTH","NS","B2W 5G4","N","HOUSING"
"1418228","FALLOUT HOUSING CO-OPERATIVE LIMITED","1982-05-06","6193 LAWRENCE ST.","HALIFAX","NS","B3L 1J7","N","SERVICES"
"1424852","LORENTCHIA HOUSING CO-OPERATIVE LIMITED","1981-08-28","77 HIGHLAND DR, C24","ANTIGONISH","NS","B2G 1P4","N","HOUSING"
"1433232","KABUKI HOUSING CO-OPERATIVE LIMITED","1982-04-13","2473 AGRICOLA STREET","HALIFAX","NS","B3K 4C3","N","HOUSING"
"1435396","HALIFAX WOMEN'S HOUSING CO-OPERATIVE LIMITED","1981-11-09","2042 CREIGHTON STREET","DARTMOUTH","NS","B3K 3R2","N","HOUSING"
"1442474","THE APARTMENT HOUSING CO-OPERATIVE LIMITED","1981-10-29","#8-10 Cherry Lane","Halifax","NS","B3P 1Y8","N","HOUSING"
"1443682","NEWFIE HOUSING CO-OPERATIVE LIMITED","1981-10-26","207 - 59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"1445622","ROOFTOPS HOUSING CO-OPERATIVE LIMITED","1982-05-06","PO BOX 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"1450953","HIGHLAND HOUSING CO-OPERATIVE LIMITED","1982-02-01","25 - 86 ST. NINIAN ST.","ANTIGONISH","NS","B2G 1Y8","N","HOUSING"
"1451701","ATLANTIC HOUSING CO-OPERATIVE LIMITED","1981-12-24","#207-59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"1459758","ALBRO COURT HOUSING CO-OPERATIVE LIMITED","1982-02-11","2 CEDAR COURT","DARTMOUTH","NS","B3A 2K2","N","HOUSING"
"1474926","THE CROSS-ROADS NON PROFIT HOUSING CO-OPERATIVE LIMITED","1983-05-02","1 UNITY COURT","LOWER SACKVILLE","NS","B4E 2R9","N","HOUSING"
"1486567","APPLE BLOSSOM HOUSING CO-OPERATIVE LIMITED","1983-04-07","#207-59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"1494160","THE TRILLIUM HOUSING CO-OPERATIVE LIMITED","1983-06-22","66A VALKYRIE CRESCENT","DARTMOUTH","NS","B2W 5B6","N","HOUSING"
"1501024","ROCKY ROAD HOUSING CO-OPERATIVE LIMITED","1983-04-11","PO Box 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"1511056","SAMSON CO-OPERATIVE LIMITED","1983-06-07","5 Samson Court","New Glasgow","NS","B2H 5N9","N","HOUSING"
"1517465","LEMOYNE COOPERATIVE SOCIETY LIMITED","1937-05-26","PO BOX 39","St. Joseph de Moine","NS","B0E 3A0","P","RETAIL CONSUMER PRODUCTS"
"1540556","FRESH START HOUSING CO-OPERATIVE LIMITED","1983-12-14","207-59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"1548378","PRIVATEER HOUSING CO-OPERATIVE LIMITED","1983-12-01","PO Box 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"1555901","FLIP FLOP HOUSING CO-OPERATIVE LIMITED","1984-06-22","PO Box 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"1568509","JOE MACISAAC HOUSING CO-OPERATIVE LIMITED","1984-05-14","P.O. BOX 6943","PORT HAWKESBURY","NS","B9A 2W2","N","HOUSING"
"1568607","NORTH BAY FISHERMEN'S CO-OPERATIVE ASSOCIATION LIMITED","1984-03-30","16 BALLANTYNE'S COVE","ANTIGONISH","NS","B2G 2L2","P","FISH PRODUCTS"
"1569442","HUBTOWN HOUSING CO-OPERATIVE LIMITED","1984-04-06","207-59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"1588452","WEST HALIFAX HOUSING CO-OPERATIVE LIMITED","1984-07-09","#207 - 59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"1592477","LOYALIST HOUSING CO-OPERATIVE LIMITED","1984-08-20","P.O BOX 291","Dartmouth","NS","BOT1W0","N","HOUSING"
"1608901","WALLIS DRIVE HOUSING CO-OPERATIVE LTD.","1985-03-08","Box 1908","Pictou","NS","B0K 1H0","N","HOUSING"
"1649039","CEILIDH FISHERMEN CO-OP LIMITED","1985-05-29","P.O. BOX 99","PORT HOOD","NS","B0E 2W0","P","FISH PRODUCTS"
"1692488","LE MANOIR SAINT-PIERRE HOUSING COOPERATIVE LIMITED","1986-06-06","P.O. BOX 1006","Cheticamp","NS","B0E 1H0","N","HOUSING"
"1695123","MCINTOSH RUN HOUSING CO-OPERATIVE LIMITED","1986-07-07","PO BOX 152 DMPS","DARTMOUTH","NS","B2Y 3Y3","N","HOUSING"
"1707582","WATER STREET STUDIO CO-OPERATIVE LIMITED","1986-05-14","110 WATER STREET, BOX 1442","PICTOU","NS","B0K 1H0","P","CRAFT PRODUCTS"
"1717278","CHIGNECTO HOUSING CO-OPERATIVE LIMITED","1986-07-15","3 TOWNSVIEW COURT","AMHERST","NS","B4H 4M2","N","HOUSING"
"1720641","LOWER ARGYLE FISHERMAN'S CO-OPERATIVE LIMITED","1986-10-20","81 Camp Cove Road","Lower Argyle","NS","B0W 1W0","P","FISH PRODUCTS"
"1727308","JOHN HUGH MACKENZIE HOUSING CO-OPERATIVE LIMITED","1986-07-24","102-5293 Green Street","Halifax","NS","B3H 1N6","N","HOUSING"
"1737176","EVANGELINE COURTS HOUSING CO-OPERATIVE LIMITED","1986-10-20","41 B Evangeline Court","Wolfville","NS","B4P 2B4","N","HOUSING"
"1743824","ANTIGONISH FARM AND GARDEN CO-OPERATIVE LIMITED","1986-10-31","91 ST. ANDREWS STREET","ANTIGONISH","NS","B2G 2G9","P","RETAIL CONSUMER PRODUCTS"
"1773669","FUTURE FORESTRY SERVICES CO-OPERATIVE LIMITED","1987-03-27","PO BOX 1036","NEW GLASGOW","NS","B2H 5N8","P","FOREST PRODUCTS"
"1780845","HIGHFIELD PARK HOUSING CO-OPERATIVE LIMITED","1987-04-30","43K JOSEPH YOUNG STREET","DARTMOUTH","NS","B3A 4S7","N","HOUSING"
"1798935","ATLANTIS HOUSING CO-OPERATIVE LIMITED","1987-07-06","143 RYLAND AVENUE, UNIT 20","BIBLE HILL","NS","B2N 6L4","N","HOUSING"
"1812768","LONGHOUSE HOUSING CO-OPERATIVE LIMITED","1987-10-07","59 INGLIS PLACE  , #207","TRURO","NS","B2N 4B5","N","HOUSING"
"1818360","THE GREENHOUSE CO-OPERATIVE LIMITED","1988-02-08","9651 GRENVILLE STREET","ST.PETER'S","NS","B0E3B0","P","WORKER LABOUR"
"1827279","GREEN STEM CO-OPERATIVE LIMITED","1988-08-31","BOX 8714 STN.  A","HALIFAX","NS","B3K 5M4","N","HOUSING"
"1855894","THE BIRCHES HOUSING CO-OPERATIVE LIMITED","1988-03-31","BOX 387","DIGBY","NS","B0V 1A0","N","HOUSING"
"1862763","JOHNSTOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LIMITED","1988-04-26","14742 HIGHWAY 4","RED ISLANDS","NS","B0E 3B0","N","SERVICES"
"1876426","NOVA HEIGHTS CONTINUING HOUSING CO-OPERATIVE LIMITED","1988-06-20","37 STUART STREET","SYDNEY","NS","B1P 6Y8","N","HOUSING"
"1876619","DUNBRACK HOUSING CO-OPERATIVE LIMITED","1988-09-02","PO Box 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"1877036","EVERGREEN ECOLOGICAL COOPERATIVE LIMITED","1989-02-23","1774 Stronach Mountain Road","Margaretsville","NS","B0S 1N0","P","WORKER LABOUR"
"1914391","MACKEN ROAD WATER CO-OPERATIVE LIMITED","1989-04-05","113  Macken Rd","Antigonish Landing","NS","B2G 2L2","N","SERVICES"
"1914722","CANSO CO-OPERATIVE HEALTH CENTRE LIMITED","1988-12-29","PO BOX 174","CANSO","NS","B0H 1H0","N","SERVICES"
"1915636","WOODLAND ESTATES HOUSING CO-OPERATIVE LIMITED","1989-01-23","#207-59 INGLIS PLACE","TRURO","NS","B2N 4B5","N","HOUSING"
"1919550","FORCHU HOUSING CO-OPERATIVE LIMITED","1989-09-04","31-A SAMMS COURT","HEBRON","NS","B5A 5A4","N","HOUSING"
"1923700","SOIL AND SEA CO-OP LIMITED","1989-02-14","PO BOX 466","CANNING","NS","B0P 1H0","P","WORKER LABOUR"
"1925502","LANDVIEW HOUSING CO-OPERATIVE LIMITED","1989-12-15","59  INGLIS ST, UNIT 207","TRURO","NS","B2N 4B5","N","HOUSING"
"1990082","GUANTANAMERA CO-OPERATIVE LIMITED","1989-11-20","58 Gull Rock Drive, R.R. #1","Head of Jeddore","NS","B0J 1P0","P","SERVICES"
"2026177","HARBOUR GREENHOUSE CO-OPERATIVE LIMITED","1990-10-03","2767 HIGHWAY 223","MACKINNON'S HARBOUR","NS","B2C 1H3","P","WORKER LABOUR"
"2056189","VILLAGE GROCERY WORKERS' CO-OPERATIVE LIMITED","1990-10-30","PO BOX 39","ST PETERS","NS","B0E 3B0","P","WORKER LABOUR"
"2056510","LA COOPERATIVE RADIO CHETICAMP LIMITEE","1992-02-27","15584 CABOT TRAIL ROAD","CHETICAMP","NS","B0E1H0","N","SERVICES"
"2057133","GOLDEN POND HOUSING CO-OPERATIVE LIMITED","1990-10-29","BOX 262, STN","SYDNEY MINES","NS","B1V 2Y5","N","HOUSING"
"2108357","TRUE NORTH HOUSING CO-OPERATIVE LIMITED","1992-03-18","PO BOX 152, DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"2245085","SSG SUPPORT SERVICES GROUP CO-OPERATIVE LTD.","1993-06-15","1550 BEDFORD HIGHWAY, SUITE 302, SUNTOWER BUILDING","DARTMOUTH","NS","B4A 1E6","N","SERVICES"
"2252510","ARIMATHEA FUNERAL CO-OPERATIVE LIMITED","1993-09-08","8741 Highway #224, Box 45","Upper Musquodoboit","NS","B0N 2M0","N","SERVICES"
"2265467","CITY MARKET OF HALIFAX CO-OPERATIVE LTD.","1993-05-04","1209 Marginal Road","HALIFAX","NS","B3H 4P8","P","AGRICULTURE"
"2300835","CHIGNECTO MANOR CO-OPERATIVE LTD.","1993-10-07","BOX 63","ADVOCATE HARBOUR","NS","B0M 1A0","P","SERVICES"
"2374414","TOWER HEIGHTS HOUSING CO-OPERATIVE LIMITED","1994-06-16","83 STUART STREET","SYDNEY","NS","B1P 6Y8","N","HOUSING"
"2424946","COBEQUID MAPLE CO-OPERATIVE LIMITED","1995-01-18","P O BOX 11","WESTCHESTER STATION","NS","B0M 2A0","P","AGRICULTURE"
"2467461","APAQTAUKEWAQ FISHERIES CO-OP LTD.","1995-09-18","22 Estherich Road","Chapel Island, Richmond Co","NS","B0E 3B0","P","FISH PRODUCTS"
"2484748","ATLANTIC CO-OPERATIVE CED INSTITUTE LTD.","1995-08-02","10 EASTMOUNT CT","EAST MOUNTAIN","NS","B6L2E8","N","SERVICES"
"2537013","JUST US! COFFEE ROASTERS CO-OPERATIVE LIMITED","1996-03-07","11865 HIGHWAY #1","HORTONVILLE","NS","B4P 2R3","P","WORKER LABOUR"
"3000912","LUNENBURG BALSAM FIR COOPERATIVE LTD.","1996-07-24","BOX 485","Bridgewater","NS","B4V 2X6","P","FOREST PRODUCTS"
"3004733","OLD RAILWAY CABINS COOPERATIVE LTD.","1997-01-16","138 CANAAN ROAD","AYLESFORD","NS","B0P 1C0","P","SERVICES"
"3007845","TEAM WORK COOPERATIVE LIMITED","1997-04-18","501-7051 Bayers Rd
Suite M278","HALIFAX","NS","B3L 2C1","N","WORKER LABOUR"
"3008924","MINUDIE PASTURE COOPERATIVE LIMITED","1997-05-29","80 LITTLE DYKE ROAD","GREAT VILLAGE","NS","B0M 1L0","P","SERVICES"
"3012648","COLCHESTER TRANSPORTATION COOPERATIVE LTD.","1997-10-06","14 Court Street, Suite 103","Truro","NS","B2N 3H7","N","SERVICES"
"3013508","GLENDALE AREA COMMUNITY COOPERATIVE LTD. (CO-CHOMUNN BHRÀIGH NA H-AIBHNEADH)","1997-11-06","4248 - 105 TRANS CANADA HWY","GLENDALE, INVERNESS CO.","NS","B0E 3L0","N","SERVICES"
"3014473","SYDNEY MINES INVESTMENT CO-OPERATIVE LIMITED","1997-12-11","1289 COXHEATH ROAD","Sydney","NS","B1L1B3","P","INVESTMENT"
"3018217","CURL UP & DYE CO-OPERATIVE LIMITED","1998-04-14","274 COMMERCIAL STREET","NORTH SYDNEY","NS","B2A 1B8","P","WORKER LABOUR"
"3020069","C.A.J. WOODWORKERS CO-OPERATIVE LIMITED","1998-06-12","1296 Ashfield Road, RR #5","Orangedale","NS","B0E 2K0","P","WORKER LABOUR"
"3021538","RICHMOND COMMUNITY MANAGEMENT FISHERY CO-OPERATIVE LIMITED","1998-07-28","P.O. Box 57","Arichat","NS","B0E 1A0","N","FISH PRODUCTS"
"3021980","NORTHUMBERLAND FISH COOPERATIVE LIMITED","1998-08-19","BOX 166","RIVER JOHN","NS","B0K 1N0","P","FISH PRODUCTS"
"3023460","340 RANCHER'S CO-OPERATIVE LIMITED","1998-10-08","PO Box 149, 102 Langford Road","Weymouth","NS","B0W 3T0","P","AGRICULTURE"
"3039461","HERITAGE CAPE BRETON CONNECTION CO-OPERATIVE LTD.","2000-01-14","PO Box 1791, Station A","Sydney","NS","B1P 6J4","N","SERVICES"
"3039702","BARRACHOIS RETREAT CO-OPERATIVE LIMITED","2000-01-25","1120 SANDPOINT ROAD","TATAMAGOUCHE","NS","B0K 1V0","P","WORKER LABOUR"
"3042694","C.K.D. FABRICATORS CO-OPERATIVE LIMITED","2000-04-05","294 Ramshead River Road","Diligent River","NS","B0M 1H0","P","WORKER LABOUR"
"3045160","VIEWPOINT GALLERY CO-OPERATIVE LIMITED","2000-06-05","1475  BEDFORD HWY, UNIT 109","HALIFAX","NS","B4A 3Z5","N","CRAFT PRODUCTS"
"3046326","LA CO-OPERATIVE RADIO RICHMOND LIMITEE","2000-06-27","P.O. Box 250","Petit De Grat","NS","B0E 2L0","N","SERVICES"
"3049703","CAPE JOHN COMMUNITY PASTURE CO-OPERATIVE LIMITED","2000-10-10","3275 HWY 337","MORRISTOWN","NS","B2G 2L2","P","SERVICES"
"3052710","ALDERBERRY VILLAGE CRAFT CO-OPERATIVE LIMITED","2001-01-18","57 Inglis Place","Truro","NS","B2N 4B5","P","WORKER LABOUR"
"3054030","CAPE MABOU PASTURE CO-OPERATIVE LIMITED","2001-03-05","PO BOX 4","MABOU","NS","B0E 1X0","P","SERVICES"
"3056188","TOTAL ESSENCE COACHING CO-OPERATIVE LIMITED","2001-05-09","10 ROBLEA DRIVE","DARTMOUTH","NS","B2W1Y7","P","WORKER LABOUR"
"3057952","ABC HOUSING CO-OPERATIVE LIMITED","2001-06-29","PO Box 152 DMPS","Dartmouth","NS","B2Y 3Y3","N","HOUSING"
"3058103","OIKOCREDIT CANADA ATLANTIC CO-OPERATIVE LIMITED","2001-07-09","25 Graham Street","Dartmouth","NS","B3A 3H9","P","INVESTMENT"
"3058182","HONESTWORKINGPEOPLE.COM CO-OPERATIVE LIMITED","2001-07-11","2502 Kings Road","Sydney Forks","NS","B1L 1A1","P","SERVICES"
"3059460","GRAINERY FOOD CO-OPERATIVE LTD.","2001-08-13","2385 Agricola Street","Halifax","NS","B3K 4B8","N","RETAIL CONSUMER PRODUCTS"
"3059487","FOUR CORNERS HOUSING CO-OPERATIVE LIMITED","2001-08-23","66-B HAVELOCK DRIVE","YARMOUTH","NS","B5A 4G4","N","HOUSING"
"3063161","JUST US! FAIR TRADE INVESTMENT CO-OPERATIVE LIMITED","2002-01-07","11865 HIGHWAY 1","HORTONVILLE","NS","B4P2R3","P","WORKER LABOUR"
"3065444","PEER GALLERY CO-OPERATIVE LIMITED","2002-03-25","PO BOX 1883","LUNENBURG","NS","B0J 2C0","P","RETAIL CONSUMER PRODUCTS"
"3071165","CRYSTAL GRANGE HOUSING CO-OPERATIVE LIMITED","2002-09-26","59-207 INGLIS ST","TRURO","NS","B2N 4B5","N","HOUSING"
"3073275","ACADIA CINEMA COOPERATIVE LTD.","2002-12-16","450 MAIN STREET","WOLFVILLE","NS","B4P 1E2","N","SERVICES"
"3074367","LA RÉSIDENCE ACADIENNE CO-OPERATIVE LIMITED","2003-01-15","P.O. BOX 281","CHETICAMP","NS","B0E 1H0","N","SERVICES"
"3075199","COOPÉRATIVE RADIO-HALIFAX-MÉTRO LIMITÉE","2003-01-22","67 CH RAGGED POINT","SAINT JOHN","NB","E2K 5C3","N","SERVICES"
"3079039","COASTAL COMMUNITY RADIO CO-OPERATIVE LIMITED","2003-06-12","170 GEORGE STREET, SUITE 101","SYDNEY","NS","B1P1J2","N","SERVICES"
"3079828","GUNG HO! EMPLOYMENT CO-OPERATIVE LIMITED","2003-07-02","3000-5657 SPRING GARDEN RD","Halifax","NS","B3J3R4","N","SERVICES"
"3080046","INVESTING IN NS ENTERPRISES CO-OPERATIVE LIMITED","2003-07-14","Box 1872","Truro","NS","B2N 6C7","N","INVESTMENT"
"3083726","DEEP ROOTS MUSIC CO-OPERATIVE LIMITED","2003-11-19","466A MAIN STREET","WOLFVILLE","NS","B4P1E2","N","WORKER LABOUR"
"3085260","TATAMAGOUCHE FARMERS' MARKET CO-OP LTD.","2003-12-23","PO Box 59","Tatamagouche","NS","B0K 1V0","N","AGRICULTURE"
"3085677","FARMERS' MARKETS OF NS COOPERATIVE LTD.","2004-01-13","11188 HWY 3, 82","LUNENBURG","NS","B0J 2C0","N","AGRICULTURE"
"3085934","SUNSET FUNERAL CO-OPERATIVE LIMITED","2004-01-05","65 CROWDIS CROSS ROAD","MARGAREE VALLEY","NS","B0E 2C0","P","WORKER LABOUR"
"3085936","HALIFAX CHEER ELITE CO-OPERATIVE LIMITED","2004-01-27","32 Birkdale Crescent","Halifax","NS","B3M 1H5","N","WORKER LABOUR"
